	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	930.0	599.0	306.0	412.0	878.0	625.0	729.0	394.0	424.0	383.0	628.0	486.0	741.0	357.0	745.0	534.0	502.0	1160.0	866.0	432.0
Aedes_aegypti	889.0	0.0	539.0	264.0	383.0	687.0	477.0	887.0	323.0	346.0	297.0	407.0	411.0	643.0	322.0	384.0	304.0	393.0	604.0	732.0	307.0
Anopheles_gambiae	551.0	541.0	0.0	234.0	317.0	493.0	385.0	622.0	229.0	261.0	245.0	291.0	319.0	450.0	268.0	252.0	215.0	278.0	427.0	538.0	245.0
Apis_mellifera	221.0	160.0	150.0	0.0	75.0	164.0	70.0	165.0	50.0	43.0	24.0	69.0	55.0	134.0	67.0	36.0	36.0	65.0	153.0	150.0	73.0
Bombus_terrestris	335.0	254.0	228.0	77.0	0.0	243.0	117.0	249.0	44.0	56.0	57.0	144.0	95.0	209.0	97.0	115.0	100.0	98.0	250.0	216.0	96.0
Bombyx_mori	833.0	564.0	456.0	187.0	269.0	0.0	326.0	470.0	191.0	213.0	260.0	353.0	259.0	469.0	194.0	364.0	297.0	280.0	587.0	550.0	278.0
Ceratina_calcarata	489.0	364.0	332.0	79.0	145.0	302.0	0.0	303.0	106.0	113.0	71.0	128.0	130.0	339.0	67.0	194.0	165.0	160.0	341.0	346.0	140.0
Drosophila_melanogaster	635.0	790.0	671.0	245.0	328.0	592.0	380.0	0.0	262.0	308.0	282.0	308.0	351.0	443.0	281.0	326.0	267.0	302.0	373.0	634.0	227.0
Dufourea_novaeangliae	268.0	190.0	146.0	49.0	41.0	163.0	70.0	153.0	0.0	49.0	31.0	62.0	69.0	165.0	35.0	66.0	62.0	52.0	116.0	194.0	60.0
Eufriesea_mexicana	289.0	205.0	168.0	41.0	51.0	203.0	80.0	192.0	48.0	0.0	54.0	77.0	68.0	153.0	58.0	82.0	75.0	61.0	125.0	188.0	74.0
Habropoda_laboriosa	256.0	176.0	158.0	27.0	65.0	201.0	66.0	186.0	40.0	57.0	0.0	64.0	51.0	157.0	40.0	67.0	55.0	58.0	124.0	193.0	59.0
Megachile_rotundata	361.0	299.0	224.0	59.0	134.0	294.0	124.0	238.0	73.0	87.0	78.0	0.0	111.0	251.0	61.0	112.0	119.0	115.0	213.0	268.0	91.0
Megalopta_genalis	411.0	324.0	264.0	75.0	116.0	273.0	134.0	267.0	103.0	79.0	64.0	123.0	0.0	265.0	88.0	153.0	123.0	102.0	184.0	254.0	119.0
Nasonia_vitripennis	769.0	623.0	517.0	280.0	332.0	608.0	472.0	518.0	253.0	300.0	303.0	367.0	452.0	0.0	247.0	448.0	391.0	350.0	833.0	739.0	298.0
Nomia_melanderi	252.0	206.0	185.0	63.0	95.0	174.0	66.0	179.0	51.0	50.0	37.0	70.0	61.0	168.0	0.0	52.0	50.0	54.0	107.0	205.0	63.0
Osmia_bicornis	453.0	301.0	195.0	59.0	125.0	262.0	229.0	229.0	87.0	117.0	70.0	119.0	145.0	292.0	50.0	0.0	142.0	165.0	402.0	256.0	83.0
Osmia_lignaria	310.0	230.0	169.0	53.0	118.0	202.0	179.0	176.0	71.0	97.0	57.0	114.0	134.0	237.0	53.0	122.0	0.0	82.0	259.0	217.0	70.0
Polistes_dominula	323.0	213.0	202.0	49.0	85.0	244.0	141.0	177.0	56.0	56.0	55.0	87.0	74.0	196.0	49.0	110.0	84.0	0.0	229.0	264.0	86.0
Solenopsis_invicta	1250.0	586.0	507.0	215.0	320.0	749.0	516.0	441.0	181.0	199.0	174.0	355.0	270.0	960.0	156.0	492.0	429.0	424.0	0.0	683.0	332.0
Tribolium_castaneum	654.0	660.0	574.0	265.0	333.0	665.0	468.0	695.0	269.0	301.0	311.0	363.0	317.0	659.0	299.0	337.0	291.0	416.0	530.0	0.0	338.0
Vespa_mandarinia	311.0	192.0	205.0	64.0	117.0	221.0	129.0	168.0	70.0	92.0	81.0	80.0	109.0	270.0	81.0	105.0	67.0	138.0	216.0	211.0	0.0
