Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	364	297
OG0000001	284	263
OG0000002	221	202
OG0000003	120	74
OG0000004	179	163
OG0000005	143	100
OG0000006	174	131
OG0000007	84	82
OG0000008	155	150
OG0000009	164	124
OG0000010	95	83
OG0000011	105	96
OG0000012	146	139
OG0000013	137	118
OG0000014	104	17
OG0000015	116	84
OG0000016	92	48
OG0000017	111	90
OG0000018	94	66
OG0000019	94	86
OG0000020	126	110
OG0000021	69	67
OG0000022	88	85
OG0000023	96	12
OG0000024	51	22
OG0000025	80	70
OG0000026	105	88
OG0000027	79	72
OG0000028	81	75
OG0000029	125	125
OG0000030	84	76
OG0000031	98	86
OG0000032	56	40
OG0000033	84	79
OG0000034	102	93
OG0000035	109	97
OG0000036	18	14
OG0000037	58	53
OG0000038	77	69
OG0000039	88	78
OG0000040	104	98
OG0000041	14	10
OG0000042	52	52
OG0000043	64	54
OG0000044	57	52
OG0000045	90	83
OG0000046	81	72
OG0000047	72	66
OG0000048	69	62
OG0000049	96	91
OG0000050	12	7
OG0000051	67	48
OG0000052	110	110
OG0000053	17	14
OG0000054	33	27
OG0000055	36	34
OG0000056	58	43
OG0000057	88	83
OG0000058	69	66
OG0000059	27	15
OG0000060	15	13
OG0000061	67	62
OG0000062	49	38
OG0000063	60	43
OG0000064	53	48
OG0000065	91	85
OG0000066	75	58
OG0000067	73	58
OG0000068	65	55
OG0000069	66	50
OG0000070	58	41
OG0000071	70	55
OG0000072	6	6
OG0000073	68	50
OG0000074	45	44
OG0000075	65	61
OG0000076	24	16
OG0000077	79	75
OG0000078	45	42
OG0000079	30	17
OG0000080	55	50
OG0000081	34	32
OG0000082	63	50
OG0000083	51	27
OG0000084	52	50
OG0000085	82	79
OG0000086	63	47
OG0000087	80	79
OG0000088	30	27
OG0000089	52	47
OG0000090	18	17
OG0000091	56	42
OG0000092	41	38
OG0000093	16	15
OG0000094	41	34
OG0000095	60	57
OG0000096	38	36
OG0000097	10	7
OG0000098	47	31
OG0000099	77	76
OG0000100	19	19
OG0000101	43	41
OG0000102	34	27
OG0000103	38	32
OG0000104	66	58
OG0000105	77	77
OG0000106	48	42
OG0000107	41	28
OG0000108	18	16
OG0000109	58	54
OG0000110	46	45
OG0000111	52	45
OG0000112	15	12
OG0000113	63	63
OG0000114	73	73
OG0000115	47	39
OG0000116	51	47
OG0000117	31	28
OG0000118	39	38
OG0000119	34	27
OG0000120	41	38
OG0000121	50	29
OG0000122	29	28
OG0000123	20	19
OG0000124	51	43
OG0000125	21	15
OG0000126	39	35
OG0000127	15	11
OG0000128	13	13
OG0000129	7	7
OG0000130	31	28
OG0000131	47	46
OG0000132	4	3
OG0000133	23	20
OG0000134	38	26
OG0000135	27	13
OG0000136	24	23
OG0000137	42	42
OG0000138	45	41
OG0000139	20	16
OG0000140	2	2
OG0000141	7	6
OG0000142	27	27
OG0000143	4	3
OG0000144	50	47
OG0000145	40	39
OG0000146	30	28
OG0000147	4	3
OG0000148	8	4
OG0000149	40	39
OG0000150	7	5
OG0000151	45	36
OG0000152	51	51
OG0000153	15	13
OG0000154	30	30
OG0000155	3	3
OG0000156	42	35
OG0000157	44	42
OG0000158	17	12
OG0000159	5	3
OG0000160	10	9
OG0000161	16	12
OG0000162	3	3
OG0000163	9	9
OG0000164	27	26
OG0000165	37	32
OG0000166	31	28
OG0000167	6	6
OG0000168	34	34
OG0000169	23	23
OG0000170	26	23
OG0000171	14	10
OG0000172	8	8
OG0000173	6	3
OG0000174	43	36
OG0000175	29	28
OG0000176	27	25
OG0000177	21	21
OG0000178	18	15
OG0000179	13	12
OG0000180	5	4
OG0000181	26	24
OG0000182	26	17
OG0000183	28	20
OG0000184	44	43
OG0000185	27	27
OG0000186	37	37
OG0000187	7	4
OG0000188	5	3
OG0000189	8	6
OG0000190	5	4
OG0000191	4	3
OG0000192	17	16
OG0000193	17	7
OG0000194	28	25
OG0000195	45	43
OG0000196	28	26
OG0000197	16	15
OG0000198	5	4
OG0000199	10	6
OG0000200	12	10
OG0000201	18	17
OG0000202	29	28
OG0000203	13	8
OG0000204	19	18
OG0000205	21	21
OG0000206	9	8
OG0000207	29	27
OG0000208	13	13
OG0000209	29	16
OG0000210	8	6
OG0000211	16	10
OG0000212	8	5
OG0000213	29	28
OG0000214	18	16
OG0000215	15	15
OG0000216	11	11
OG0000217	48	48
OG0000218	36	36
OG0000219	33	26
OG0000220	7	7
OG0000221	6	4
OG0000222	16	13
OG0000223	12	1
OG0000224	7	5
OG0000225	10	10
OG0000226	48	48
OG0000227	39	36
OG0000228	27	26
OG0000229	48	48
OG0000230	5	1
OG0000231	7	7
OG0000232	14	13
OG0000233	5	4
OG0000234	23	19
OG0000235	20	17
OG0000236	31	25
OG0000237	26	24
OG0000238	11	9
OG0000239	10	10
OG0000240	7	5
OG0000241	24	23
OG0000242	5	3
OG0000243	5	4
OG0000244	4	3
OG0000245	6	5
OG0000246	21	17
OG0000247	15	15
OG0000248	33	33
OG0000249	46	46
OG0000250	5	3
OG0000251	21	19
OG0000252	5	4
OG0000253	5	4
OG0000254	24	22
OG0000255	5	4
OG0000256	4	1
OG0000257	7	6
OG0000258	10	7
OG0000259	14	14
OG0000260	10	2
OG0000261	33	33
OG0000262	13	13
OG0000263	45	45
OG0000264	20	17
OG0000265	5	3
OG0000266	4	2
OG0000267	23	22
OG0000268	6	3
OG0000269	9	9
OG0000270	14	11
OG0000271	12	11
OG0000272	6	5
OG0000273	5	4
OG0000274	27	21
OG0000275	10	10
OG0000276	25	24
OG0000277	22	21
OG0000278	11	10
OG0000279	44	44
OG0000280	3	3
OG0000281	4	4
OG0000282	4	2
OG0000283	7	5
OG0000284	3	3
OG0000285	3	2
OG0000286	3	2
OG0000287	3	3
OG0000288	2	2
OG0000289	4	3
OG0000290	21	21
OG0000291	5	4
OG0000292	6	4
OG0000293	18	16
OG0000294	7	7
OG0000295	9	8
OG0000296	35	28
OG0000297	24	21
OG0000298	27	20
OG0000299	43	43
OG0000300	42	42
OG0000301	3	3
OG0000302	3	3
OG0000303	6	5
OG0000304	4	3
OG0000305	22	22
OG0000306	19	18
OG0000307	4	4
OG0000308	42	42
OG0000309	8	6
OG0000310	3	3
OG0000311	3	3
OG0000312	2	1
OG0000313	7	4
OG0000314	2	1
OG0000315	2	2
OG0000316	5	2
OG0000317	6	3
OG0000318	5	4
OG0000319	30	22
OG0000320	14	8
OG0000321	42	42
OG0000322	23	23
OG0000323	20	18
OG0000324	1	1
OG0000325	41	41
OG0000326	2	1
OG0000327	5	5
OG0000328	14	12
OG0000329	9	9
OG0000330	7	7
OG0000331	21	21
OG0000332	5	1
OG0000333	4	4
OG0000334	5	5
OG0000335	4	3
OG0000336	1	1
OG0000337	15	10
OG0000338	34	32
OG0000339	32	28
OG0000340	29	24
OG0000341	14	12
OG0000342	23	23
OG0000343	17	16
OG0000344	10	10
OG0000345	22	20
OG0000346	8	3
OG0000347	3	3
OG0000348	2	2
OG0000349	1	1
OG0000350	2	2
OG0000351	3	3
OG0000352	7	5
OG0000353	17	13
OG0000354	3	2
OG0000355	1	1
OG0000356	9	8
OG0000357	5	5
OG0000358	4	4
OG0000359	5	2
OG0000360	5	5
OG0000361	6	5
OG0000362	1	1
OG0000363	17	14
OG0000364	7	7
OG0000365	2	2
OG0000366	4	4
OG0000367	2	2
OG0000368	4	4
OG0000369	40	40
OG0000370	5	4
OG0000371	27	25
OG0000372	31	28
OG0000373	35	35
OG0000374	25	25
OG0000375	39	39
OG0000376	3	2
OG0000377	4	3
OG0000378	23	21
OG0000379	2	2
OG0000380	8	4
OG0000381	9	8
OG0000382	4	3
OG0000383	3	1
OG0000384	9	7
OG0000385	3	3
OG0000386	9	9
OG0000387	2	2
OG0000388	4	3
OG0000389	2	1
OG0000390	2	1
OG0000391	2	2
OG0000392	4	3
OG0000393	6	5
OG0000394	9	9
OG0000395	3	2
OG0000396	23	18
OG0000397	22	20
OG0000398	39	39
OG0000399	16	14
OG0000400	5	4
OG0000401	2	2
OG0000402	1	1
OG0000403	5	4
OG0000404	10	5
OG0000405	4	4
OG0000406	4	4
OG0000407	13	12
OG0000408	3	2
OG0000409	16	16
OG0000410	1	1
OG0000411	17	10
OG0000412	4	2
OG0000413	2	2
OG0000414	6	5
OG0000415	5	2
OG0000416	7	6
OG0000417	13	13
OG0000418	8	4
OG0000419	3	3
OG0000420	29	21
OG0000421	19	19
OG0000422	32	30
OG0000423	17	17
OG0000424	8	8
OG0000425	18	18
OG0000426	21	21
OG0000427	38	38
OG0000428	16	16
OG0000429	37	37
OG0000430	13	12
OG0000431	5	3
OG0000432	17	17
OG0000433	4	2
OG0000434	1	1
OG0000435	5	5
OG0000436	4	4
OG0000437	14	14
OG0000438	2	1
OG0000439	17	16
OG0000440	4	4
OG0000441	3	2
OG0000442	1	1
OG0000443	1	1
OG0000444	11	10
OG0000445	3	3
OG0000446	5	5
OG0000447	4	4
OG0000448	32	31
OG0000449	3	2
OG0000450	31	31
OG0000451	9	8
OG0000452	36	36
OG0000453	28	28
OG0000454	19	14
OG0000455	37	37
OG0000456	4	3
OG0000457	2	2
OG0000458	5	4
OG0000459	1	1
OG0000460	4	3
OG0000461	1	1
OG0000462	4	3
OG0000463	3	3
OG0000464	6	2
OG0000465	9	9
OG0000466	2	1
OG0000467	25	22
OG0000468	2	2
OG0000469	2	2
OG0000470	1	1
OG0000471	3	3
OG0000472	2	2
OG0000473	1	1
OG0000474	2	2
OG0000475	4	0
OG0000476	2	1
OG0000477	4	4
OG0000478	6	2
OG0000479	1	1
OG0000480	33	33
OG0000481	36	36
OG0000482	5	3
OG0000483	25	25
OG0000484	5	4
OG0000485	27	26
OG0000486	2	2
OG0000487	15	15
OG0000488	4	3
OG0000489	14	14
OG0000490	15	14
OG0000491	28	26
OG0000492	36	36
OG0000493	36	36
OG0000494	34	34
OG0000495	36	36
OG0000496	4	4
OG0000497	2	2
OG0000498	20	20
OG0000499	3	3
OG0000500	5	5
OG0000501	1	1
OG0000502	1	1
OG0000503	4	1
OG0000504	8	7
OG0000505	2	2
OG0000506	4	4
OG0000507	6	1
OG0000508	9	4
OG0000509	4	4
OG0000510	2	2
OG0000511	13	13
OG0000512	1	1
OG0000513	4	3
OG0000514	3	3
OG0000515	3	2
OG0000516	3	2
OG0000517	2	2
OG0000518	3	3
OG0000519	35	35
OG0000520	3	3
OG0000521	17	16
OG0000522	2	2
OG0000523	5	4
OG0000524	35	35
OG0000525	6	2
OG0000526	13	10
OG0000527	30	30
OG0000528	16	7
OG0000529	35	35
OG0000530	16	15
OG0000531	29	28
OG0000532	2	2
OG0000533	5	2
OG0000534	13	13
OG0000535	1	1
OG0000536	3	3
OG0000537	1	1
OG0000538	3	3
OG0000539	16	16
OG0000540	6	6
OG0000541	4	4
OG0000542	12	11
OG0000543	1	1
OG0000544	1	1
OG0000545	5	4
OG0000546	5	3
OG0000547	3	3
OG0000548	1	1
OG0000549	2	2
OG0000550	2	2
OG0000551	12	11
OG0000552	27	22
OG0000553	1	1
OG0000554	8	7
OG0000555	10	8
OG0000556	3	3
OG0000557	13	13
OG0000558	33	33
OG0000559	34	34
OG0000560	1	1
OG0000561	14	14
OG0000562	33	33
OG0000563	11	11
OG0000564	27	26
OG0000565	4	4
OG0000566	10	5
OG0000567	9	8
OG0000568	6	4
OG0000569	12	12
OG0000570	13	13
OG0000571	6	5
OG0000572	1	1
OG0000573	1	1
OG0000574	5	0
OG0000575	1	1
OG0000576	2	1
OG0000577	3	0
OG0000578	2	2
OG0000579	1	1
OG0000580	3	1
OG0000581	6	3
OG0000582	14	14
OG0000583	3	3
OG0000584	11	6
OG0000585	23	21
OG0000586	10	4
OG0000587	29	28
OG0000588	13	13
OG0000589	2	2
OG0000590	1	1
OG0000591	16	16
OG0000592	33	33
OG0000593	3	3
OG0000594	1	1
OG0000595	8	6
OG0000596	4	2
OG0000597	9	7
OG0000598	31	31
OG0000599	1	1
OG0000600	5	2
OG0000601	5	4
OG0000602	24	24
OG0000603	10	9
OG0000604	8	0
OG0000605	1	1
OG0000606	23	20
OG0000607	7	6
OG0000608	11	9
OG0000609	4	0
OG0000610	9	2
OG0000611	8	4
OG0000612	26	24
OG0000613	5	5
OG0000614	11	11
OG0000615	7	6
OG0000616	12	11
OG0000617	5	3
OG0000618	3	3
OG0000619	30	30
OG0000620	14	14
OG0000621	28	27
OG0000622	11	11
OG0000623	9	7
OG0000624	8	6
OG0000625	4	2
OG0000626	2	2
OG0000627	4	1
OG0000628	8	3
OG0000629	4	0
OG0000630	5	4
OG0000631	1	1
OG0000632	3	0
OG0000633	1	1
OG0000634	4	1
OG0000635	4	0
OG0000636	5	1
OG0000637	6	4
OG0000638	3	3
OG0000639	12	12
OG0000640	11	10
OG0000641	11	8
OG0000642	14	14
OG0000643	25	22
OG0000644	3	1
OG0000645	4	3
OG0000646	6	5
OG0000647	7	3
OG0000648	4	2
OG0000649	5	4
OG0000650	7	7
OG0000651	9	8
OG0000652	9	9
OG0000653	13	13
OG0000654	12	12
OG0000655	12	11
OG0000656	1	1
OG0000657	26	25
OG0000658	31	31
OG0000659	9	9
OG0000660	9	8
OG0000661	3	3
OG0000662	8	8
OG0000663	8	6
OG0000664	5	3
OG0000665	10	10
OG0000666	9	9
OG0000667	10	10
OG0000668	9	8
OG0000669	2	2
OG0000670	3	1
OG0000671	8	8
OG0000672	4	1
OG0000673	8	7
OG0000674	2	0
OG0000675	6	1
OG0000676	9	8
OG0000677	30	30
OG0000678	5	1
OG0000679	11	10
OG0000680	8	7
OG0000681	19	16
OG0000682	9	8
OG0000683	12	12
OG0000684	10	10
OG0000685	10	9
OG0000686	4	1
OG0000687	11	11
OG0000688	29	29
OG0000689	20	19
OG0000690	4	0
OG0000691	17	17
OG0000692	30	30
OG0000693	30	30
OG0000694	5	4
OG0000695	4	0
OG0000696	6	2
OG0000697	9	8
OG0000698	22	18
OG0000699	7	7
OG0000700	8	8
OG0000701	5	3
OG0000702	9	9
OG0000703	3	2
OG0000704	10	10
OG0000705	8	8
OG0000706	9	9
OG0000707	3	2
OG0000708	6	5
OG0000709	9	9
OG0000710	9	7
OG0000711	9	9
OG0000712	4	0
OG0000713	10	0
OG0000714	1	0
OG0000715	4	1
OG0000716	7	5
OG0000717	16	11
OG0000718	14	14
OG0000719	2	1
OG0000720	8	7
OG0000721	10	10
OG0000722	3	0
OG0000723	7	1
OG0000724	7	6
OG0000725	8	8
OG0000726	3	2
OG0000727	9	8
OG0000728	4	0
OG0000729	8	7
OG0000730	8	6
OG0000731	10	9
OG0000732	8	7
OG0000733	5	2
OG0000734	3	2
OG0000735	12	8
OG0000736	9	9
OG0000737	2	2
OG0000738	2	1
OG0000739	2	2
OG0000740	4	2
OG0000741	8	7
OG0000742	9	9
OG0000743	3	1
OG0000744	12	12
OG0000745	13	12
OG0000746	25	25
OG0000747	7	6
OG0000748	3	0
OG0000749	7	6
OG0000750	8	2
OG0000751	7	3
OG0000752	8	8
OG0000753	2	0
OG0000754	5	4
OG0000755	4	2
OG0000756	8	8
OG0000757	5	2
OG0000758	15	12
OG0000759	7	7
OG0000760	8	8
OG0000761	7	4
OG0000762	1	0
OG0000763	8	8
OG0000764	1	0
OG0000765	2	0
OG0000766	8	8
OG0000767	3	1
OG0000768	7	6
OG0000769	3	0
OG0000770	8	7
OG0000771	6	4
OG0000772	7	6
OG0000773	9	9
OG0000774	5	0
OG0000775	28	28
OG0000776	7	7
OG0000777	6	0
OG0000778	7	6
OG0000779	2	1
OG0000780	3	2
OG0000781	9	9
OG0000782	1	1
OG0000783	2	2
OG0000784	3	1
OG0000785	25	25
OG0000786	20	17
OG0000787	9	8
OG0000788	4	2
OG0000789	28	28
OG0000790	22	22
OG0000791	10	10
OG0000792	1	1
OG0000793	6	5
OG0000794	12	11
OG0000795	28	28
OG0000796	28	28
OG0000797	28	28
OG0000798	20	20
OG0000799	6	0
OG0000800	7	7
OG0000801	4	1
OG0000802	3	2
OG0000803	9	9
OG0000804	6	5
OG0000805	5	2
OG0000806	5	5
OG0000807	7	7
OG0000808	7	7
OG0000809	2	0
OG0000810	14	13
OG0000811	5	4
OG0000812	5	5
OG0000813	4	3
OG0000814	6	5
OG0000815	7	7
OG0000816	2	1
OG0000817	7	6
OG0000818	2	0
OG0000819	5	2
OG0000820	7	7
OG0000821	5	4
OG0000822	5	5
OG0000823	2	1
OG0000824	2	1
OG0000825	4	0
OG0000826	7	7
OG0000827	7	5
OG0000828	6	6
OG0000829	7	6
OG0000830	2	1
OG0000831	4	2
OG0000832	8	7
OG0000833	4	3
OG0000834	7	7
OG0000835	2	0
OG0000836	1	0
OG0000837	8	6
OG0000838	7	6
OG0000839	26	26
OG0000840	5	4
OG0000841	7	5
OG0000842	22	22
OG0000843	23	22
OG0000844	5	0
OG0000845	27	27
OG0000846	19	16
OG0000847	20	20
OG0000848	22	22
OG0000849	4	4
OG0000850	8	8
OG0000851	1	1
OG0000852	1	1
OG0000853	9	7
OG0000854	22	20
OG0000855	27	27
OG0000856	27	27
OG0000857	27	27
OG0000858	6	6
OG0000859	6	5
OG0000860	6	6
OG0000861	7	6
OG0000862	6	6
OG0000863	3	2
OG0000864	6	5
OG0000865	3	2
OG0000866	4	2
OG0000867	3	1
OG0000868	1	0
OG0000869	5	5
OG0000870	4	2
OG0000871	5	3
OG0000872	4	3
OG0000873	4	2
OG0000874	4	3
OG0000875	2	1
OG0000876	5	5
OG0000877	6	6
OG0000878	6	4
OG0000879	4	3
OG0000880	12	12
OG0000881	26	26
OG0000882	3	2
OG0000883	4	3
OG0000884	6	5
OG0000885	2	1
OG0000886	2	0
OG0000887	6	6
OG0000888	5	5
OG0000889	3	2
OG0000890	6	4
OG0000891	5	3
OG0000892	4	3
OG0000893	6	6
OG0000894	3	0
OG0000895	3	2
OG0000896	7	7
OG0000897	8	8
OG0000898	6	6
OG0000899	3	0
OG0000900	3	0
OG0000901	6	5
OG0000902	5	5
OG0000903	4	3
OG0000904	6	6
OG0000905	6	6
OG0000906	20	18
OG0000907	2	2
OG0000908	3	2
OG0000909	4	2
OG0000910	5	1
OG0000911	5	5
OG0000912	6	6
OG0000913	1	0
OG0000914	3	2
OG0000915	6	6
OG0000916	26	26
OG0000917	5	2
OG0000918	26	26
OG0000919	1	1
OG0000920	2	1
OG0000921	3	1
OG0000922	4	1
OG0000923	5	5
OG0000924	15	15
OG0000925	24	24
OG0000926	4	3
OG0000927	3	1
OG0000928	3	1
OG0000929	9	8
OG0000930	26	26
OG0000931	5	4
OG0000932	3	2
OG0000933	4	0
OG0000934	9	7
OG0000935	25	25
OG0000936	25	25
OG0000937	26	26
OG0000938	26	26
OG0000939	26	26
OG0000940	5	4
OG0000941	4	3
OG0000942	5	5
OG0000943	5	5
OG0000944	5	5
OG0000945	3	2
OG0000946	5	5
OG0000947	5	3
OG0000948	3	2
OG0000949	3	2
OG0000950	3	3
OG0000951	4	4
OG0000952	5	4
OG0000953	4	2
OG0000954	5	5
OG0000955	5	5
OG0000956	5	5
OG0000957	20	20
OG0000958	1	0
OG0000959	4	3
OG0000960	4	3
OG0000961	3	0
OG0000962	3	0
OG0000963	3	3
OG0000964	5	5
OG0000965	5	1
OG0000966	5	5
OG0000967	4	4
OG0000968	5	5
OG0000969	5	5
OG0000970	4	3
OG0000971	6	5
OG0000972	2	1
OG0000973	5	5
OG0000974	5	5
OG0000975	4	3
OG0000976	4	3
OG0000977	5	5
OG0000978	3	1
OG0000979	4	4
OG0000980	4	4
OG0000981	3	1
OG0000982	4	4
OG0000983	3	1
OG0000984	3	2
OG0000985	1	0
OG0000986	25	25
OG0000987	5	5
OG0000988	5	3
OG0000989	6	6
OG0000990	3	1
OG0000991	4	3
OG0000992	3	3
OG0000993	3	1
OG0000994	3	2
OG0000995	3	3
OG0000996	3	3
OG0000997	5	4
OG0000998	3	2
OG0000999	5	5
OG0001000	5	5
OG0001001	3	2
OG0001002	6	4
OG0001003	4	4
OG0001004	5	5
OG0001005	5	4
OG0001006	3	1
OG0001007	5	5
OG0001008	2	1
OG0001009	4	3
OG0001010	2	0
OG0001011	6	6
OG0001012	2	1
OG0001013	5	4
OG0001014	4	3
OG0001015	5	5
OG0001016	2	1
OG0001017	4	4
OG0001018	5	5
OG0001019	2	1
OG0001020	8	8
OG0001021	1	0
OG0001022	4	2
OG0001023	2	1
OG0001024	2	1
OG0001025	5	5
OG0001026	4	2
OG0001027	2	1
OG0001028	2	0
OG0001029	3	0
OG0001030	3	1
OG0001031	2	1
OG0001032	4	4
OG0001033	3	2
OG0001034	5	5
OG0001035	3	1
OG0001036	2	0
OG0001037	5	2
OG0001038	5	5
OG0001039	5	5
