	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	9499.0	8859.0	8985.0	9234.0	9778.0	9266.0	8897.0	9293.0	9114.0	9264.0	9421.0	9096.0	9258.0	9035.0	9653.0	9472.0	9401.0	10178.0	9996.0	9075.0
Aedes_aegypti	8724.0	0.0	11471.0	8960.0	9079.0	9775.0	9000.0	9945.0	9087.0	8965.0	9010.0	9099.0	8792.0	8935.0	8989.0	9032.0	8938.0	9014.0	9225.0	9823.0	9011.0
Anopheles_gambiae	7908.0	10519.0	0.0	8293.0	8419.0	8779.0	8304.0	9065.0	8301.0	8315.0	8341.0	8351.0	8089.0	8149.0	8292.0	8317.0	8267.0	8286.0	8426.0	8856.0	8261.0
Apis_mellifera	7316.0	7649.0	7427.0	0.0	9382.0	7888.0	9206.0	7511.0	8976.0	9269.0	9146.0	9129.0	8914.0	8539.0	9072.0	9167.0	9146.0	8871.0	9021.0	8089.0	8978.0
Bombus_terrestris	7642.0	7950.0	7718.0	9523.0	0.0	8196.0	9505.0	7761.0	9331.0	9557.0	9497.0	9532.0	9224.0	8866.0	9414.0	9499.0	9453.0	9165.0	9417.0	8362.0	9240.0
Bombyx_mori	8613.0	8827.0	8403.0	8540.0	8703.0	0.0	8704.0	8389.0	8618.0	8564.0	8707.0	8821.0	8477.0	8481.0	8600.0	8825.0	8754.0	8590.0	9060.0	9181.0	8599.0
Ceratina_calcarata	8029.0	8269.0	8003.0	9715.0	9824.0	8511.0	0.0	8038.0	9525.0	9671.0	9657.0	9688.0	9395.0	9177.0	9588.0	9845.0	9763.0	9459.0	9731.0	8716.0	9469.0
Drosophila_melanogaster	8070.0	9596.0	9289.0	8510.0	8603.0	8902.0	8501.0	0.0	8580.0	8558.0	8569.0	8553.0	8296.0	8300.0	8505.0	8489.0	8443.0	8483.0	8636.0	9065.0	8440.0
Dufourea_novaeangliae	7474.0	7749.0	7500.0	8975.0	9178.0	7952.0	9031.0	7553.0	0.0	9121.0	9165.0	9136.0	8894.0	8511.0	9095.0	9131.0	9043.0	8845.0	9017.0	8150.0	8850.0
Eufriesea_mexicana	7598.0	7867.0	7653.0	9360.0	9527.0	8125.0	9314.0	7737.0	9248.0	0.0	9476.0	9385.0	9052.0	8706.0	9267.0	9364.0	9304.0	9089.0	9205.0	8305.0	9138.0
Habropoda_laboriosa	7463.0	7786.0	7536.0	9148.0	9379.0	8024.0	9171.0	7601.0	9131.0	9370.0	0.0	9248.0	8929.0	8557.0	9131.0	9262.0	9160.0	8970.0	9099.0	8192.0	8980.0
Megachile_rotundata	7675.0	7904.0	7648.0	9215.0	9501.0	8173.0	9311.0	7664.0	9259.0	9332.0	9365.0	0.0	9083.0	8778.0	9256.0	9664.0	9528.0	9115.0	9356.0	8297.0	9098.0
Megalopta_genalis	7638.0	7931.0	7696.0	9339.0	9462.0	8169.0	9365.0	7715.0	9304.0	9329.0	9344.0	9391.0	0.0	8784.0	9454.0	9457.0	9414.0	9040.0	9272.0	8314.0	9108.0
Nasonia_vitripennis	8157.0	8314.0	7963.0	9299.0	9370.0	8561.0	9372.0	7930.0	9279.0	9286.0	9309.0	9380.0	9133.0	0.0	9209.0	9519.0	9415.0	9318.0	9911.0	8826.0	9225.0
Nomia_melanderi	7411.0	7752.0	7506.0	9081.0	9243.0	7949.0	9087.0	7564.0	9091.0	9149.0	9115.0	9138.0	8998.0	8551.0	0.0	9169.0	9119.0	8891.0	9029.0	8137.0	8956.0
Osmia_bicornis	7976.0	8064.0	7765.0	9546.0	9747.0	8388.0	9727.0	7819.0	9465.0	9603.0	9648.0	9931.0	9404.0	9040.0	9524.0	0.0	10336.0	9425.0	9762.0	8500.0	9322.0
Osmia_lignaria	7484.0	7708.0	7454.0	9192.0	9392.0	7989.0	9325.0	7519.0	9088.0	9222.0	9233.0	9496.0	9078.0	8650.0	9155.0	9966.0	0.0	8931.0	9234.0	8157.0	8979.0
Polistes_dominula	7551.0	7774.0	7556.0	8903.0	9099.0	8115.0	8995.0	7581.0	8939.0	8995.0	9004.0	9023.0	8773.0	8644.0	8987.0	9044.0	9012.0	0.0	9198.0	8263.0	9304.0
Solenopsis_invicta	9204.0	8658.0	8311.0	9925.0	10158.0	9095.0	10262.0	8290.0	10016.0	10089.0	10155.0	10312.0	9934.0	10333.0	9884.0	10516.0	10324.0	10097.0	0.0	9398.0	9997.0
Tribolium_castaneum	8513.0	8998.0	8716.0	8866.0	8994.0	9268.0	8935.0	8691.0	8910.0	8881.0	8917.0	8942.0	8659.0	8686.0	8860.0	8953.0	8903.0	8922.0	9120.0	0.0	8839.0
Vespa_mandarinia	7408.0	7740.0	7510.0	9028.0	9186.0	8021.0	9042.0	7535.0	8984.0	9099.0	9083.0	9049.0	8870.0	8617.0	9036.0	9128.0	9075.0	9408.0	9143.0	8180.0	0.0
