Species Tree Node	Duplications (all)	Duplications (50% support)
N19	6	6
Drosophila_melanogaster	2394	2394
Dufourea_novaeangliae	197	197
Aedes_aegypti	3033	3033
Osmia_lignaria	354	354
N16	19	11
N1	880	122
Nasonia_vitripennis	2906	2906
Vespa_mandarinia	453	453
Acyrthosiphon_pisum	6435	6435
N5	510	63
N6	170	131
Megalopta_genalis	697	697
Eufriesea_mexicana	324	324
Ceratina_calcarata	919	919
Anopheles_gambiae	1562	1562
N8	654	654
N9	93	93
N0	1304	203
Bombus_terrestris	398	398
N2	181	44
N3	541	106
N4	99	54
Megachile_rotundata	415	415
Solenopsis_invicta	3670	3670
N7	202	9
N12	136	11
N13	24	24
N10	485	35
N11	35	18
Polistes_dominula	453	453
N17	199	199
N14	45	4
N15	95	59
N18	22	10
Osmia_bicornis	805	805
Bombyx_mori	2787	2787
Nomia_melanderi	163	163
Tribolium_castaneum	2287	2287
Habropoda_laboriosa	207	207
Apis_mellifera	183	183
