ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880757"	NA	chrOU015519.1	+	8233362	8233527	8233093	8233279	8233623	8233874	0	88,101,131	0,0,0	393,66,77,97	0,1,0,0	198	99	1	1.0	1.0,1.0,1.0	1.0,0.971,1.0,1.0	0.007
1	"LOC114880757"	NA	chrOU015519.1	+	8234994	8235179	8234745	8234847	8237589	8237700	1	76,57,78	1,1,0	243,49,41,73	0,0,0,0	198	99	1	1.0	0.974,0.966,1.0	1.0,1.0,1.0,1.0	-0.02
2	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235483	8234994	8235179	8237589	8237772	2	56,58,82	1,0,1	217,39,55,62	0,0,0,0	198	99	1	1.0	0.966,1.0,0.976	1.0,1.0,1.0,1.0	-0.019
3	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235569	8234994	8235179	8237589	8237700	3	58,58,88	1,0,1	232,42,54,65	0,0,0,0	198	99	1	1.0	0.967,1.0,0.978	1.0,1.0,1.0,1.0	-0.018
4	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8234745	8234847	8237967	8238029	4	1,1,3	1,0,0	2,0,2,0	0,0,0,0	198	99	1	1.0	0.333,1.0,1.0	1.0,NA,1.0,NA	-0.222
5	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029	5	0,1,9	0,0,1	3,1,6,2	0,0,0,0	198	99	1	1.0	NA,1.0,0.818	1.0,1.0,1.0,1.0	-0.091
6	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8234745	8234847	8237967	8238058	6	7,6,6	1,0,0	12,3,4,3	0,0,0,0	198	99	1	1.0	0.778,1.0,1.0	1.0,1.0,1.0,1.0	-0.074
7	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058	7	6,6,12	0,0,1	13,4,8,5	0,0,0,0	198	99	1	1.0	1.0,1.0,0.857	1.0,1.0,1.0,1.0	-0.048
8	"LOC114880766"	NA	chrOU015519.1	-	8186341	8186570	8185576	8186279	8186666	8186879	8	217,142,115	0,2,0	788,134,150,186	2,0,0,0	198	99	1	1.0	1.0,0.973,1.0	0.995,1.0,1.0,1.0	-0.008
9	"LOC114880101"	NA	chrOU015519.1	-	8158749	8158892	8154250	8154789	8161702	8161819	9	0,2,0	0,2,0	6,4,1,0	0,0,0,0	198	99	1	1.0	NA,0.333,NA	1.0,1.0,1.0,NA	-0.667
10	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	10	0,9,5	0,1,0	13,9,6,5	2,3,1,0	178	99	1	1.0	NA,0.833,1.0	0.783,0.625,0.769,1.0	0.122
