ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880757"	NA	chrOU015519.1	+	8233362	8233527	8233093	8233279	8233623	8233874	0	116,138,167	0,0,0	541,91,119,141	0,1,0,0	264	99	1	1.0	1.0,1.0,1.0	1.0,0.972,1.0,1.0	0.007
1	"LOC114880757"	NA	chrOU015519.1	+	8234994	8235179	8234745	8234847	8237589	8237700	1	127,115,153	1,1,0	484,90,88,131	0,0,0,0	284	99	1	1.0	0.978,0.976,1.0	1.0,1.0,1.0,1.0	-0.015
2	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235483	8234994	8235179	8237589	8237772	2	108,130,176	1,0,1	561,90,130,129	0,0,0,0	320	99	1	1.0	0.971,1.0,0.982	1.0,1.0,1.0,1.0	-0.016
3	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235569	8234994	8235179	8237589	8237700	3	155,169,230	1,0,1	748,126,153,176	0,0,0,0	406	99	1	1.0	0.974,1.0,0.982	1.0,1.0,1.0,1.0	-0.015
4	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8234745	8234847	8237967	8238029	4	27,15,32	1,0,0	101,16,17,28	0,0,0,0	282	99	1	1.0	0.905,1.0,1.0	1.0,1.0,1.0,1.0	-0.032
5	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029	5	26,15,38	0,0,1	102,17,21,30	0,0,0,0	282	99	1	1.0	1.0,1.0,0.93	1.0,1.0,1.0,1.0	-0.023
6	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8234745	8234847	8237967	8238058	6	51,34,47	1,0,0	167,25,38,47	0,0,0,0	360	99	1	1.0	0.933,1.0,1.0	1.0,1.0,1.0,1.0	-0.022
7	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058	7	50,34,53	0,0,1	168,26,42,49	0,0,0,0	360	99	1	1.0	1.0,1.0,0.936	1.0,1.0,1.0,1.0	-0.021
8	"LOC114880766"	NA	chrOU015519.1	-	8186341	8186570	8185576	8186279	8186666	8186879	8	338,234,214	0,2,0	1360,231,266,320	2,0,0,0	328	99	1	1.0	1.0,0.972,1.0	0.995,1.0,1.0,1.0	-0.008
9	"LOC114880101"	NA	chrOU015519.1	-	8158749	8158892	8154250	8154789	8161702	8161819	9	0,2,0	0,2,0	6,4,1,0	0,0,0,0	242	99	1	1.0	NA,0.29,NA	1.0,1.0,1.0,NA	-0.71
10	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	10	0,9,5	0,1,0	13,9,6,5	2,3,1,0	178	99	1	1.0	NA,0.833,1.0	0.783,0.625,0.769,1.0	0.122
11	"LOC114880061"	NA	chrOU015519.1	-	8113635	8113778	8112970	8113128	8114206	8114329	11	35,37,47	0,0,0	257,48,43,60	3,0,0,1	242	99	1	1.0	1.0,1.0,1.0	0.972,1.0,1.0,0.961	0.017
12	"LOC114880061"	NA	chrOU015519.1	-	8116458	8116618	8114424	8114504	8116742	8117460	12	36,43,41	0,0,0	290,37,43,48	1,1,1,0	259	99	1	1.0	1.0,1.0,1.0	0.991,0.934,0.943,1.0	0.033
13	"LOC114880061"	NA	chrOU015519.1	-	8116742	8117460	8114424	8114504	8121069	8121853	13	89,104,147	0,0,0	651,128,129,153	3,0,0,1	817	99	0.908488140038	1.0	1.0,1.0,1.0	0.963,1.0,1.0,0.949	0.022
14	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633	14	245,234,227	2,4,5	1248,216,236,323	5,1,1,4	233	99	0.0301545588523	0.2502132170058371	0.981,0.961,0.951	0.991,0.989,0.99,0.972	-0.021
15	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168	15	0,4,2	2,0,0	405,64,92,84	8,1,1,1	352	99	0.906790781616	1.0	0.0,1.0,1.0	0.934,0.947,0.963,0.959	-0.284
16	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373	16	2,2,3	3,8,5	6,0,1,2	21,8,3,5	219	99	0.401607501737	1.0	0.232,0.102,0.213	0.114,0.0,0.131,0.153	0.083
17	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930	17	92,73,65	0,0,0	371,74,63,95	0,0,1,0	224	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.965,1.0	0.009
18	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376	18	22,33,36	2,0,0	136,32,27,23	8,0,2,0	112	99	0.0491882815718	0.3578729306531855	0.907,1.0,1.0	0.938,1.0,0.923,1.0	0.004
19	"LOC114872169"	NA	chrOU015519.1	-	7942921	7943092	7941796	7942854	7943333	7943438	19	130,132,109	0,1,0	449,69,100,102	0,0,0,0	270	99	1	1.0	1.0,0.98,1.0	1.0,1.0,1.0,1.0	-0.007
20	"LOC114872169"	NA	chrOU015519.1	-	7943171	7943262	7942921	7943092	7943333	7943438	20	162,151,115	0,1,0	421,101,105,102	0,0,0,0	190	99	1	1.0	1.0,0.987,1.0	1.0,1.0,1.0,1.0	-0.004
21	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089	21	64,56,49	0,1,3	282,62,46,54	1,0,1,1	190	99	0.613017850319	1.0	1.0,0.967,0.895	0.993,1.0,0.96,0.966	-0.026
22	"LOC114872196"	NA	chrOU015519.1	+	7843955	7844072	7843233	7843859	7844177	7844574	22	175,164,131	0,0,0	691,130,143,137	2,0,0,0	216	99	1	1.0	1.0,1.0,1.0	0.994,1.0,1.0,1.0	0.002
23	"LOC114872187"	NA	chrOU015519.1	+	7836434	7836515	7836217	7836366	7836581	7836745	23	32,20,34	0,0,1	139,21,17,18	0,0,0,0	180	99	1	1.0	1.0,1.0,0.949	1.0,1.0,1.0,1.0	-0.017
24	"LOC114872197"	NA	chrOU015519.1	-	7829190	7829438	7828601	7828720	7829587	7829933	24	2692,3000,2742	0,0,1	12512,2321,2418,2668	0,0,0,0	347	99	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0,1.0	-0.0
25	"LOC114872191"	NA	chrOU015519.1	-	7811200	7811876	7807297	7811122	7815112	7815253	25	730,684,1179	1,0,0	3779,519,685,874	0,0,0,0	775	99	1	1.0	0.989,1.0,1.0	1.0,1.0,1.0,1.0	-0.004
26	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815628	7815112	7815253	7816654	7816990	26	167,250,259	0,1,1	1092,178,201,252	0,0,0,0	227	99	1	1.0	1.0,0.991,0.991	1.0,1.0,1.0,1.0	-0.006
27	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815112	7815253	7816654	7816990	27	294,391,394	0,1,1	1601,261,304,365	0,0,0,0	269	99	1	1.0	1.0,0.993,0.993	1.0,1.0,1.0,1.0	-0.005
28	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781572	7781767	7782139	7782267	28	111,178,125	0,0,0	464,82,86,93	2,0,0,0	315	99	1	1.0	1.0,1.0,1.0	0.986,1.0,1.0,1.0	0.004
29	"LOC114872190"	NA	chrOU015519.1	-	7781960	7782062	7781572	7781767	7782139	7782267	29	119,187,132	0,0,0	495,87,98,114	2,0,0,0	201	99	1	1.0	1.0,1.0,1.0	0.992,1.0,1.0,1.0	0.002
30	"LOC114872195"	NA	chrOU015519.1	-	7778189	7778443	7777890	7778113	7778776	7778902	30	532,311,468	0,0,0	1114,238,243,349	1,0,0,0	353	99	1	1.0	1.0,1.0,1.0	0.997,1.0,1.0,1.0	0.001
31	"LOC114872195"	NA	chrOU015519.1	-	7778541	7778715	7778189	7778443	7778776	7778902	31	448,235,416	1,1,1	1018,176,195,330	0,0,0,0	273	99	1	1.0	0.994,0.988,0.993	1.0,1.0,1.0,1.0	-0.008
32	"LOC114872198"	NA	chrOU015519.1	+	7732086	7732151	7731915	7732000	7732293	7732501	32	7,10,6	0,0,0	32,5,9,6	1,0,0,0	164	99	1	1.0	1.0,1.0,1.0	0.951,1.0,1.0,1.0	0.012
33	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706726	7705548	7705876	7706966	7707214	33	858,476,1203	0,0,0	2693,519,572,1113	2,0,0,0	521	99	1	1.0	1.0,1.0,1.0	0.996,1.0,1.0,1.0	0.001
34	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706735	7705548	7705876	7706966	7707214	34	781,468,1057	0,0,0	2311,469,490,969	2,0,0,0	530	99	1	1.0	1.0,1.0,1.0	0.995,1.0,1.0,1.0	0.001
35	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7705548	7705876	7706966	7707214	35	783,504,1062	0,0,0	2339,485,494,992	2,0,0,0	588	99	1	1.0	1.0,1.0,1.0	0.995,1.0,1.0,1.0	0.001
36	"LOC114872189"	NA	chrOU015519.1	+	7686509	7687777	7686182	7686326	7687845	7687987	36	1059,1083,1040	1,0,0	5595,935,1069,1155	1,0,0,1	1367	99	1	1.0	0.987,1.0,1.0	0.998,1.0,1.0,0.988	-0.001
37	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508	37	246,151,185	186,177,176	917,159,165,169	452,100,109,100	220	99	2.42288864828e-05	0.0007420310269649996	0.373,0.277,0.321	0.477,0.417,0.405,0.432	-0.109
38	"LOC114872242"	NA	chrOU015519.1	+	7598268	7598508	7598102	7598223	7598613	7598796	38	4213,3803,3847	0,1,0	18051,3061,3359,3603	0,0,0,0	339	99	1	1.0	1.0,0.999,1.0	1.0,1.0,1.0,1.0	-0.0
39	"LOC114872242"	NA	chrOU015519.1	+	7598296	7598508	7597830	7598223	7598613	7598796	39	4753,4298,4365	0,1,0	20639,3480,3769,4027	0,0,0,0	311	99	1	1.0	1.0,0.999,1.0	1.0,1.0,1.0,1.0	-0.0
40	"LOC114872242"	NA	chrOU015519.1	+	7599524	7599663	7599295	7599442	7599745	7599883	40	4359,4124,3633	1,2,0	17621,3483,3207,3779	0,1,0,0	238	99	1	1.0	0.999,0.999,1.0	1.0,0.999,1.0,1.0	-0.0
41	"LOC114872242"	NA	chrOU015519.1	+	7599745	7599883	7599524	7599663	7599952	7600119	41	4239,4050,3302	0,0,1	16068,3296,3004,3487	0,0,0,0	237	99	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0,1.0	-0.0
42	"LOC114872237"	NA	chrOU015519.1	+	7503482	7503663	7490171	7490281	7515081	7515197	42	0,1,1	0,0,0	6,1,2,4	0,0,0,1	280	99	1	1.0	NA,1.0,1.0	1.0,1.0,1.0,0.586	0.104
