ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114880757"	NA	chrOU015519.1	+	8233362	8233527	8233093	8233279	8233623	8233874
1	"LOC114880757"	NA	chrOU015519.1	+	8234994	8235179	8234745	8234847	8237589	8237700
2	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235483	8234994	8235179	8237589	8237772
3	"LOC114880757"	NA	chrOU015519.1	+	8235262	8235569	8234994	8235179	8237589	8237700
4	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8234745	8234847	8237967	8238029
5	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029
6	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8234745	8234847	8237967	8238058
7	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058
8	"LOC114880766"	NA	chrOU015519.1	-	8186341	8186570	8185576	8186279	8186666	8186879
9	"LOC114880101"	NA	chrOU015519.1	-	8158749	8158892	8154250	8154789	8161702	8161819
10	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819
11	"LOC114880061"	NA	chrOU015519.1	-	8113635	8113778	8112970	8113128	8114206	8114329
12	"LOC114880061"	NA	chrOU015519.1	-	8116458	8116618	8114424	8114504	8116742	8117460
13	"LOC114880061"	NA	chrOU015519.1	-	8116742	8117460	8114424	8114504	8121069	8121853
14	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633
15	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168
16	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373
17	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930
18	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376
19	"LOC114872169"	NA	chrOU015519.1	-	7942921	7943092	7941796	7942854	7943333	7943438
20	"LOC114872169"	NA	chrOU015519.1	-	7943171	7943262	7942921	7943092	7943333	7943438
21	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089
22	"LOC114872196"	NA	chrOU015519.1	+	7843955	7844072	7843233	7843859	7844177	7844574
23	"LOC114872187"	NA	chrOU015519.1	+	7836434	7836515	7836217	7836366	7836581	7836745
24	"LOC114872197"	NA	chrOU015519.1	-	7829190	7829438	7828601	7828720	7829587	7829933
25	"LOC114872191"	NA	chrOU015519.1	-	7811200	7811876	7807297	7811122	7815112	7815253
26	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815628	7815112	7815253	7816654	7816990
27	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815112	7815253	7816654	7816990
28	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781572	7781767	7782139	7782267
29	"LOC114872190"	NA	chrOU015519.1	-	7781960	7782062	7781572	7781767	7782139	7782267
30	"LOC114872195"	NA	chrOU015519.1	-	7778189	7778443	7777890	7778113	7778776	7778902
31	"LOC114872195"	NA	chrOU015519.1	-	7778541	7778715	7778189	7778443	7778776	7778902
32	"LOC114872198"	NA	chrOU015519.1	+	7732086	7732151	7731915	7732000	7732293	7732501
33	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706726	7705548	7705876	7706966	7707214
34	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706735	7705548	7705876	7706966	7707214
35	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7705548	7705876	7706966	7707214
36	"LOC114872189"	NA	chrOU015519.1	+	7686509	7687777	7686182	7686326	7687845	7687987
37	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508
38	"LOC114872242"	NA	chrOU015519.1	+	7598268	7598508	7598102	7598223	7598613	7598796
39	"LOC114872242"	NA	chrOU015519.1	+	7598296	7598508	7597830	7598223	7598613	7598796
40	"LOC114872242"	NA	chrOU015519.1	+	7599524	7599663	7599295	7599442	7599745	7599883
41	"LOC114872242"	NA	chrOU015519.1	+	7599745	7599883	7599524	7599663	7599952	7600119
42	"LOC114872237"	NA	chrOU015519.1	+	7503482	7503663	7490171	7490281	7515081	7515197
43	"LOC114872255"	NA	chrOU015519.1	+	7150106	7150123	7144919	7145075	7150202	7150291
44	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081
45	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114
46	"LOC114872248"	NA	chrOU015519.1	-	7018921	7019081	7014505	7018391	7022429	7022611
47	"LOC114872248"	NA	chrOU015519.1	-	7019617	7022054	7018921	7019081	7022429	7022611
