ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152529	8152624	8153796	0	5,22,0	0,2,0	25,20,12,13	0,0,0,0	194	99	1	1.0	1.0,0.849,NA	1.0,1.0,1.0,1.0	-0.076
1	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152597	8152690	8153796	1	5,15,2	0,0,1	24,19,18,19	1,1,1,1	192	99	0.0491901041547	0.20704946419270573	1.0,1.0,0.508	0.925,0.907,0.903,0.907	-0.075
2	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8153375	8153588	8153796	2	0,6,4	0,1,0	12,9,6,5	1,5,2,3	198	99	1	1.0	NA,0.75,1.0	0.857,0.474,0.6,0.455	0.278
3	"LOC114880085"	NA	chrOU015519.1	+	8030599	8031648	8030599	8030778	8030863	8031648	3	18,19,25	24,33,29	122,31,19,38	197,35,41,49	184	99	0.784748522694	1.0	0.288,0.237,0.317	0.25,0.323,0.2,0.294	0.014
4	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968196	7968639	4	2,1,3	3,0,0	15,3,4,2	0,0,0,0	198	99	0.145451341523	0.43837506675453564	0.25,1.0,1.0	1.0,1.0,1.0,1.0	-0.25
5	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968469	7968639	5	3,2,8	0,0,1	24,8,7,6	1,0,0,0	198	99	1	1.0	1.0,1.0,0.8	0.923,1.0,1.0,1.0	-0.047
6	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971697	7971779	7972120	6	15,30,40	4,4,11	124,32,22,40	35,1,1,4	181	99	0.224865385442	0.5856866156281879	0.672,0.804,0.665	0.66,0.946,0.923,0.845	-0.13
7	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971894	7971992	7972120	7	5,4,3	3,4,3	35,3,3,11	5,4,3,3	197	99	0.176857491415	0.49720827439280685	0.456,0.334,0.334	0.779,0.274,0.334,0.648	-0.134
8	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971911	7971992	7972120	8	2,3,3	3,2,1	32,3,3,8	8,1,1,1	180	99	0.0705334429594	0.26912630573339896	0.268,0.452,0.623	0.688,0.623,0.623,0.815	-0.24
9	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959668	7959736	7960310	9	1,0,1	0,1,2	4,0,0,0	2,0,0,0	167	99	1	1.0	1.0,0.0,0.229	0.542,NA,NA,NA	-0.132
10	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959826	7960034	7960310	10	6,0,2	0,1,0	2,5,0,1	0,0,0,1	198	99	1	1.0	1.0,0.0,1.0	1.0,1.0,NA,0.333	-0.111
11	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945806	7945819	7945972	7946376	11	128,129,107	7,15,19	552,92,120,130	66,17,12,7	198	99	0.961007961055	1.0	0.901,0.811,0.738	0.807,0.73,0.833,0.903	-0.002
