ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"LOC114880052"	NA	chrOU015519.1	+	7998293	7998546	7998302	7998546	7998119	7998211
5	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945972	7946376	7945584	7945730
6	"LOC114872191"	NA	chrOU015519.1	-	7807297	7811876	7807297	7811122	7815112	7815253
12	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734997	7735337	7732618	7733164
13	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734965	7735337	7734030	7734382
14	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734997	7735337	7734030	7734382
15	"LOC114872198"	NA	chrOU015519.1	+	7734965	7735337	7734997	7735337	7734030	7734382
22	"LOC114872233"	NA	chrOU015519.1	+	7677707	7679021	7678109	7679021	7676847	7677573
25	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7597897	7598223	7592962	7593090
26	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7598070	7598223	7592962	7593090
27	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598070	7598223	7592962	7593090
28	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7597897	7598223	7596111	7596255
39	"LOC114872242"	NA	chrOU015519.1	+	7598268	7598508	7598296	7598508	7598102	7598223
42	"LOC114879960"	NA	chrOU015519.1	-	6701139	6701271	6701139	6701266	6701510	6701919
49	"LOC114879151"	NA	chrOU015519.1	+	6506149	6506810	6506218	6506810	6503963	6504281
50	"LOC114879151"	NA	chrOU015519.1	+	6506149	6506810	6506218	6506810	6504944	6505483
77	"LOC114879774"	NA	chrOU015519.1	-	3256724	3256910	3256724	3256884	3257018	3257079
78	"LOC114879766"	NA	chrOU015519.1	-	3179928	3180591	3179928	3180302	3180671	3180869
84	"LOC114877853"	NA	chrOU015519.1	+	2930845	2931061	2931019	2931061	2927679	2927821
96	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540077	2540227	2540579	2540846
97	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540077	2540227	2540615	2540837
106	"LOC114880802"	NA	chrOU015518.1	+	8719215	8719472	8719449	8719472	8718836	8719081
107	"LOC114880802"	NA	chrOU015518.1	+	8719215	8719472	8719449	8719472	8719006	8719032
108	"LOC114880802"	NA	chrOU015518.1	+	8719215	8719472	8719449	8719472	8719017	8719105
111	"LOC114876493"	NA	chrOU015518.1	+	8404075	8404183	8404088	8404183	8399388	8399483
113	"LOC114875664"	NA	chrOU015518.1	+	7806383	7806806	7806639	7806806	7805346	7806064
114	"LOC114875664"	NA	chrOU015518.1	+	7806383	7806806	7806639	7806806	7806125	7806316
116	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7773249	7773339
118	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7775017	7775118
124	"LOC114877708"	NA	chrOU015518.1	+	7328384	7328849	7328507	7328849	7327791	7328142
133	"LOC114877834"	NA	chrOU015518.1	-	6208150	6209854	6208150	6209851	6212396	6212725
149	"LOC114878478"	NA	chrOU015518.1	-	4362803	4362945	4362803	4362923	4363061	4363248
152	"LOC114877392"	NA	chrOU015518.1	+	3976509	3976724	3976515	3976724	3974064	3974088
156	"LOC114880571"	NA	chrOU015518.1	-	3626657	3627204	3626657	3627187	3627257	3627350
163	"LOC114882852"	NA	chrOU015518.1	-	2472928	2474110	2472928	2473523	2474765	2474957
164	"LOC114882852"	NA	chrOU015518.1	-	2472928	2474110	2472928	2473523	2475862	2476239
177	"LOC114877996"	NA	chrOU015519.1	+	3340931	3341431	3341222	3341431	3340523	3340666
180	"LOC114873010"	NA	chrOU015518.1	+	755820	756170	755835	756170	755504	755614
184	"LOC114876010"	NA	chrOU015518.1	-	624148	624406	624148	624398	625382	625950
193	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	573275	573692	572015	572270
195	"LOC114876023"	NA	chrOU015518.1	-	517492	518228	517492	518225	518462	518639
203	"LOC114878877"	NA	chrOU015517.1	-	6642889	6643447	6642889	6643255	6644007	6644087
221	"LOC114875900"	NA	chrOU015517.1	-	5406502	5406705	5406502	5406590	5429509	5429730
236	"LOC114879615"	NA	chrOU015509.1	+	7889329	7894528	7894364	7894528	7867401	7867553
237	"LOC114879615"	NA	chrOU015509.1	+	7891233	7894528	7894364	7894528	7867401	7867553
239	"LOC114879615"	NA	chrOU015509.1	+	7895438	7895696	7895449	7895696	7895154	7895389
241	"LOC114879615"	NA	chrOU015509.1	+	7895449	7895696	7895478	7895696	7895154	7895389
244	"LOC114882862"	NA	chrOU015518.1	+	2051237	2051911	2051703	2051911	2050940	2051058
