Orthogroup	Dufourea_novaeangliae	Nasonia_vitripennis
OG0000000	XP_015437064.1, XP_015437899.1, XP_015434762.1	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1
OG0000000	XP_015437066.1	XP_031781616.1
OG0000001	XP_015431819.1	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1
OG0000001	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1
OG0000001	XP_015437062.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000001	XP_015431466.1	XP_001603508.1, NP_001165940.1, XP_001599460.2
OG0000001	XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_015431056.1, XP_015431069.1	NP_001177429.1
OG0000002	XP_015431184.1, XP_015431151.1, XP_015431173.1	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1
OG0000002	XP_015431139.1, XP_015431081.1, XP_015431092.1, XP_015431116.1, XP_015431127.1, XP_015431105.1, XP_015431162.1	NP_001177431.1
OG0000003	XP_015437705.1	XP_031779857.1
OG0000003	XP_015438093.1	XP_031779781.1, XP_031783173.1, XP_016844361.3, XP_008204128.1, XP_031789079.1
OG0000005	XP_015429685.1, XP_015429410.1	XP_001604398.2
OG0000006	XP_015432300.1	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1
OG0000008	XP_015431031.1	XP_001602085.1
OG0000008	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1	XP_008205990.2
OG0000008	XP_015435962.1	XP_031788628.1
OG0000008	XP_015431211.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_015431032.1	XP_001602133.1
OG0000008	XP_015431033.1	XP_001600419.1
OG0000008	XP_015431233.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_015431215.1	XP_032452116.1, XP_032452115.1
OG0000012	XP_015431007.1	XP_016838732.1
OG0000012	XP_015432417.1	NP_001166049.1, XP_032452528.1
OG0000012	XP_015432474.1	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1
OG0000012	XP_015432475.1	XP_001603672.1
OG0000013	XP_015435345.1	XP_001599179.2
OG0000013	XP_015435409.1, XP_015440404.1	XP_031777922.1
OG0000013	XP_015434156.1	XP_001608166.1, XP_001608174.1
OG0000014	XP_015438106.1	XP_031787726.1, XP_001608125.1
OG0000016	XP_015435180.1	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1
OG0000016	XP_015438886.1	XP_032456536.1
OG0000017	XP_015436976.1	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	XP_015436971.1	NP_001165914.1
OG0000018	XP_015440533.1, XP_015440532.1	XP_008214580.1
OG0000018	XP_015437296.1	XP_001604347.2
OG0000018	XP_015437285.1, XP_015437283.1	XP_031784239.1
OG0000018	XP_015433210.1	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_015436531.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_015430887.1	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_015431150.1	XP_031783671.1
OG0000020	XP_015431804.1	XP_031781856.1
OG0000020	XP_015437420.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_015436481.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_015436556.1	XP_001603725.1
OG0000021	XP_015430481.1	XP_001601834.2
OG0000021	XP_015428676.1	XP_008201868.1
OG0000022	XP_015430686.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000023	XP_015435402.1	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1
OG0000024	XP_015433449.1, XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1	XP_001604944.4
OG0000024	XP_015436496.1	XP_001599160.3
OG0000024	XP_015435623.1	XP_008216554.1
OG0000024	XP_015435622.1	NP_001166221.1
OG0000026	XP_015439534.1	XP_032452024.1
OG0000026	XP_015434403.1	XP_008204831.1
OG0000026	XP_015437222.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_015440357.1	XP_001599637.2
OG0000026	XP_015440372.1	XP_001599666.2
OG0000027	XP_015435411.1	XP_031787551.1, XP_031787550.1, XP_001607199.1, XP_016836796.1, XP_001607554.1, XP_016844944.1, XP_001599220.1, XP_003424595.1, XP_031787587.1
OG0000027	XP_015440405.1	XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1
OG0000028	XP_015437076.1	XP_031789120.1, XP_031783906.1
