target_id	length	eff_length	est_counts	tpm
XM_029176008.1	2568	2332.42	0	0
XM_029176009.1	4203	3967.42	4.7571	0.434177
XM_029176010.1	1236	1000.42	40.4547	14.6427
XM_029176011.1	814	578.464	81.648	51.1095
XM_029176012.1	694	458.711	5.35204	4.22486
XM_029176013.1	693	457.711	1724	1363.89
XM_029176014.1	17928	17692.4	121.823	2.4933
XM_029176015.1	787	551.483	74	48.5884
XM_029176016.1	521	287.354	103	129.793
XM_029176017.1	1219	983.418	1	0.368209
XM_029176018.1	2573	2337.42	146.364	22.6741
XM_029176019.1	2564	2328.42	25.6362	3.9868
XM_029176020.1	2886	2650.42	128	17.4875
XM_029176021.1	5925	5689.42	0	0
XM_029176022.1	17922	17686.4	0	0
XM_029176023.1	5843	5607.42	0	0
XM_029176024.1	5922	5686.42	103.014	6.55979
XM_029176025.1	5897	5661.42	140.986	9.01744
XM_029176026.1	5097	4861.42	0	0
XM_029176027.1	5600	5364.42	196.603	13.2709
XM_029176028.1	3805	3569.42	168.406	17.0841
XM_029176029.1	3791	3555.42	84.9919	8.65604
XM_029176030.1	17775	17539.4	0	0
XM_029176031.1	5155	4919.42	5.66818e-07	4.17217e-08
XM_029176032.1	2630	2394.42	202	30.5481
XM_029176033.1	2354	2118.42	0	0
XM_029176034.1	3269	3033.42	219.239	26.1708
XM_029176035.1	3025	2789.42	0	0
XM_029176036.1	1503	1267.42	38.7612	11.0741
XM_029176037.1	8462	8226.42	0	0
XM_029176038.1	8010	7774.42	0	0
XM_029176039.1	8456	8220.42	0	0
XM_029176040.1	8447	8211.42	0	0
XM_029176041.1	8441	8205.42	80.8115	3.56619
XM_029176042.1	8437	8201.42	0	0
XM_029176043.1	8422	8186.42	84.5811	3.74121
XM_029176044.1	2288	2052.42	442.472	78.0643
XM_029176045.1	2346	2110.42	0	0
XM_029176046.1	7605	7369.42	28.1323	1.38231
XM_029176047.1	2201	1965.42	11.4751	2.11413
XM_029176048.1	1848	1612.42	63.481	14.256
XM_029176049.1	1845	1609.42	12.9792	2.92019
XM_029176050.1	1721	1485.42	131.54	32.0657
XM_029176051.1	1297	1061.42	81	27.6332
XM_029176052.1	1140	904.418	108	43.2401
XM_029176053.1	1157	921.418	146	57.3758
XM_029176054.1	4349	4113.42	475	41.8142
XM_029176055.1	4403	4167.42	0	0
XM_029176056.1	1130	894.418	111	44.9381
XM_029176057.1	18063	17827.4	0	0
XM_029176058.1	1051	815.418	0	0
XM_029176059.1	6144	5908.42	82.4155	5.05092
XM_029176060.1	6043	5807.42	0	0
XM_029176061.1	5787	5551.42	62.3423	4.06641
XM_029176062.1	5868	5632.42	0.675448	0.043424
XM_029176063.1	5634	5398.42	26.5667	1.78199
XM_029176064.1	4977	4741.42	117.553	8.97752
XM_029176065.1	4251	4015.42	4.44746	0.401064
XM_029176066.1	18039	17803.4	0	0
XM_029176067.1	2175	1939.42	81.9404	15.2989
XM_029176068.1	2104	1868.42	18.0596	3.49999
XM_029176069.1	3362	3126.42	147	17.0256
XM_029176070.1	1137	901.418	10.1283	4.06858
XM_029176071.1	1253	1017.42	60.6213	21.5754
XM_029176072.1	1048	812.418	8.25044	3.67731
XM_029176073.1	1096	860.418	136	57.235
XM_029176074.1	964	728.443	0	0
XM_029176075.1	17952	17716.4	0.176846	0.00361452
XM_029176076.1	877	641.443	74.8935	42.2784
XM_029176077.1	891	655.443	3.10653	1.71622
XM_029176078.1	819	583.464	183	113.572
XM_029176079.1	872	636.443	134	76.2391
XM_029176080.1	2767	2531.42	147	21.0274
XM_029176081.1	1987	1751.42	116.57	24.1006
XM_029176082.1	718	482.601	0	0
XM_029176083.1	17928	17692.4	121.823	2.4933
XM_029176084.1	5188	4952.42	17	1.24298
XM_029176085.1	2929	2693.42	40	5.3776
XM_029176086.1	2918	2682.42	0	0
XM_029176087.1	4079	3843.42	560	52.7598
XM_029176088.1	10895	10659.4	507.683	17.2461
XM_029176089.1	10499	10263.4	88.317	3.11591
XM_029176090.1	17922	17686.4	0	0
XM_029176091.1	10588	10352.4	43.8148	1.53254
XM_029176092.1	9721	9485.42	124.776	4.76331
XM_029176093.1	10083	9847.42	24.0734	0.885213
XM_029176094.1	9652	9416.42	0	0
XM_029176095.1	10659	10423.4	0	0
XM_029176096.1	3540	3304.42	0	0
XM_029176097.1	10656	10420.4	0	0
XM_029176098.1	10650	10414.4	0	0
XM_029176099.1	10194	9958.42	69.5407	2.52861
XM_029176100.1	10632	10396.4	5.10997e-07	1.77978e-08
XM_029176101.1	10596	10360.4	0	0
XM_029176102.1	17775	17539.4	0	0
XM_029176103.1	10075	9839.42	19.7947	0.72847
XM_029176104.1	2400	2164.42	39.0102	6.52633
XM_029176105.1	2240	2004.42	273.134	49.3424
XM_029176106.1	2478	2242.42	37.8555	6.11287
XM_029176107.1	919	683.443	35	18.5438
XM_029176108.1	2396	2160.42	62.266	10.4363
XM_029176109.1	2334	2098.42	28.5019	4.91829
XM_029176110.1	1694	1458.42	57.4736	14.2698
XM_029176111.1	2294	2058.42	18.5283	3.25937
XM_029176112.1	808	572.464	109	68.9463
XM_029176113.1	2336	2100.42	9.72354	1.6763
