ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
4	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945972	7946376	7945584	7945730
10	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734997	7735337	7732618	7733164
17	"LOC114872233"	NA	chrOU015519.1	+	7677707	7679021	7678109	7679021	7676847	7677573
20	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598045	7598223	7592962	7593090
33	"LOC114879960"	NA	chrOU015519.1	-	6701139	6701271	6701139	6701266	6701545	6701919
40	"LOC114879151"	NA	chrOU015519.1	+	6506149	6506810	6506218	6506810	6503963	6504281
61	"LOC114880249"	NA	chrOU015519.1	-	3747727	3747880	3747727	3747854	3750136	3750342
62	"LOC114880249"	NA	chrOU015519.1	-	3747727	3747880	3747727	3747854	3750382	3750467
74	"LOC114877853"	NA	chrOU015519.1	+	2930845	2931061	2931019	2931061	2927679	2927821
94	"LOC114880802"	NA	chrOU015518.1	+	8719215	8719472	8719449	8719472	8718836	8719081
97	"LOC114876493"	NA	chrOU015518.1	+	8404075	8404183	8404088	8404183	8399388	8399483
100	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7773249	7773339
102	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7775017	7775118
108	"LOC114877708"	NA	chrOU015518.1	+	7328384	7328849	7328507	7328849	7327791	7328142
117	"LOC114877834"	NA	chrOU015518.1	-	6208150	6209854	6208150	6209851	6212396	6212725
133	"LOC114878478"	NA	chrOU015518.1	-	4362803	4362945	4362803	4362923	4363061	4363248
136	"LOC114877392"	NA	chrOU015518.1	+	3976509	3976724	3976515	3976724	3973539	3973736
158	"LOC114872843"	NA	chrOU015518.1	+	989786	989984	989927	989984	989472	989545
164	"LOC114876010"	NA	chrOU015518.1	-	624148	624406	624148	624398	625382	625950
174	"LOC114876023"	NA	chrOU015518.1	-	517492	518228	517492	518225	518462	518639
199	"LOC114875900"	NA	chrOU015517.1	-	5406502	5406705	5406502	5406590	5429509	5429730
214	"LOC114879615"	NA	chrOU015509.1	+	7889329	7894528	7894364	7894528	7867401	7867553
215	"LOC114879615"	NA	chrOU015509.1	+	7891233	7894528	7894364	7894528	7867401	7867553
243	"LOC114877357"	NA	chrOU015509.1	-	2185346	2185720	2185346	2185629	2185836	2185945
246	"LOC114878078"	NA	chrOU015508.1	-	8005341	8005573	8005341	8005563	8005676	8005811
250	"LOC114873499"	NA	chrOU015509.1	-	747157	747405	747157	747390	750148	750169
273	"LOC114872028"	NA	chrOU015505.1	+	6104824	6105375	6104889	6105375	6103740	6103843
274	"LOC114872028"	NA	chrOU015505.1	+	6104824	6105375	6104943	6105375	6103740	6103843
275	"LOC114872028"	NA	chrOU015505.1	+	6104889	6105375	6104943	6105375	6103740	6103843
276	"LOC114872028"	NA	chrOU015505.1	+	6104824	6105375	6104889	6105375	6103740	6104222
283	"LOC114880062"	NA	chrOU015519.1	-	8092578	8092908	8092578	8092719	8093892	8094017
290	"LOC114870925"	NA	chrOU015504.1	+	14338437	14338709	14338664	14338709	14337461	14337744
318	"LOC114877935"	NA	chrOU015508.1	-	5560502	5560621	5560502	5560592	5561413	5561995
321	"LOC114877942"	NA	chrOU015508.1	+	5406303	5406482	5406334	5406482	5406111	5406240
327	"LOC114871608"	NA	chrOU015509.1	-	2637934	2638160	2637934	2638150	2638430	2638593
345	"LOC114871077"	NA	chrOU015508.1	+	2053547	2053717	2053565	2053717	2052633	2052917
355	"LOC114878228"	NA	chrOU015512.1	+	8487010	8487146	8487052	8487146	8486639	8486760
359	"LOC114871024"	NA	chrOU015508.1	+	1432334	1432737	1432528	1432737	1432053	1432250
367	"LOC114878888"	NA	chrOU015509.1	-	5554720	5555012	5554720	5555009	5555240	5555370
368	"LOC114878888"	NA	chrOU015509.1	-	5554720	5555012	5554720	5555009	5555455	5555759
371	"LOC114882860"	NA	chrOU015507.1	+	4037905	4038139	4037947	4038139	4034562	4034740
387	"LOC114882687"	NA	chrOU015508.1	-	87358	87711	87358	87707	89307	89390
388	"LOC114882743"	NA	chrOU015508.1	+	57942	58243	57983	58243	56301	56332
