ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
21	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7678109	7679021
186	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337744	14338664	14338709
299	"LOC114877458"	NA	chrOU015507.1	+	3631411	3633902	3631411	3631558	3632134	3633902
324	"LOC114876998"	NA	chrOU015514.1	-	2728206	2728854	2728206	2728350	2728702	2728854
455	"LOC114880748"	NA	chrOU015510.1	+	21571	22211	21571	21621	21965	22211
495	"LOC114871209"	NA	chrOU015508.1	-	1827142	1829883	1827142	1827277	1827590	1829883
700	"LOC114880859"	NA	chrOU015511.1	-	5534563	5535267	5534563	5534688	5535110	5535267
748	"LOC114877984"	NA	chrOU015506.1	-	3279437	3280743	3279437	3280040	3280564	3280743
860	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444624	2447097	2448069
862	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444624	2447459	2448069
1031	"LOC114880544"	NA	chrOU015512.1	+	116675	117370	116675	116797	117181	117370
1036	"LOC114877472"	NA	chrOU015512.1	-	278129	279181	278129	278335	279020	279181
1296	"LOC114873915"	NA	chrOU015514.1	-	8474763	8475923	8474763	8474908	8475406	8475923
1452	"LOC114879792"	NA	chrOU015516.1	+	8340559	8341027	8340559	8340879	8340927	8341027
