ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	0	71,45,46,38	28,15,12,13	74,29,40,31	17,15,6,12	198	144	0.549197006452	1.0	0.648,0.686,0.736,0.68	0.76,0.584,0.829,0.653	-0.019
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	1	1,0,0,0	6,6,6,2	0,0,0,0	12,5,5,9	124	198	1	1.0	0.21,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.052
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	2	44,12,12,27	1,0,0,1	37,33,25,34	1,1,2,0	132	120	0.242423703698	0.8375738962765901	0.976,1.0,1.0,0.961	0.971,0.968,0.919,1.0	0.02
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	3	1,2,4,7	470,262,309,285	9,6,3,6	606,759,611,533	196	196	0.954130321112	1.0	0.002,0.008,0.013,0.024	0.015,0.008,0.005,0.011	0.002
4	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728	4	308,188,231,139	344,170,253,192	265,149,172,156	260,233,299,239	198	198	0.0497061534658	0.4097271417519107	0.472,0.525,0.477,0.42	0.505,0.39,0.365,0.395	0.06
5	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472	5	9,5,11,8	1,0,1,1	18,13,9,16	0,0,0,0	198	198	1	1.0	0.9,1.0,0.917,0.889	1.0,1.0,1.0,1.0	-0.073
6	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539159	2539399	2540615	2540837	6	0,2,1,0	5,4,1,1	2,0,1,0	0,1,0,1	187	198	0.350653950612	0.9673664277567411	0.0,0.346,0.514,0.0	1.0,0.0,1.0,0.0	-0.285
7	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378	7	11,6,5,3	203,75,92,100	5,8,8,8	239,149,157,171	194	194	0.438775372076	1.0	0.051,0.074,0.052,0.029	0.02,0.051,0.048,0.045	0.011
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378	8	11,6,5,3	120,65,65,64	5,8,8,8	125,121,141,125	194	194	0.320874561382	0.9409172630911512	0.084,0.085,0.071,0.045	0.038,0.062,0.054,0.06	0.018
9	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378	9	203,75,92,100	120,65,65,64	239,149,157,171	125,121,141,125	194	194	0.624227669135	1.0	0.628,0.536,0.586,0.61	0.657,0.552,0.527,0.578	0.011
10	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687	10	5,1,1,0	48,13,24,21	3,2,2,0	31,11,11,30	198	198	0.791710302664	1.0	0.094,0.071,0.04,0.0	0.088,0.154,0.154,0.0	-0.048
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313	11	26,21,11,14	25,18,16,10	18,31,27,19	25,27,26,19	198	198	0.789818837708	1.0	0.51,0.538,0.407,0.583	0.419,0.534,0.509,0.5	0.019
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138	12	158,95,133,132	384,179,246,234	140,146,170,137	317,233,306,303	198	198	0.845538790881	1.0	0.292,0.347,0.351,0.361	0.306,0.385,0.357,0.311	-0.002
