GeneID,minPval,minFDR
LOC114870850,7.47312301684e-5,0.01892510056740656
LOC114870851,0.748497611195,1
LOC114870853,1,1
LOC114870856,0.927138537256,1
LOC114870857,0.888600818991,1
LOC114870858,0.00472189133206,0.15933251210109878
LOC114870860,0.760030504439,1
LOC114870862,0.0997955455602,1
LOC114870863,0.72411256549,1
LOC114870872,0.0150776888304,0.29496449607011616
LOC114870874,1,1
LOC114870875,8.88686647209e-4,0.05785412490642852
LOC114870877,0.388391742803,1
LOC114870879,0.479517536668,1
LOC114870889,0.452286895625,1
LOC114870890,0.0329242764856,0.4782695762863
LOC114870891,0.363458892782,1
LOC114870892,0.771422925003,1
LOC114870893,1,1
LOC114870897,0.489164704997,1
LOC114870904,0.893046105357,1
LOC114870913,1,1
LOC114870914,0.18385847439,1
LOC114870915,0.0208616627266,0.34842988611638653
LOC114870916,0.163536391112,1
LOC114870917,1,1
LOC114870919,0.156802237378,1
LOC114870921,0.0446118482936,0.8631113961261785
LOC114870923,1,1
LOC114870925,4.43328183471e-4,0.07087417669964013
LOC114870929,0.0250946875003,0.4112214357360481
LOC114870930,1,1
LOC114870931,0.764582690262,1
LOC114870940,1,1
LOC114870943,0.713709400484,1
LOC114870944,1,1
LOC114870945,1,1
LOC114870949,0.0117483528112,0.2563699959988594
LOC114870951,1,1
LOC114870954,0.29612599614,1
LOC114870956,0.318554274451,1
LOC114870957,1,1
LOC114870959,0.937804114861,1
LOC114870961,0.743037338993,1
LOC114870963,1,1
LOC114870965,0.459182809248,1
LOC114870969,1,1
LOC114870970,0.0957637614598,1
LOC114870979,1,1
LOC114870982,0.00717914197683,0.34613720245430357
LOC114870986,0.00169711438068,0.15161720386222058
LOC114870992,1,1
LOC114870993,1,1
LOC114870996,0.0545869484373,0.9354053568847563
LOC114870997,1,1
LOC114870998,0.852146514467,1
LOC114871000,0.4930897786,1
LOC114871001,0.446355785511,1
LOC114871003,0.0076435299635,0.3599569343276163
LOC114871004,1,1
LOC114871005,0.250450487159,1
LOC114871006,0.690042134948,1
LOC114871007,0.232209544288,1
LOC114871012,1,1
LOC114871014,1,1
LOC114871015,0.0832574802593,1
LOC114871020,0.303183373548,1
LOC114871022,1,1
LOC114871024,0.0927483682132,0.8020338850395181
LOC114871027,1,1
LOC114871034,0.0183890277023,0.3267430752698206
LOC114871037,1,1
LOC114871038,0.0282382261468,0.6859970246320108
LOC114871039,0.0209473597034,0.6002604254629953
LOC114871040,0.11969042066,1
LOC114871041,0.341607307651,1
LOC114871042,0.59893926296,1
LOC114871044,0.051025264662,0.6039247064994391
LOC114871045,1,1
LOC114871048,0.586373652174,1
LOC114871053,1,1
LOC114871056,0.688389381146,1
LOC114871057,1,1
LOC114871058,1,1
LOC114871060,0.23130155766,1
LOC114871063,1,1
LOC114871064,1,1
LOC114871065,0.0731775625496,1
LOC114871067,0.196993554682,1
LOC114871070,1,1
LOC114871072,0.364490936769,1
LOC114871073,0.0402019777504,0.5460884835945118
LOC114871075,1,1
LOC114871077,0.0370741457626,0.8100598977798388
LOC114871080,0.598320065156,1
LOC114871081,0.750735614883,1
LOC114871083,1,1
LOC114871085,1,1
LOC114871093,0.333158515167,1
LOC114871094,1,1
LOC114871096,0.200651715082,1
LOC114871097,0.286644966085,1
LOC114871098,0.21024735598,1
LOC114871099,0.261916648692,1
LOC114871100,0.00775595088411,0.20846482620217607
LOC114871103,0.489415008,1
LOC114871104,1,1
LOC114871105,1,1
LOC114871106,0.936238840292,1
LOC114871107,0.900268727542,1
LOC114871111,1,1
LOC114871113,1,1
LOC114871114,1,1
LOC114871116,1,1
LOC114871121,0.00551301507639,0.3088473838337045
LOC114871125,0.25140492821,1
LOC114871127,0.137611062927,0.8705191006305288
LOC114871129,0.260616799349,1
LOC114871133,1,1
LOC114871136,0.196087508592,1
LOC114871138,1,1
LOC114871143,0.945522784064,1
LOC114871144,0.0412183842156,0.8401209174919566
LOC114871146,0.0614972651462,0.6579610309816737
LOC114871151,1,1
LOC114871152,0.286678913769,1
LOC114871154,0.0126504501627,0.2588500069224712
LOC114871155,0.685808393536,1
LOC114871158,0.00844921601145,0.2094436905333684
LOC114871164,1,1
LOC114871165,0.544260712877,1
LOC114871166,0.101375692632,0.8275260242997333
LOC114871167,1,1
LOC114871168,0.0013592408728,0.13106965559142858
LOC114871171,1,1
LOC114871174,0.676361672016,1
LOC114871175,1,1
LOC114871179,1,1
LOC114871182,1,1
LOC114871183,0.284805585706,1
LOC114871189,0.612253068627,1
LOC114871192,0.266733348792,1
LOC114871193,1,1
LOC114871196,1,1
LOC114871197,0.497530307272,1
LOC114871204,9.44224373396e-4,0.071761052378096
LOC114871205,1,1
LOC114871208,0.757249409932,1
LOC114871209,0.00859911471175,0.2094436905333684
LOC114871210,0.281505014142,1
LOC114871215,1,1
LOC114871220,1,1
LOC114871226,1,1
LOC114871227,1,1
LOC114871228,0.039427331063,0.8230963443564433
LOC114871229,0.373176473073,1
LOC114871232,0.349863123488,1
LOC114871237,1,1
LOC114871238,1,1
LOC114871240,1,1
LOC114871242,0.13973849019,1
LOC114871248,0.0107277771837,0.4374041235610645
LOC114871263,0.0110707067376,0.4374041235610645
LOC114871265,1,1
LOC114871266,0.6201114437,1
LOC114871267,1,1
LOC114871270,1,1
LOC114871273,0.451730527726,1
LOC114871274,1,1
LOC114871277,0.74111369345,1
LOC114871281,0.236600718715,1
LOC114871283,0.00272221891341,0.11538020163760848
LOC114871290,1,1
LOC114871291,0.192335651778,1
LOC114871294,0.0360147238215,0.8096290994455148
LOC114871295,0.695579033611,1
LOC114871296,0.891058133499,1
LOC114871297,0.0046942730166,0.15933251210109878
LOC114871299,0.0323217515147,0.4481845241004276
LOC114871304,0.0902475910387,1
LOC114871306,0.561211082092,1
LOC114871307,0.126289273242,0.8705191006305288
LOC114871312,0.125981400833,0.9992223435932464
LOC114871313,1,1
LOC114871315,1,1
LOC114871316,0.885200093684,1
LOC114871321,1,1
LOC114871324,0.0034802934182,0.151131741685335
