	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	9300	9070	8912	8742	8944	8892	8881	8657	8831	8954	8913
Bombus_terrestris	9070	9548	9044	8922	9097	9038	9071	8796	8968	9088	9063
Ceratina_calcarata	8912	9044	9416	8769	8910	8876	8904	8680	8837	8999	8950
Dufourea_novaeangliae	8742	8922	8769	9226	8858	8856	8845	8591	8802	8843	8788
Eufriesea_mexicana	8944	9097	8910	8858	9401	9032	8938	8670	8870	8977	8925
Habropoda_laboriosa	8892	9038	8876	8856	9032	9348	8911	8651	8852	8941	8888
Megachile_rotundata	8881	9071	8904	8845	8938	8911	9463	8681	8850	9100	9048
Megalopta_genalis	8657	8796	8680	8591	8670	8651	8681	9160	8707	8756	8727
Nomia_melanderi	8831	8968	8837	8802	8870	8852	8850	8707	9239	8917	8867
Osmia_bicornis	8954	9088	8999	8843	8977	8941	9100	8756	8917	9570	9303
Osmia_lignaria	8913	9063	8950	8788	8925	8888	9048	8727	8867	9303	9526
