	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	9367.0	9184.0	8913.0	9212.0	9108.0	9134.0	8890.0	9044.0	9209.0	9164.0
Bombus_terrestris	9509.0	0.0	9504.0	9305.0	9561.0	9496.0	9538.0	9241.0	9389.0	9530.0	9456.0
Ceratina_calcarata	9735.0	9909.0	0.0	9547.0	9755.0	9764.0	9750.0	9418.0	9561.0	9879.0	9810.0
Dufourea_novaeangliae	8936.0	9140.0	8988.0	0.0	9121.0	9126.0	9136.0	8875.0	9073.0	9132.0	9052.0
Eufriesea_mexicana	9309.0	9547.0	9313.0	9216.0	0.0	9478.0	9367.0	9050.0	9220.0	9362.0	9288.0
Habropoda_laboriosa	9115.0	9352.0	9178.0	9100.0	9362.0	0.0	9232.0	8923.0	9144.0	9264.0	9187.0
Megachile_rotundata	9235.0	9575.0	9323.0	9256.0	9398.0	9435.0	0.0	9162.0	9229.0	9673.0	9549.0
Megalopta_genalis	9350.0	9576.0	9392.0	9316.0	9397.0	9419.0	9424.0	0.0	9480.0	9483.0	9455.0
Nomia_melanderi	9072.0	9257.0	9071.0	9097.0	9168.0	9139.0	9140.0	9015.0	0.0	9212.0	9154.0
Osmia_bicornis	9516.0	9757.0	9809.0	9593.0	9605.0	9663.0	9914.0	9439.0	9476.0	0.0	10334.0
Osmia_lignaria	9145.0	9384.0	9338.0	9099.0	9190.0	9266.0	9494.0	9070.0	9115.0	9967.0	0.0
