	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	196.0	213.0	173.0	240.0	204.0	217.0	187.0	193.0	270.0	264.0
Bombus_terrestris	453.0	0.0	441.0	462.0	485.0	492.0	444.0	465.0	468.0	494.0	484.0
Ceratina_calcarata	1198.0	1166.0	0.0	1129.0	1178.0	1217.0	1114.0	1045.0	1106.0	1165.0	1197.0
Dufourea_novaeangliae	239.0	225.0	189.0	0.0	291.0	288.0	241.0	229.0	209.0	286.0	279.0
Eufriesea_mexicana	470.0	509.0	481.0	509.0	0.0	497.0	526.0	494.0	477.0	527.0	524.0
Habropoda_laboriosa	244.0	266.0	260.0	251.0	265.0	0.0	272.0	253.0	304.0	330.0	314.0
Megachile_rotundata	415.0	499.0	362.0	377.0	489.0	528.0	0.0	471.0	386.0	492.0	448.0
Megalopta_genalis	992.0	992.0	924.0	926.0	1005.0	1013.0	937.0	0.0	986.0	983.0	1008.0
Nomia_melanderi	247.0	245.0	222.0	201.0	295.0	270.0	224.0	197.0	0.0	290.0	285.0
Osmia_bicornis	876.0	944.0	980.0	996.0	915.0	1022.0	965.0	926.0	850.0	0.0	1047.0
Osmia_lignaria	232.0	275.0	322.0	271.0	272.0	354.0	314.0	290.0	239.0	353.0	0.0
