	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Number of genes	9935	10581	11197	9844	10297	10069	10788	10425	9924	11191	10556
Number of genes in orthogroups	9765	10355	10843	9768	10118	9970	10481	10286	9754	11046	10438
Number of unassigned genes	170	226	354	76	179	99	307	139	170	145	118
Percentage of genes in orthogroups	98.3	97.9	96.8	99.2	98.3	99.0	97.2	98.7	98.3	98.7	98.9
Percentage of unassigned genes	1.7	2.1	3.2	0.8	1.7	1.0	2.8	1.3	1.7	1.3	1.1
Number of orthogroups containing species	9300	9548	9416	9226	9401	9348	9463	9160	9239	9570	9526
Percentage of orthogroups containing species	88.4	90.7	89.5	87.7	89.3	88.8	89.9	87.1	87.8	91.0	90.5
Number of species-specific orthogroups	7	17	43	8	16	6	21	27	10	21	29
Number of genes in species-specific orthogroups	53	76	227	45	76	27	98	85	41	88	96
Percentage of genes in species-specific orthogroups	0.5	0.7	2.0	0.5	0.7	0.3	0.9	0.8	0.4	0.8	0.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1222	974	1106	1296	1121	1174	1059	1362	1283	952	996
'1	9084	9140	8650	8946	8962	9041	9041	8546	8975	8906	9207
'2	147	295	583	206	345	225	285	451	189	498	171
'3	26	48	77	25	44	28	41	77	28	56	53
'4	15	21	40	18	16	16	35	27	14	27	25
'5	12	12	21	12	9	19	14	19	10	16	19
'6	1	5	11	6	6	4	10	14	9	15	13
'7	4	5	6	2	7	4	7	7	4	11	8
'8	0	3	4	1	5	1	5	0	1	7	5
'9	1	4	4	0	0	1	4	2	0	8	7
'10	1	5	3	4	1	3	3	2	2	3	2
11-15	5	5	8	4	4	4	12	10	5	13	8
16-20	4	3	5	0	1	0	3	1	1	5	5
21-50	0	2	4	2	1	1	2	4	1	4	3
51-100	0	0	0	0	0	1	1	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	1	0
151-200	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	11.6	9.3	10.5	12.3	10.7	11.2	10.1	12.9	12.2	9.0	9.5
'1	86.3	86.9	82.2	85.0	85.2	85.9	85.9	81.2	85.3	84.6	87.5
'2	1.4	2.8	5.5	2.0	3.3	2.1	2.7	4.3	1.8	4.7	1.6
'3	0.2	0.5	0.7	0.2	0.4	0.3	0.4	0.7	0.3	0.5	0.5
'4	0.1	0.2	0.4	0.2	0.2	0.2	0.3	0.3	0.1	0.3	0.2
'5	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.2	0.1	0.2	0.2
'6	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1
'7	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.1
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0
'1	9084	9140	8650	8946	8962	9041	9041	8546	8975	8906	9207
'2	294	590	1166	412	690	450	570	902	378	996	342
'3	78	144	231	75	132	84	123	231	84	168	159
'4	60	84	160	72	64	64	140	108	56	108	100
'5	60	60	105	60	45	95	70	95	50	80	95
'6	6	30	66	36	36	24	60	84	54	90	78
'7	28	35	42	14	49	28	49	49	28	77	56
'8	0	24	32	8	40	8	40	0	8	56	40
'9	9	36	36	0	0	9	36	18	0	72	63
'10	10	50	30	40	10	30	30	20	20	30	20
11-15	65	62	96	51	48	51	160	129	60	161	97
16-20	71	50	90	0	17	0	52	18	18	96	89
21-50	0	50	139	54	25	24	48	86	23	101	92
51-100	0	0	0	0	0	62	62	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	105	0
151-200	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	91.4	86.4	77.3	90.9	87.0	89.8	83.8	82.0	90.4	79.6	87.2
'2	3.0	5.6	10.4	4.2	6.7	4.5	5.3	8.7	3.8	8.9	3.2
'3	0.8	1.4	2.1	0.8	1.3	0.8	1.1	2.2	0.8	1.5	1.5
'4	0.6	0.8	1.4	0.7	0.6	0.6	1.3	1.0	0.6	1.0	0.9
'5	0.6	0.6	0.9	0.6	0.4	0.9	0.6	0.9	0.5	0.7	0.9
'6	0.1	0.3	0.6	0.4	0.3	0.2	0.6	0.8	0.5	0.8	0.7
'7	0.3	0.3	0.4	0.1	0.5	0.3	0.5	0.5	0.3	0.7	0.5
'8	0.0	0.2	0.3	0.1	0.4	0.1	0.4	0.0	0.1	0.5	0.4
'9	0.1	0.3	0.3	0.0	0.0	0.1	0.3	0.2	0.0	0.6	0.6
'10	0.1	0.5	0.3	0.4	0.1	0.3	0.3	0.2	0.2	0.3	0.2
11-15	0.7	0.6	0.9	0.5	0.5	0.5	1.5	1.2	0.6	1.4	0.9
16-20	0.7	0.5	0.8	0.0	0.2	0.0	0.5	0.2	0.2	0.9	0.8
21-50	0.0	0.5	1.2	0.5	0.2	0.2	0.4	0.8	0.2	0.9	0.9
51-100	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
