ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029	0	2,0,0,2	1,0,0,0	1,0,1,2	0,0,0,0	198	99	1	1.0	0.5,NA,NA,1.0	1.0,NA,1.0,1.0	-0.25
1	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058	1	5,1,0,1	1,0,0,0	0,1,0,3	0,0,0,0	198	99	1	1.0	0.714,1.0,NA,1.0	NA,1.0,NA,1.0	-0.095
2	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	2	7,5,8,5	1,0,2,0	7,7,9,6	0,0,0,1	178	99	1	1.0	0.796,1.0,0.69,1.0	1.0,1.0,1.0,0.769	-0.071
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633	3	170,131,129,84	1,0,1,0	78,81,103,86	0,1,0,0	198	99	1	1.0	0.988,1.0,0.985,1.0	1.0,0.976,1.0,1.0	-0.001
4	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168	4	40,19,28,12	0,1,1,0	29,24,8,25	0,0,0,0	198	99	1	1.0	1.0,0.905,0.933,1.0	1.0,1.0,1.0,1.0	-0.04
5	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373	5	1,0,1,0	2,2,3,5	1,0,0,1	1,2,0,5	198	99	1	1.0	0.2,0.0,0.143,0.0	0.333,0.0,NA,0.091	-0.056
6	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089	6	75,34,48,30	1,0,0,0	30,50,25,30	0,0,0,0	190	99	1	1.0	0.975,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
7	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508	7	0,0,0,0	38,17,17,19	0,0,1,0	10,21,9,12	198	99	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.053,0.0	-0.013
10	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081	10	60,27,37,27	0,0,0,0	29,42,32,43	2,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0	0.879,1.0,1.0,1.0	0.03
11	"LOC114872247"	NA	chrOU015519.1	+	7083650	7083890	7074490	7075502	7084113	7084241	11	40,16,25,15	0,0,0,0	28,26,14,56	1,0,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0	0.933,1.0,1.0,0.966	0.025
12	"LOC114872247"	NA	chrOU015519.1	+	7106945	7107100	7099666	7100077	7107249	7107437	12	121,62,69,54	1,0,0,0	54,70,56,127	0,0,0,0	198	99	1	1.0	0.984,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.004
13	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114	13	129,64,67,66	0,0,0,0	62,74,49,120	0,2,1,1	198	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.949,0.961,0.984	0.027
14	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389	14	2,2,0,1	0,1,0,0	1,2,6,0	0,0,1,0	195	99	1	1.0	1.0,0.504,NA,1.0	1.0,1.0,0.753,NA	-0.083
16	"LOC114872156"	NA	chrOU015519.1	+	6955725	6955792	6941263	6941324	6966619	6966744	16	0,0,2,1	0,0,0,0	2,0,0,1	0,0,0,1	166	99	1	1.0	NA,NA,1.0,1.0	1.0,NA,NA,0.374	0.313
17	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388	17	167,82,95,64	1,0,0,0	93,106,76,92	0,0,1,0	198	99	1	1.0	0.988,1.0,1.0,1.0	1.0,1.0,0.974,1.0	0.003
18	"LOC114879963"	NA	chrOU015519.1	-	6692713	6692836	6692477	6692641	6692929	6693097	18	213,101,87,62	0,0,1,0	61,85,71,72	0,0,0,0	198	99	1	1.0	1.0,1.0,0.978,1.0	1.0,1.0,1.0,1.0	-0.006
