ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	0	71,45,46,38	28,15,12,13	40,31,25,41	16,13,9,7	198	144	0.843607985837	1.0	0.648,0.686,0.736,0.68	0.645,0.634,0.669,0.81	-0.002
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	1	1,0,0,0	6,6,6,2	0,0,0,1	1,3,0,8	124	198	1	1.0	0.21,0.0,0.0,0.0	0.0,0.0,NA,0.166	-0.003
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	2	44,12,12,27	1,0,0,1	21,11,14,27	0,2,1,0	132	120	1	1.0	0.976,1.0,1.0,0.961	1.0,0.833,0.927,1.0	0.044
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	3	1,2,4,7	470,262,309,285	5,3,2,7	238,232,305,543	196	196	0.748132671089	1.0	0.002,0.008,0.013,0.024	0.021,0.013,0.007,0.013	-0.002
4	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433328	4433416	4430488	4430615	4434371	4434668	4	1,1,4,6	8,1,5,5	5,4,2,6	4,4,4,3	196	187	0.237550791164	1.0	0.107,0.488,0.433,0.534	0.544,0.488,0.323,0.656	-0.112
5	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728	5	308,188,231,139	344,170,253,192	113,185,107,154	131,170,163,183	198	198	0.65300160756	1.0	0.472,0.525,0.477,0.42	0.463,0.521,0.396,0.457	0.014
6	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472	6	9,5,11,8	1,0,1,1	11,8,10,14	0,1,0,2	198	198	1	1.0	0.9,1.0,0.917,0.889	1.0,0.889,1.0,0.875	-0.014
7	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378	7	11,6,5,3	203,75,92,100	4,4,3,9	88,93,95,181	194	194	0.485451855518	1.0	0.051,0.074,0.052,0.029	0.043,0.041,0.031,0.047	0.011
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378	8	11,6,5,3	120,65,65,64	4,4,3,9	67,42,78,112	194	194	0.536759576951	1.0	0.084,0.085,0.071,0.045	0.056,0.087,0.037,0.074	0.008
9	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378	9	203,75,92,100	120,65,65,64	88,93,95,181	67,42,78,112	194	194	0.792931995072	1.0	0.628,0.536,0.586,0.61	0.568,0.689,0.549,0.618	-0.016
10	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687	10	5,1,1,0	48,13,24,21	1,3,0,5	22,22,13,35	198	198	0.51824746072	1.0	0.094,0.071,0.04,0.0	0.043,0.12,0.0,0.125	-0.021
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313	11	26,21,11,14	25,18,16,10	21,14,14,25	21,20,3,58	198	198	0.821828719756	1.0	0.51,0.538,0.407,0.583	0.5,0.412,0.824,0.301	0.0
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138	12	158,95,133,132	384,179,246,234	107,91,103,113	180,148,177,204	198	198	0.166934492008	0.942604243665862	0.292,0.347,0.351,0.361	0.373,0.381,0.368,0.356	-0.032
13	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855	13	19,10,10,13	13,6,10,3	10,9,8,12	7,11,12,16	142	198	0.0541840563027	0.7097637162068333	0.671,0.699,0.582,0.858	0.666,0.533,0.482,0.511	0.154
14	"LOC114872221"	NA	chrOU015519.1	-	7180789	7180906	7184361	7184472	7179625	7180058	7185293	7185344	14	2,0,2,0	15,11,15,14	0,0,3,2	10,7,2,18	198	198	0.67450297736	1.0	0.118,0.0,0.118,0.0	0.0,0.0,0.6,0.1	-0.116
