ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8161944	8162274	8162162	8162274	8161702	8161819	0	14,12,3,5	2,0,1,0	2,11,6,9	0,0,0,0	317	99	1	1.0	0.686,1.0,0.484,1.0	1.0,1.0,1.0,1.0	-0.208
4	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781960	7782062	7781572	7781767	4	52,28,24,19	26,19,17,11	17,14,23,20	13,19,16,25	213	99	0.0372531462866	0.5106907691729968	0.482,0.407,0.396,0.445	0.378,0.255,0.401,0.271	0.106
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021	5	23,9,17,7	1,0,0,0	10,10,18,14	1,0,0,2	555	99	1	1.0	0.804,1.0,1.0,1.0	0.641,1.0,1.0,0.555	0.152
6	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701266	6	7,0,3,2	1,0,0,0	3,2,0,2	0,0,0,0	134	99	1	1.0	0.838,NA,1.0,1.0	1.0,1.0,NA,1.0	-0.054
7	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701271	7	9,0,4,2	0,0,0,0	3,1,0,2	1,3,0,0	134	99	1	1.0	1.0,NA,1.0,1.0	0.689,0.198,NA,1.0	0.371
8	"LOC114880459"	NA	chrOU015519.1	-	6286214	6286473	6286307	6286473	6285912	6286068	8	57,37,63,45	6,5,3,3	33,49,54,49	6,7,2,5	192	99	0.481445205552	1.0	0.83,0.792,0.915,0.886	0.739,0.783,0.933,0.835	0.033
9	"LOC114880458"	NA	chrOU015519.1	-	6269529	6269691	6269547	6269691	6268739	6269458	9	144,50,76,63	91,40,52,37	50,58,63,61	35,31,44,45	117	99	0.964419409679	1.0	0.572,0.514,0.553,0.59	0.547,0.613,0.548,0.534	-0.003
10	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246873	6246940	6248044	6248129	10	13,7,8,4	2,1,0,1	3,1,2,9	1,0,1,2	167	99	0.700324360822	1.0	0.794,0.806,1.0,0.703	0.64,1.0,0.542,0.727	0.098
11	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6022042	6022090	11	5,4,6,3	30,11,6,10	1,5,4,4	6,7,7,19	117	99	0.981160661829	1.0	0.124,0.235,0.458,0.202	0.124,0.377,0.326,0.151	0.01
12	"LOC114876663"	NA	chrOU015519.1	-	5900124	5900443	5900193	5900443	5899825	5900008	12	1,4,5,0	0,0,0,1	1,1,2,5	1,0,0,2	168	99	0.886592711493	1.0	1.0,1.0,1.0,0.0	0.371,1.0,1.0,0.596	0.008
