ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152529	8152624	8153796	0	16,0,8,3	0,0,0,2	8,10,3,8	0,0,0,1	194	99	1	1.0	1.0,NA,1.0,0.434	1.0,1.0,1.0,0.803	-0.139
1	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152597	8152690	8153796	1	14,1,6,7	0,0,0,0	4,12,5,5	0,1,0,0	192	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.861,1.0,1.0	0.035
2	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8153375	8153588	8153796	2	9,2,5,6	2,0,0,0	4,6,1,6	0,0,0,0	198	99	1	1.0	0.692,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.077
3	"LOC114880085"	NA	chrOU015519.1	+	8030599	8031648	8030599	8030778	8030863	8031648	3	19,8,15,3	39,27,27,17	6,12,8,9	14,18,34,26	184	99	0.858843838452	1.0	0.208,0.138,0.23,0.087	0.187,0.264,0.112,0.157	-0.014
7	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971894	7971992	7972120	7	1,3,0,0	1,0,0,1	0,0,0,0	1,1,1,2	197	99	1	1.0	0.334,1.0,NA,0.0	0.0,0.0,0.0,0.0	0.445
8	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971911	7971992	7972120	8	1,3,0,0	1,0,1,0	0,0,0,0	0,1,0,1	180	99	1	1.0	0.355,1.0,0.0,NA	NA,0.0,NA,0.0	0.452
9	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959668	7959736	7960310	9	0,0,0,1	0,0,0,0	0,0,0,0	0,0,0,1	167	99	1	1.0	NA,NA,NA,1.0	NA,NA,NA,0.0	1.0
11	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945806	7945819	7945972	7946376	11	100,67,62,48	3,6,8,7	45,69,69,49	7,4,5,4	198	99	0.924366602786	1.0	0.943,0.848,0.795,0.774	0.763,0.896,0.873,0.86	-0.008
12	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7932294	7932352	7938806	12	11,4,1,4	0,0,0,0	4,9,4,12	0,0,2,0	157	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.558,1.0	0.111
13	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933091	7933493	7938806	13	20,14,11,11	4,0,0,1	9,3,13,19	0,0,1,7	198	99	0.0797708798035	0.7252127877571136	0.714,1.0,1.0,0.846	1.0,1.0,0.867,0.576	0.029
14	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933598	7933666	7938806	14	11,8,8,4	1,0,0,2	4,5,9,16	0,0,2,1	167	99	1	1.0	0.867,1.0,1.0,0.542	1.0,1.0,0.727,0.905	-0.056
15	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933953	7934018	7938806	15	19,7,8,2	3,0,0,0	4,7,9,15	1,1,2,1	164	99	0.189921634167	1.0	0.793,1.0,1.0,1.0	0.707,0.809,0.731,0.901	0.161
16	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7934163	7934272	7938806	16	15,4,12,6	1,2,0,0	6,11,14,17	2,2,0,0	198	99	0.707234617341	1.0	0.882,0.5,1.0,1.0	0.6,0.733,1.0,1.0	0.012
