ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880061"	NA	chrOU015519.1	-	8110382	8110575	8110382	8110566	8110637	8110878	0	8,3,2,1	27,5,11,12	6,4,2,5	7,12,5,17	108	99	0.233090834841	1.0	0.214,0.355,0.143,0.071	0.44,0.234,0.268,0.212	-0.093
1	"LOC114872160"	NA	chrOU015519.1	-	7971652	7971911	7971652	7971894	7971992	7972120	1	1,0,1,0	1,0,0,1	0,1,0,1	1,1,1,2	116	99	1	1.0	0.46,NA,1.0,0.0	0.0,0.46,0.0,0.299	0.297
2	"LOC114872167"	NA	chrOU015519.1	+	7949599	7949772	7949602	7949772	7949382	7949529	2	31,21,13,20	2,0,4,0	16,14,22,24	1,0,0,0	102	99	0.236520248631	1.0	0.938,1.0,0.759,1.0	0.94,1.0,1.0,1.0	-0.061
3	"LOC114872167"	NA	chrOU015519.1	+	7949857	7950028	7949896	7950028	7949599	7949772	3	46,30,21,14	0,0,0,0	18,22,36,22	0,1,0,0	138	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.94,1.0,1.0	0.015
4	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815500	7815628	7816654	7816990	4	157,83,89,88	9,7,5,7	71,92,63,113	5,4,3,13	141	99	0.884184671944	1.0	0.925,0.893,0.926,0.898	0.909,0.942,0.936,0.859	-0.001
5	"LOC114872195"	NA	chrOU015519.1	-	7778776	7778905	7778776	7778902	7778977	7779080	5	22,8,21,16	8,5,3,6	12,8,22,22	8,5,11,6	102	99	0.304600519281	1.0	0.727,0.608,0.872,0.721	0.593,0.608,0.66,0.781	0.071
7	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732293	7732501	7732086	7732151	7	0,6,1,2	5,2,0,0	0,2,0,0	1,1,1,1	151	99	0.00130694558548	0.0800141130666089	0.0,0.663,1.0,1.0	0.0,0.567,0.0,0.0	0.524
8	"LOC114872198"	NA	chrOU015519.1	+	7732244	7732501	7732293	7732501	7732086	7732151	8	1,4,1,3	5,2,0,0	0,2,0,0	1,1,1,1	148	99	0.000113073478358	0.021646055251527466	0.118,0.572,1.0,1.0	0.0,0.572,0.0,0.0	0.529
9	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737630	7738144	7736518	7736679	9	28,17,16,17	0,1,0,0	19,20,14,36	0,0,1,1	198	99	1	1.0	1.0,0.895,1.0,1.0	1.0,1.0,0.875,0.947	0.018
10	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737672	7738144	7736518	7736679	10	23,14,12,14	2,0,0,0	13,19,10,27	0,0,1,0	198	99	1	1.0	0.852,1.0,1.0,1.0	1.0,1.0,0.833,1.0	0.005
