,ProteinID,Length
0,XP_029031842.1,285
1,XP_029031843.1,284
2,XP_029031844.1,198
3,XP_029031846.1,188
4,XP_029031848.1,178
5,XP_029031849.1,125
6,XP_029031850.1,247
7,XP_029031851.1,254
8,XP_029031853.1,187
9,XP_029031854.1,1648
10,XP_029031859.1,1369
11,XP_029031860.1,1246
12,XP_029031865.1,657
13,XP_029031867.1,538
14,XP_029031870.1,519
15,XP_029031877.1,693
16,XP_029031881.1,395
17,XP_029031882.1,395
18,XP_029031883.1,395
19,XP_029031884.1,358
20,XP_029031885.1,351
21,XP_029031886.1,280
22,XP_029031887.1,192
23,XP_029031888.1,192
24,XP_029031889.1,186
25,XP_029031890.1,4802
26,XP_029031892.1,186
27,XP_029031893.1,186
28,XP_029031894.1,186
29,XP_029031895.1,186
30,XP_029031896.1,186
31,XP_029031897.1,1420
32,XP_029031898.1,1275
33,XP_029031900.1,618
34,XP_029031901.1,618
35,XP_029031902.1,671
36,XP_029031903.1,193
37,XP_029031906.1,233
38,XP_029031907.1,224
39,XP_029031911.1,212
40,XP_029031912.1,151
41,XP_029031913.1,788
42,XP_029031914.1,589
43,XP_029031915.1,225
44,XP_029031917.1,1355
45,XP_029031918.1,408
46,XP_029031920.1,1214
47,XP_029031921.1,3041
48,XP_029031924.1,1916
49,XP_029031928.1,1911
50,XP_029031929.1,285
51,XP_029031937.1,643
52,XP_029031940.1,158
53,XP_029031941.1,601
54,XP_029031943.1,444
55,XP_029031944.1,693
56,XP_029031945.1,72
57,XP_029031946.1,534
58,XP_029031948.1,390
59,XP_029031949.1,390
60,XP_029031950.1,240
61,XP_029031951.1,671
62,XP_029031952.1,1535
63,XP_029031953.1,1535
64,XP_029031954.1,1120
65,XP_029031955.1,1099
66,XP_029031956.1,810
67,XP_029031957.1,594
68,XP_029031958.1,594
69,XP_029031959.1,248
70,XP_029031960.1,248
71,XP_029031961.1,248
72,XP_029031962.1,248
73,XP_029031963.1,207
74,XP_029031964.1,576
75,XP_029031966.1,828
76,XP_029031967.1,399
77,XP_029031968.1,218
78,XP_029031969.1,230
79,XP_029031970.1,330
80,XP_029031971.1,471
81,XP_029031974.1,1559
82,XP_029031977.1,437
83,XP_029031980.1,380
84,XP_029031981.1,260
85,XP_029031987.1,235
86,XP_029031989.1,461
87,XP_029031990.1,875
88,XP_029031993.1,736
89,XP_029031994.1,769
90,XP_029031995.1,769
91,XP_029031996.1,604
92,XP_029031998.1,132
93,XP_029032000.1,1499
94,XP_029032002.1,796
95,XP_029032006.1,543
96,XP_029032017.1,285
97,XP_029032023.1,505
98,XP_029032027.1,687
99,XP_029032028.1,112
100,XP_029032029.1,112
101,XP_029032030.1,112
102,XP_029032031.1,2808
103,XP_029032032.1,505
104,XP_029032043.1,505
105,XP_029032044.1,1795
106,XP_029032051.1,1782
107,XP_029032052.1,1782
108,XP_029032053.1,1782
109,XP_029032054.1,790
110,XP_029032055.1,233
111,XP_029032057.1,505
112,XP_029032058.1,120
113,XP_029032059.1,871
114,XP_029032061.1,192
115,XP_029032062.1,99
116,XP_029032063.1,179
117,XP_029032064.1,1651
118,XP_029032070.1,275
119,XP_029032073.1,1393
120,XP_029032074.1,408
121,XP_029032075.1,362
122,XP_029032077.1,271
123,XP_029032078.1,1392
124,XP_029032079.1,322
125,XP_029032080.1,1671
126,XP_029032081.1,706
127,XP_029032083.1,623
128,XP_029032088.1,513
129,XP_029032089.1,513
130,XP_029032090.1,513
131,XP_029032091.1,451
132,XP_029032092.1,455
133,XP_029032093.1,254
134,XP_029032094.1,547
135,XP_029032096.1,1679
136,XP_029032099.1,1596
137,XP_029032100.1,2068
138,XP_029032101.1,2062
139,XP_029032105.1,180
140,XP_029032106.1,1485
141,XP_029032107.1,467
142,XP_029032113.1,821
143,XP_029032119.1,819
144,XP_029032121.1,767
145,XP_029032122.1,432
146,XP_029032123.1,553
147,XP_029032128.1,548
148,XP_029032130.1,544
149,XP_029032133.1,521
150,XP_029032135.1,467
151,XP_029032136.1,273
152,XP_029032137.1,467
153,XP_029032138.1,467
154,XP_029032139.1,467
155,XP_029032140.1,422
156,XP_029032142.1,368
157,XP_029032143.1,122
158,XP_029032144.1,120
159,XP_029032145.1,120
160,XP_029032146.1,237
161,XP_029032147.1,698
162,XP_029032149.1,70
163,XP_029032151.1,393
164,XP_029032156.1,565
165,XP_029032157.1,565
166,XP_029032158.1,1945
167,XP_029032159.1,444
168,XP_029032160.1,200
169,XP_029032161.1,1031
170,XP_029032166.1,538
171,XP_029032168.1,229
172,XP_029032169.1,177
173,XP_029032170.1,506
174,XP_029032171.1,641
175,XP_029032172.1,641
176,XP_029032173.1,620
177,XP_029032174.1,190
178,XP_029032176.1,809
179,XP_029032178.1,731
180,XP_029032179.1,184
181,XP_029032180.1,495
182,XP_029032182.1,337
183,XP_029032184.1,337
184,XP_029032185.1,826
185,XP_029032186.1,826
186,XP_029032187.1,826
187,XP_029032188.1,826
188,XP_029032189.1,354
189,XP_029032191.1,171
190,XP_029032193.1,143
191,XP_029032198.1,1128
192,XP_029032206.1,474
193,XP_029032207.1,556
194,XP_029032209.1,382
195,XP_029032210.1,213
196,XP_029032211.1,987
197,XP_029032212.1,987
198,XP_029032213.1,358
199,XP_029032214.1,502
200,XP_029032215.1,920
201,XP_029032216.1,479
202,XP_029032217.1,479
203,XP_029032218.1,286
204,XP_029032219.1,206
205,XP_029032220.1,187
206,XP_029032221.1,358
207,XP_029032222.1,170
208,XP_029032223.1,1141
