Orthogroup	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
OG0000000		XP_012167635.1, XP_012171987.1, XP_012173834.1, XP_012174218.1, XP_012174517.1, XP_012174527.1, XP_012174539.1, XP_012174868.1, XP_012174870.1, XP_012174900.1, XP_012175227.1, XP_012175323.1, XP_020723247.1, XP_020723248.1	XP_017874999.1, XP_017875370.2, XP_017875371.1, XP_017877626.1, XP_017879465.1, XP_017879660.1, XP_017881790.1, XP_017882355.1, XP_017882359.1, XP_017884020.1, XP_017884602.1, XP_017887262.1, XP_017887274.1, XP_017887576.1, XP_026671887.1	XP_015432787.1, XP_015433132.1, XP_015433592.1, XP_015435716.1, XP_015436978.1, XP_015436991.1, XP_015437077.1, XP_015437079.1, XP_015437138.1, XP_015437418.1, XP_015437823.1, XP_015437833.1, XP_015437886.1, XP_015438034.1, XP_015438108.1, XP_015438109.1, XP_015438112.1, XP_015438113.1, XP_015438118.1, XP_015440280.1	XP_017762447.1, XP_017763965.1, XP_017763967.1, XP_017764141.1, XP_017765119.1, XP_017765285.1	XP_017788506.1, XP_017788509.1, XP_017791629.1, XP_017791904.1, XP_017791907.1, XP_017791908.1, XP_017791919.1, XP_017791920.1, XP_017792099.1, XP_017792100.1, XP_017792102.1, XP_017793555.1, XP_017794319.1, XP_017794325.1, XP_017794620.1, XP_017795384.1, XP_017795386.1, XP_017795695.1, XP_017795696.1, XP_017795923.1, XP_017796207.1, XP_017796351.1, XP_017796388.1, XP_017796554.1, XP_017796726.1, XP_017796727.1, XP_017796820.1, XP_017796821.1, XP_017796956.1, XP_017796961.1, XP_017796984.1, XP_017796988.1, XP_017796995.1, XP_017797004.1, XP_017797005.1, XP_017797012.1, XP_017797013.1, XP_017797015.1, XP_017797028.1, XP_017797032.1, XP_017797043.1, XP_017797059.1, XP_017797085.1, XP_017797095.1, XP_017797138.1, XP_017797535.1, XP_017797536.1, XP_017797537.1, XP_017797538.1	XP_003708045.1, XP_003708538.1, XP_012134488.1, XP_012135784.1, XP_012136800.1, XP_012136801.1, XP_012143819.1, XP_012145447.1, XP_012146525.1, XP_012147360.1, XP_012147726.1, XP_012152122.1, XP_012152147.1, XP_012152727.1, XP_012152740.1, XP_012153233.1, XP_012153563.1, XP_012153583.1	XP_033322444.1, XP_033325358.1, XP_033325360.1, XP_033332143.1, XP_033334293.1, XP_033334388.1, XP_033338067.1, XP_033339063.1, XP_033339065.1, XP_033339068.1, XP_033339380.1, XP_033339901.1	XP_031829449.1, XP_031836767.1, XP_031836774.1, XP_031836982.1, XP_031839043.1, XP_031842135.1, XP_031847717.1, XP_031848506.1, XP_031848507.1, XP_031848769.1, XP_031848866.1, XP_031848962.1	XP_029053837.1, XP_029053863.1, XP_029053895.1, XP_029053897.1, XP_029054064.1, XP_029054124.1, XP_029054261.1, XP_029054346.1, XP_029054672.1, XP_029054770.1, XP_029054772.1, XP_029054778.1, XP_029054786.1, XP_029054802.1, XP_029054823.1, XP_029054855.1, XP_029054870.1, XP_029054942.1, XP_029054961.1, XP_029054992.1, XP_029055145.1	XP_034174770.1, XP_034179509.1, XP_034192189.1, XP_034194192.1, XP_034194536.1, XP_034194634.1, XP_034194643.1, XP_034195039.1
OG0000001	NP_001035324.1, NP_001352068.1, NP_001352069.1, NP_001352128.1, NP_001352129.1, XP_006565062.2, XP_006565076.1, XP_006565077.1, XP_026300343.1, XP_026300530.1, XP_026300531.1, XP_026300534.1, XP_026300535.1, XP_026300601.1, XP_026300602.1, XP_395671.3, XP_397347.4, XP_623595.1	XP_003400119.1, XP_003400126.1, XP_003400131.1, XP_012170855.1, XP_012170857.1, XP_012170859.1, XP_012170860.1, XP_020721795.1, XP_020721796.1	XP_017888037.1, XP_017888667.1, XP_017891081.1, XP_017891756.1, XP_017891764.1, XP_026673601.1, XP_026674593.1	XP_015434757.1, XP_015434758.1, XP_015434764.1, XP_015434772.1, XP_015434773.1, XP_015434774.1, XP_015434775.1, XP_015434777.1, XP_015434778.1, XP_015438122.1	XP_017757738.1, XP_017757740.1, XP_017757755.1, XP_017757757.1, XP_017757758.1, XP_017757759.1, XP_017757760.1, XP_017757764.1, XP_017757765.1, XP_017757780.1, XP_017757781.1, XP_017757795.1, XP_017757796.1, XP_017757797.1, XP_017757798.1, XP_017757799.1	XP_017795398.1, XP_017795399.1, XP_017796200.1, XP_017796733.1, XP_017796836.1, XP_017796838.1	XP_003703231.1, XP_003704278.1, XP_003704279.1, XP_003704281.1, XP_003704412.1, XP_003704414.1, XP_003704416.1, XP_012140371.1, XP_012140372.1, XP_012143061.1, XP_012143067.1, XP_012143070.1, XP_012143071.1, XP_012143072.1	XP_033323542.1, XP_033326750.1, XP_033326751.1, XP_033326752.1, XP_033326753.1, XP_033326754.1, XP_033326755.1, XP_033326756.1, XP_033326758.1, XP_033326759.1, XP_033326760.1, XP_033326761.1, XP_033326762.1, XP_033326763.1, XP_033329017.1, XP_033329018.1, XP_033329019.1, XP_033329022.1, XP_033331298.1, XP_033331299.1	XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031826094.1, XP_031826095.1, XP_031826097.1, XP_031826098.1, XP_031826099.1	XP_029048981.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029052978.1, XP_029052979.1, XP_029052980.1, XP_029052981.1, XP_029053433.1, XP_029053437.1, XP_029053438.1, XP_029053439.1, XP_029053440.1, XP_029053627.1, XP_029053628.1, XP_029053697.1, XP_029053698.1, XP_029053699.1, XP_029053700.1, XP_029053701.1, XP_029053704.1, XP_029053850.1, XP_029053978.1, XP_029053979.1, XP_029053980.1, XP_029053981.1, XP_029054094.1, XP_029054161.1, XP_029054175.1	XP_034178111.1, XP_034178244.1, XP_034178676.1, XP_034178687.1, XP_034178688.1, XP_034178689.1, XP_034178690.1, XP_034178691.1, XP_034178692.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178696.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034194594.1, XP_034194603.1, XP_034194619.1
OG0000002	XP_016771095.2	XP_012171355.1, XP_012174272.1	XP_017875389.1, XP_017891019.1, XP_017891277.1, XP_026667095.1	XP_015429000.1, XP_015429399.1, XP_015430410.1, XP_015431457.1, XP_015431885.1, XP_015431915.1, XP_015431916.1, XP_015431917.1, XP_015431918.1, XP_015431919.1, XP_015431920.1, XP_015434271.1, XP_015437433.1, XP_015439681.1	XP_017757739.1, XP_017759155.1	XP_017787740.1, XP_017790869.1, XP_017791563.1, XP_017792714.1, XP_017793838.1, XP_017794487.1, XP_017796220.1, XP_017797943.1	XP_012134947.1, XP_012139081.1, XP_012139414.1, XP_012139970.1, XP_012142409.1, XP_012142570.1, XP_012143327.1, XP_012145934.1, XP_012146064.1, XP_012146357.1, XP_012147245.1, XP_012148727.1, XP_012150437.1, XP_012150438.1, XP_012150439.1, XP_012150440.1, XP_012150520.1, XP_012150985.1, XP_012151027.1, XP_012151833.1, XP_012151889.1, XP_012151897.1, XP_012152029.1, XP_012152158.1	XP_033321306.1, XP_033322035.1, XP_033322222.1, XP_033322608.1, XP_033322845.1, XP_033324606.1, XP_033328275.1, XP_033328756.1, XP_033330633.1, XP_033330929.1, XP_033330930.1, XP_033330931.1, XP_033333817.1, XP_033333818.1, XP_033334442.1, XP_033337381.1, XP_033340639.1, XP_033340640.1, XP_033341707.1	XP_031825293.1, XP_031834591.1, XP_031836533.1, XP_031840848.1, XP_031840849.1, XP_031840851.1, XP_031843598.1, XP_031843599.1, XP_031844082.1, XP_031844871.1, XP_031848748.1	XP_029036971.1, XP_029038971.1, XP_029040939.1, XP_029052591.1, XP_029052800.1, XP_029053451.1, XP_029053461.1, XP_029053759.1, XP_029053867.1, XP_029054036.1, XP_029054264.1, XP_029054427.1, XP_029054618.1, XP_029054660.1, XP_029054697.1, XP_029054700.1, XP_029054741.1, XP_029054775.1, XP_029054831.1, XP_029054922.1, XP_029055048.1, XP_029055156.1, XP_029055229.1, XP_029055253.1, XP_029055265.1	XP_034177368.1, XP_034183909.1, XP_034186984.1, XP_034189857.1, XP_034192193.1, XP_034192544.1, XP_034194539.1, XP_034194584.1, XP_034194801.1, XP_034194881.1, XP_034194884.1, XP_034194984.1, XP_034194985.1, XP_034195050.1, XP_034195189.1, XP_034195199.1, XP_034195200.1
OG0000003	XP_006571987.1, XP_016772665.2, XP_026294993.1, XP_026295418.1, XP_026295496.1, XP_026299470.1, XP_026300570.1, XP_026301197.1, XP_026301735.1, XP_026301769.1, XP_026301782.1	XP_003401566.2, XP_012168908.1, XP_012174534.1, XP_012175225.1, XP_012175228.1, XP_012176696.1, XP_020723715.1	XP_017890440.1, XP_026667471.1, XP_026674121.1	XP_015428689.1, XP_015429306.1, XP_015429413.1, XP_015430060.1, XP_015432529.1, XP_015433578.1, XP_015433590.1, XP_015434210.1, XP_015435240.1, XP_015436815.1, XP_015437007.1, XP_015437444.1, XP_015437574.1, XP_015437851.1, XP_015438097.1, XP_015438307.1, XP_015438320.1, XP_015438720.1, XP_015438738.1, XP_015439948.1, XP_015440315.1, XP_015440329.1	XP_017752640.1, XP_017755835.1, XP_017765117.1, XP_017765118.1, XP_017765323.1, XP_017765600.1, XP_017767748.1	XP_017791461.1, XP_017791901.1, XP_017791914.1, XP_017795708.1, XP_017795782.1, XP_017795848.1, XP_017796120.1, XP_017796822.1, XP_017796825.1, XP_017796835.1, XP_017797105.1, XP_017797951.1, XP_017798713.1, XP_017799489.1	XP_003704143.1, XP_003705684.1, XP_003708133.2, XP_003708364.1, XP_012135719.1, XP_012143994.1, XP_012148416.1, XP_012148649.1, XP_012149733.1, XP_012152028.1, XP_012152731.1	XP_033322610.1, XP_033324870.1, XP_033330636.1, XP_033331349.1, XP_033331393.1, XP_033334345.1, XP_033335340.1, XP_033340892.1, XP_033340902.1	XP_031834418.1	XP_029050939.1, XP_029053578.1, XP_029054180.1, XP_029055259.1	XP_034190491.1, XP_034192337.1
OG0000004	NP_001229916.1, NP_001229917.1, XP_006562271.1, XP_006562273.2, XP_016770849.2, XP_016771123.1, XP_026299914.1	XP_003399526.1, XP_003402807.2, XP_012169978.1, XP_012169979.1, XP_012170046.1, XP_020721562.1, XP_020721563.1, XP_020721662.1, XP_020723854.1	XP_017883621.2, XP_017883632.2, XP_017883640.2, XP_017883641.2, XP_017883644.1, XP_017885481.2, XP_026667535.1, XP_026668068.1, XP_026668673.1, XP_026668849.1, XP_026671129.1, XP_026671130.1, XP_026671131.1, XP_026671133.1, XP_026671137.1, XP_026671138.1, XP_026671140.1, XP_026671141.1, XP_026671143.1, XP_026671149.1, XP_026671151.1, XP_026671157.1, XP_026671158.1, XP_026671159.1, XP_026671444.1, XP_026672990.1, XP_026673595.1, XP_026673598.1		XP_017753407.1, XP_017753408.1, XP_017753409.1, XP_017753410.1, XP_017753432.1, XP_017753433.1, XP_017753435.1, XP_017753436.1	XP_017792749.1, XP_017794413.1, XP_017794414.1, XP_017794415.1, XP_017794416.1, XP_017794417.1, XP_017794418.1, XP_017794588.1, XP_017794589.1, XP_017794590.1, XP_017794592.1, XP_017794593.1, XP_017796353.1, XP_017796982.1, XP_017797020.1, XP_017797021.1, XP_017797022.1, XP_017797050.1, XP_017797051.1, XP_017797090.1, XP_017797092.1, XP_017797093.1, XP_017797125.1	XP_003704115.1, XP_012142564.1, XP_012142565.1, XP_012142566.1			XP_029049008.1, XP_029049217.1, XP_029049232.1, XP_029049978.1	XP_034183048.1, XP_034183052.1, XP_034183283.1, XP_034183284.1, XP_034183285.1
OG0000005	NP_001229914.1, NP_001229915.1, XP_016770780.1, XP_016770782.1, XP_016770788.1, XP_026299312.1, XP_026299613.1	XP_012169044.2, XP_012169049.1, XP_012169050.1, XP_012169499.2, XP_012169504.1, XP_012175294.2, XP_020721189.1, XP_020721190.1, XP_020721191.1, XP_020721192.1, XP_020721239.1	XP_017889271.2, XP_026667346.1, XP_026667348.1, XP_026673541.1, XP_026673544.1, XP_026673555.1, XP_026673556.1, XP_026675078.1		XP_017754772.1, XP_017754773.1, XP_017754775.1, XP_017754776.1, XP_017754777.1, XP_017754778.1, XP_017754793.1, XP_017754795.1	XP_017795285.1, XP_017795546.1, XP_017795547.1, XP_017795548.1	XP_003704403.2, XP_012135624.1, XP_012138602.1, XP_012138607.1, XP_012138654.1, XP_012138695.1, XP_012138708.1, XP_012138734.1, XP_012138745.1, XP_012138758.1, XP_012138767.1, XP_012138783.1, XP_012138996.1, XP_012143135.1, XP_012143136.1, XP_012143137.1, XP_012143138.1, XP_012143140.1, XP_012143815.1, XP_012143908.1, XP_012144545.1, XP_012144703.1, XP_012144879.1, XP_012144983.1, XP_012145209.1, XP_012152457.1, XP_012152458.1, XP_012152700.1			XP_029048589.1, XP_029048590.1, XP_029052850.1, XP_029052851.1, XP_029052866.1, XP_029052867.1, XP_029052877.1	XP_034175224.1, XP_034175225.1, XP_034176023.1, XP_034176024.1, XP_034178174.1
OG0000006	XP_001120132.1, XP_003251619.1, XP_006563134.1, XP_006563135.1, XP_006570899.1, XP_624499.1	XP_003392965.1, XP_003392969.1, XP_003400767.1, XP_003400771.1, XP_003400772.1, XP_020718381.1	XP_017875197.1, XP_017884545.1, XP_017884546.1, XP_017887567.1, XP_017888231.1, XP_026671795.1, XP_026671796.1, XP_026671797.1, XP_026671798.1, XP_026671799.1, XP_026671800.1, XP_026671801.1	XP_015434156.1, XP_015434157.1, XP_015435345.1, XP_015435409.1, XP_015438102.1, XP_015440404.1	XP_017754146.1, XP_017760616.1, XP_017760617.1, XP_017760618.1, XP_017764545.1, XP_017764546.1	XP_017795688.1, XP_017797793.1, XP_017797795.1, XP_017799274.1, XP_017799299.1	XP_003707914.1, XP_003708096.1, XP_003708097.1	XP_033328623.1, XP_033328624.1, XP_033328768.1, XP_033328965.1, XP_033330794.1, XP_033330795.1, XP_033330796.1, XP_033330798.1	XP_031829653.1, XP_031829654.1, XP_031839304.1, XP_031839362.1	XP_029035638.1, XP_029037649.1, XP_029037650.1, XP_029051686.1, XP_029053372.1, XP_029053452.1, XP_029053453.1, XP_029053957.1	XP_034171174.1, XP_034171306.1, XP_034171451.1, XP_034173427.1, XP_034173511.1, XP_034173944.1, XP_034174016.1, XP_034184139.1, XP_034191425.1, XP_034191426.1, XP_034195020.1
OG0000007	NP_001314879.1, XP_006557709.2, XP_016766484.1, XP_016766488.1, XP_016766491.1, XP_026294837.1, XP_026294949.1, XP_026294950.1, XP_026297763.1, XP_026298536.1, XP_026300513.1, XP_026301740.1	XP_003397834.1, XP_003403225.1, XP_012167402.1, XP_012173466.1, XP_012173473.1, XP_020719100.1, XP_020720438.1, XP_020720439.1, XP_020720441.1, XP_020723333.1	XP_026667260.1, XP_026669747.1, XP_026669980.1, XP_026669995.1	XP_015439489.1	XP_017753024.1, XP_017758952.1, XP_017759157.1, XP_017760962.1, XP_017760963.1, XP_017760964.1, XP_017760966.1, XP_017760967.1, XP_017765356.1, XP_017765413.1	XP_017787376.1, XP_017795874.1, XP_017799434.1, XP_017799435.1	XP_012148352.1, XP_012152307.1, XP_012152319.1, XP_012152339.1	XP_033328276.1, XP_033339129.1, XP_033339130.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339134.1, XP_033339137.1, XP_033339138.1, XP_033339139.1, XP_033339140.1, XP_033339287.1	XP_031838462.1, XP_031838476.1, XP_031838489.1, XP_031838503.1	XP_029038274.1, XP_029038863.1, XP_029038873.1, XP_029038888.1, XP_029038900.1	XP_034179608.1, XP_034179620.1, XP_034191910.1, XP_034196053.1, XP_034196442.1, XP_034196577.1
OG0000008	NP_001172074.1, NP_001172075.1, XP_003251464.1, XP_016767697.1, XP_026296530.1, XP_625015.1	XP_003394488.1, XP_003394490.1, XP_003396989.1, XP_003396990.1, XP_003399722.1	XP_017880121.1, XP_017880123.1, XP_017880124.1, XP_017892322.1, XP_017892323.1, XP_017893662.1, XP_026675486.1	XP_015433852.1, XP_015434640.1, XP_015434651.1, XP_015434661.1	XP_017754630.1, XP_017759619.1, XP_017759620.1, XP_017759621.1, XP_017765151.1, XP_017765153.1	XP_017795667.1, XP_017795668.1, XP_017796748.1, XP_017796749.1, XP_017798373.1	XP_003700544.1, XP_003702208.1, XP_003706097.1, XP_003706098.1, XP_003706099.1, XP_012137792.1, XP_012137793.1, XP_012147260.1, XP_012147261.1, XP_012147262.1, XP_012147263.1, XP_012147265.1, XP_012147266.1, XP_012147267.1	XP_033322535.1, XP_033322537.1, XP_033322540.1, XP_033333605.1, XP_033333606.1, XP_033338815.1	XP_031828107.1, XP_031828119.1, XP_031836959.1, XP_031836960.1	XP_029032653.1, XP_029032654.1, XP_029038899.1, XP_029038901.1, XP_029038902.1, XP_029053007.1	XP_034174481.1, XP_034174489.1, XP_034183063.1, XP_034183064.1, XP_034183066.1, XP_034186914.1
OG0000009	XP_006559344.1, XP_026295458.1, XP_026300992.1, XP_026300993.1, XP_026300994.1, XP_396662.2	XP_003400542.1, XP_012171447.1, XP_012171449.1, XP_012171450.1, XP_012171451.1, XP_012171452.1, XP_012171454.1, XP_012171455.1, XP_012176279.1	XP_017885111.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_017885115.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_026671927.1, XP_026671928.1, XP_026671929.1, XP_026671941.1	XP_015437448.1, XP_015437450.1, XP_015437451.1	XP_017760325.1, XP_017760326.1, XP_017760327.1	XP_017788040.1, XP_017794605.1	XP_003701951.1, XP_012137583.1, XP_012137584.1, XP_012137585.1, XP_012137586.1	XP_033323873.1, XP_033326033.1, XP_033326042.1	XP_031837139.1, XP_031837140.1, XP_031837141.1, XP_031837143.1, XP_031837144.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_029038483.1, XP_029038484.1, XP_029038485.1, XP_029038486.1, XP_029038488.1, XP_029038489.1, XP_029038490.1, XP_029051756.1	XP_034188385.1
