	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	9309	8998	8846	8689	8899	8837	8804	8545	8763	8876	8810
Bombus_terrestris	8998	9651	9028	8961	9125	9065	9062	8745	8979	9061	9015
Ceratina_calcarata	8846	9028	9547	8802	8931	8907	8906	8646	8844	8996	8928
Dufourea_novaeangliae	8689	8961	8802	9336	8920	8941	8885	8587	8854	8869	8791
Eufriesea_mexicana	8899	9125	8931	8920	9513	9109	8968	8650	8900	8984	8919
Habropoda_laboriosa	8837	9065	8907	8941	9109	9453	8945	8634	8896	8966	8882
Megachile_rotundata	8804	9062	8906	8885	8968	8945	9609	8645	8855	9108	9032
Megalopta_genalis	8545	8745	8646	8587	8650	8634	8645	9226	8698	8714	8669
Nomia_melanderi	8763	8979	8844	8854	8900	8896	8855	8698	9354	8914	8857
Osmia_bicornis	8876	9061	8996	8869	8984	8966	9108	8714	8914	9679	9306
Osmia_lignaria	8810	9015	8928	8791	8919	8882	9032	8669	8857	9306	9609
