	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	2181.0	2194.0	2945.0	2774.0	2952.0	2346.0	2135.0	2167.0	2177.0	2232.0
Bombus_terrestris	2586.0	0.0	2629.0	3599.0	3254.0	3653.0	2754.0	2593.0	2625.0	2570.0	2624.0
Ceratina_calcarata	2927.0	2877.0	0.0	3734.0	3400.0	3904.0	2942.0	2704.0	2822.0	2763.0	2754.0
Dufourea_novaeangliae	840.0	865.0	778.0	0.0	937.0	1082.0	873.0	781.0	754.0	876.0	885.0
Eufriesea_mexicana	1375.0	1376.0	1343.0	1874.0	0.0	1815.0	1497.0	1376.0	1423.0	1387.0	1429.0
Habropoda_laboriosa	741.0	747.0	786.0	938.0	799.0	0.0	748.0	687.0	749.0	768.0	761.0
Megachile_rotundata	2904.0	2859.0	2829.0	3730.0	3413.0	3833.0	0.0	2768.0	2751.0	2667.0	2750.0
Megalopta_genalis	2992.0	3089.0	2926.0	3799.0	3525.0	3886.0	3037.0	0.0	2852.0	2903.0	2862.0
Nomia_melanderi	3383.0	3351.0	3347.0	4294.0	4040.0	4453.0	3349.0	3056.0	0.0	3152.0	3182.0
Osmia_bicornis	3124.0	3106.0	3063.0	4155.0	3701.0	4218.0	3142.0	2998.0	2953.0	0.0	2446.0
Osmia_lignaria	2801.0	2795.0	2728.0	3750.0	3409.0	3820.0	2799.0	2641.0	2714.0	1974.0	0.0
