	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Number of genes	12016	13240	13518	10477	11488	10688	13514	12831	13425	13851	13297
Number of genes in orthogroups	11821	12960	13031	10396	11281	10574	13138	12612	13218	13678	13151
Number of unassigned genes	195	280	487	81	207	114	376	219	207	173	146
Percentage of genes in orthogroups	98.4	97.9	96.4	99.2	98.2	98.9	97.2	98.3	98.5	98.8	98.9
Percentage of unassigned genes	1.6	2.1	3.6	0.8	1.8	1.1	2.8	1.7	1.5	1.2	1.1
Number of orthogroups containing species	9309	9651	9547	9336	9513	9453	9609	9226	9354	9679	9609
Percentage of orthogroups containing species	84.7	87.8	86.8	84.9	86.5	86.0	87.4	83.9	85.1	88.0	87.4
Number of species-specific orthogroups	28	45	87	6	25	9	58	52	23	34	43
Number of genes in species-specific orthogroups	94	138	294	17	63	26	196	150	83	119	132
Percentage of genes in species-specific orthogroups	0.8	1.0	2.2	0.2	0.5	0.2	1.5	1.2	0.6	0.9	1.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1688	1346	1450	1661	1484	1544	1388	1771	1643	1318	1388
'1	7696	7867	7570	8638	8391	8776	7730	7317	7556	7676	7776
'2	1181	1101	1304	518	803	500	1190	1225	1016	1237	1113
'3	256	324	352	111	179	89	347	366	348	360	367
'4	89	166	148	32	63	36	145	132	172	179	154
'5	27	80	71	19	30	24	77	93	83	79	81
'6	23	54	39	10	20	12	36	41	55	46	43
'7	14	21	24	0	10	5	29	18	40	28	19
'8	10	12	16	0	11	4	18	9	28	26	17
'9	3	10	5	1	1	1	13	8	13	10	9
'10	1	6	3	3	3	1	7	3	7	9	6
11-15	6	8	9	2	1	3	12	8	31	16	15
16-20	2	1	3	1	1	0	2	6	4	7	7
21-50	1	1	3	1	0	2	3	0	1	6	2
51-100	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	15.3	12.2	13.2	15.1	13.5	14.0	12.6	16.1	14.9	12.0	12.6
'1	70.0	71.5	68.8	78.5	76.3	79.8	70.3	66.5	68.7	69.8	70.7
'2	10.7	10.0	11.9	4.7	7.3	4.5	10.8	11.1	9.2	11.2	10.1
'3	2.3	2.9	3.2	1.0	1.6	0.8	3.2	3.3	3.2	3.3	3.3
'4	0.8	1.5	1.3	0.3	0.6	0.3	1.3	1.2	1.6	1.6	1.4
'5	0.2	0.7	0.6	0.2	0.3	0.2	0.7	0.8	0.8	0.7	0.7
'6	0.2	0.5	0.4	0.1	0.2	0.1	0.3	0.4	0.5	0.4	0.4
'7	0.1	0.2	0.2	0.0	0.1	0.0	0.3	0.2	0.4	0.3	0.2
'8	0.1	0.1	0.1	0.0	0.1	0.0	0.2	0.1	0.3	0.2	0.2
