Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	99	68
OG0000001	102	98
OG0000002	79	60
OG0000003	54	37
OG0000004	57	51
OG0000005	51	44
OG0000006	34	16
OG0000007	47	44
OG0000008	26	14
OG0000009	47	47
OG0000010	38	37
OG0000011	51	51
OG0000012	50	50
OG0000013	32	24
OG0000014	25	6
OG0000015	37	34
OG0000016	42	38
OG0000017	25	16
OG0000018	44	44
OG0000019	45	45
OG0000020	36	35
OG0000021	27	18
OG0000022	41	41
OG0000023	21	9
OG0000024	37	31
OG0000025	36	32
OG0000026	39	34
OG0000027	37	37
OG0000028	36	34
OG0000029	39	36
OG0000030	33	28
OG0000031	37	37
OG0000032	37	37
OG0000033	37	37
OG0000034	31	27
OG0000035	34	34
OG0000036	36	36
OG0000037	36	36
OG0000038	26	26
OG0000039	35	35
OG0000040	35	35
OG0000041	22	16
OG0000042	27	23
OG0000043	34	34
OG0000044	34	34
OG0000045	30	25
OG0000046	24	22
OG0000047	14	10
OG0000048	29	21
OG0000049	21	17
OG0000050	32	32
OG0000051	32	32
OG0000052	25	25
OG0000053	30	29
OG0000054	30	30
OG0000055	31	31
OG0000056	31	31
OG0000057	23	10
OG0000058	23	20
OG0000059	15	13
OG0000060	30	30
OG0000061	23	17
OG0000062	24	20
OG0000063	9	5
OG0000064	10	9
OG0000065	29	29
OG0000066	30	30
OG0000067	30	30
OG0000068	26	25
OG0000069	28	28
OG0000070	28	28
OG0000071	28	28
OG0000072	28	28
OG0000073	28	28
OG0000074	21	18
OG0000075	25	18
OG0000076	27	27
OG0000077	25	25
OG0000078	23	23
OG0000079	27	26
OG0000080	28	28
OG0000081	27	27
OG0000082	27	27
OG0000083	27	27
OG0000084	25	21
OG0000085	26	26
OG0000086	27	27
OG0000087	26	26
OG0000088	25	23
OG0000089	26	26
OG0000090	26	26
OG0000091	26	26
OG0000092	24	22
OG0000093	25	25
OG0000094	25	25
OG0000095	25	25
OG0000096	25	24
OG0000097	25	25
OG0000098	25	25
OG0000099	23	23
OG0000100	21	17
OG0000101	24	24
OG0000102	24	24
OG0000103	24	24
OG0000104	6	6
OG0000105	24	24
OG0000106	16	12
OG0000107	18	14
OG0000108	25	25
OG0000109	25	25
OG0000110	19	19
OG0000111	26	26
OG0000112	20	18
OG0000113	23	23
OG0000114	21	21
OG0000115	23	23
OG0000116	23	23
OG0000117	22	20
OG0000118	23	23
OG0000119	23	23
OG0000120	18	17
OG0000121	23	23
OG0000122	21	17
OG0000123	32	32
OG0000124	22	22
OG0000125	23	23
OG0000126	22	22
OG0000127	13	11
OG0000128	22	22
OG0000129	22	22
OG0000130	20	20
OG0000131	22	22
OG0000132	22	22
OG0000133	22	20
OG0000134	21	19
OG0000135	23	23
OG0000136	15	9
OG0000137	16	8
OG0000138	24	24
OG0000139	21	21
OG0000140	20	20
OG0000141	20	20
OG0000142	17	16
OG0000143	15	8
OG0000144	21	21
OG0000145	16	13
OG0000146	18	17
OG0000147	21	21
