	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
Apis_mellifera	0.0	6765.0	6400.0	6954.0	7001.0	7162.0	6365.0	6078.0	6301.0	6361.0	6426.0
Bombus_terrestris	6765.0	0.0	6485.0	7139.0	7164.0	7331.0	6561.0	6182.0	6435.0	6444.0	6534.0
Ceratina_calcarata	6400.0	6485.0	0.0	6845.0	6775.0	6971.0	6261.0	6011.0	6170.0	6245.0	6313.0
Dufourea_novaeangliae	6954.0	7139.0	6845.0	0.0	7618.0	8014.0	7028.0	6670.0	6996.0	6817.0	6897.0
Eufriesea_mexicana	7001.0	7164.0	6775.0	7618.0	0.0	7930.0	6844.0	6457.0	6688.0	6753.0	6796.0
Habropoda_laboriosa	7162.0	7331.0	6971.0	8014.0	7930.0	0.0	7118.0	6736.0	6998.0	6963.0	7050.0
Megachile_rotundata	6365.0	6561.0	6261.0	7028.0	6844.0	7118.0	0.0	6055.0	6308.0	6563.0	6607.0
Megalopta_genalis	6078.0	6182.0	6011.0	6670.0	6457.0	6736.0	6055.0	0.0	6140.0	6011.0	6131.0
Nomia_melanderi	6301.0	6435.0	6170.0	6996.0	6688.0	6998.0	6308.0	6140.0	0.0	6254.0	6303.0
Osmia_bicornis	6361.0	6444.0	6245.0	6817.0	6753.0	6963.0	6563.0	6011.0	6254.0	0.0	7521.0
Osmia_lignaria	6426.0	6534.0	6313.0	6897.0	6796.0	7050.0	6607.0	6131.0	6303.0	7521.0	0.0
