	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	8740	6707	6560	6795	6875	6830	6852	6606	6847	6845	6842	6845	6652	6716	6824	6910	6852	6800	7002	7000	6742
Aedes_aegypti	6707	9378	8464	7211	7305	7390	7247	7712	7263	7280	7280	7240	7046	7087	7255	7288	7230	7225	7327	7542	7183
Anopheles_gambiae	6560	8464	8949	7057	7133	7199	7075	7534	7091	7113	7109	7065	6878	6907	7075	7091	7040	7049	7142	7337	7016
Apis_mellifera	6795	7211	7057	8932	8673	7363	8547	7123	8403	8587	8537	8509	8276	7897	8483	8593	8537	8225	8366	7595	8264
Bombus_terrestris	6875	7305	7133	8673	9150	7470	8673	7198	8562	8727	8681	8672	8403	8012	8607	8712	8674	8371	8514	7682	8378
Bombyx_mori	6830	7390	7199	7363	7470	8842	7405	7241	7413	7428	7430	7417	7201	7218	7396	7448	7406	7384	7503	7627	7332
Ceratina_calcarata	6852	7247	7075	8547	8673	7405	9101	7144	8465	8575	8546	8551	8321	7951	8506	8653	8592	8292	8462	7634	8272
Drosophila_melanogaster	6606	7712	7534	7123	7198	7241	7144	8506	7166	7188	7178	7144	6939	6945	7139	7174	7126	7122	7204	7391	7079
Dufourea_novaeangliae	6847	7263	7091	8403	8562	7413	8465	7166	8852	8539	8550	8491	8241	7909	8487	8539	8471	8291	8378	7628	8224
Eufriesea_mexicana	6845	7280	7113	8587	8727	7428	8575	7188	8539	9025	8694	8585	8307	7962	8538	8637	8573	8328	8431	7649	8306
Habropoda_laboriosa	6842	7280	7109	8537	8681	7430	8546	7178	8550	8694	8978	8561	8295	7948	8532	8612	8541	8321	8415	7654	8297
Megachile_rotundata	6845	7240	7065	8509	8672	7417	8551	7144	8491	8585	8561	9081	8300	7948	8497	8729	8665	8303	8451	7618	8262
Megalopta_genalis	6652	7046	6878	8276	8403	7201	8321	6939	8241	8307	8295	8300	8768	7711	8345	8379	8343	8051	8188	7395	8048
Nasonia_vitripennis	6716	7087	6907	7897	8012	7218	7951	6945	7909	7962	7948	7948	7711	9098	7903	8018	7957	7867	8076	7422	7812
Nomia_melanderi	6824	7255	7075	8483	8607	7396	8506	7139	8487	8538	8532	8497	8345	7903	8893	8579	8519	8277	8378	7606	8274
Osmia_bicornis	6910	7288	7091	8593	8712	7448	8653	7174	8539	8637	8612	8729	8379	8018	8579	9218	8897	8341	8530	7674	8326
Osmia_lignaria	6852	7230	7040	8537	8674	7406	8592	7126	8471	8573	8541	8665	8343	7957	8519	8897	9140	8271	8467	7622	8269
Polistes_dominula	6800	7225	7049	8225	8371	7384	8292	7122	8291	8328	8321	8303	8051	7867	8277	8341	8271	8846	8323	7593	8430
Solenopsis_invicta	7002	7327	7142	8366	8514	7503	8462	7204	8378	8431	8415	8451	8188	8076	8378	8530	8467	8323	9448	7735	8284
Tribolium_castaneum	7000	7542	7337	7595	7682	7627	7634	7391	7628	7649	7654	7618	7395	7422	7606	7674	7622	7593	7735	8966	7538
Vespa_mandarinia	6742	7183	7016	8264	8378	7332	8272	7079	8224	8306	8297	8262	8048	7812	8274	8326	8269	8430	8284	7538	8812
