	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	1223.0	875.0	804.0	871.0	1030.0	967.0	474.0	386.0	591.0	386.0	914.0	956.0	1198.0	956.0	1004.0	880.0	804.0	997.0	838.0	915.0
Aedes_aegypti	1462.0	0.0	1021.0	857.0	922.0	1110.0	1067.0	492.0	394.0	615.0	375.0	986.0	1025.0	1269.0	1054.0	1072.0	950.0	860.0	1044.0	870.0	1013.0
Anopheles_gambiae	1603.0	1922.0	0.0	973.0	1074.0	1232.0	1223.0	522.0	454.0	695.0	395.0	1092.0	1169.0	1456.0	1184.0	1167.0	1090.0	990.0	1156.0	978.0	1143.0
Apis_mellifera	1636.0	1428.0	993.0	0.0	954.0	1199.0	1141.0	588.0	367.0	569.0	304.0	1095.0	1147.0	1501.0	1127.0	1148.0	1040.0	978.0	1186.0	968.0	1138.0
Bombus_terrestris	1620.0	1416.0	1005.0	891.0	0.0	1222.0	1120.0	571.0	343.0	565.0	293.0	1051.0	1148.0	1505.0	1105.0	1146.0	1021.0	935.0	1171.0	981.0	1153.0
Bombyx_mori	1532.0	1431.0	924.0	894.0	1004.0	0.0	1130.0	532.0	418.0	658.0	404.0	1057.0	1099.0	1327.0	1125.0	1121.0	1010.0	964.0	1140.0	852.0	1069.0
Ceratina_calcarata	1577.0	1403.0	1000.0	896.0	962.0	1211.0	0.0	549.0	335.0	559.0	315.0	1067.0	1105.0	1428.0	1102.0	1141.0	1014.0	928.0	1173.0	955.0	1123.0
Drosophila_melanogaster	1779.0	1809.0	1141.0	1123.0	1197.0	1423.0	1333.0	0.0	494.0	797.0	464.0	1238.0	1292.0	1604.0	1325.0	1329.0	1218.0	1144.0	1328.0	1084.0	1308.0
Dufourea_novaeangliae	1900.0	1698.0	1170.0	1215.0	1297.0	1471.0	1447.0	662.0	0.0	764.0	382.0	1370.0	1428.0	1819.0	1388.0	1523.0	1368.0	1219.0	1512.0	1199.0	1437.0
Eufriesea_mexicana	1762.0	1571.0	1076.0	1102.0	1171.0	1376.0	1309.0	642.0	395.0	0.0	320.0	1242.0	1324.0	1677.0	1331.0	1348.0	1230.0	1088.0	1401.0	1129.0	1299.0
Habropoda_laboriosa	1923.0	1713.0	1156.0	1211.0	1299.0	1502.0	1459.0	667.0	440.0	729.0	0.0	1372.0	1449.0	1867.0	1432.0	1515.0	1373.0	1230.0	1562.0	1209.0	1449.0
Megachile_rotundata	1644.0	1414.0	980.0	952.0	1005.0	1229.0	1150.0	554.0	352.0	605.0	303.0	0.0	1160.0	1495.0	1091.0	1147.0	1023.0	946.0	1219.0	974.0	1136.0
Megalopta_genalis	1574.0	1372.0	951.0	900.0	970.0	1179.0	1084.0	536.0	345.0	586.0	308.0	1042.0	0.0	1414.0	1034.0	1109.0	957.0	919.0	1149.0	945.0	1063.0
Nasonia_vitripennis	1474.0	1231.0	882.0	857.0	935.0	1037.0	1046.0	511.0	362.0	567.0	335.0	986.0	1023.0	0.0	997.0	1013.0	933.0	868.0	1104.0	815.0	997.0
Nomia_melanderi	1589.0	1421.0	992.0	909.0	970.0	1231.0	1117.0	566.0	325.0	611.0	319.0	1044.0	1097.0	1423.0	0.0	1122.0	995.0	951.0	1151.0	962.0	1105.0
Osmia_bicornis	1662.0	1422.0	977.0	901.0	955.0	1221.0	1100.0	575.0	365.0	562.0	304.0	1025.0	1111.0	1437.0	1071.0	0.0	728.0	918.0	1160.0	999.0	1075.0
Osmia_lignaria	1648.0	1400.0	997.0	919.0	963.0	1242.0	1104.0	580.0	367.0	587.0	300.0	1049.0	1100.0	1458.0	1076.0	931.0	0.0	961.0	1180.0	997.0	1127.0
Polistes_dominula	1644.0	1420.0	990.0	1018.0	1031.0	1243.0	1211.0	586.0	376.0	638.0	362.0	1147.0	1186.0	1501.0	1180.0	1211.0	1086.0	0.0	1245.0	994.0	1153.0
Solenopsis_invicta	1632.0	1389.0	936.0	929.0	985.0	1195.0	1132.0	550.0	365.0	634.0	353.0	1078.0	1102.0	1440.0	1114.0	1149.0	1005.0	950.0	0.0	935.0	1092.0
Tribolium_castaneum	1718.0	1560.0	1006.0	997.0	1091.0	1239.0	1241.0	539.0	461.0	738.0	429.0	1139.0	1200.0	1475.0	1237.0	1239.0	1134.0	1060.0	1236.0	0.0	1178.0
Vespa_mandarinia	1551.0	1391.0	975.0	920.0	1007.0	1174.0	1154.0	583.0	354.0	599.0	327.0	1080.0	1097.0	1372.0	1083.0	1106.0	1014.0	847.0	1138.0	924.0	0.0
