	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Number of genes	21066	18277	14102	12016	13240	16100	13518	13969	10477	11488	10688	13514	12831	17760	13425	13851	13297	12344	17661	14578	13061
Number of genes in orthogroups	19235	17356	13162	11864	13021	14795	13200	12012	10423	11326	10603	13232	12678	16935	13309	13727	13195	12218	17126	13637	12919
Number of unassigned genes	1831	921	940	152	219	1305	318	1957	54	162	85	282	153	825	116	124	102	126	535	941	142
Percentage of genes in orthogroups	91.3	95.0	93.3	98.7	98.3	91.9	97.6	86.0	99.5	98.6	99.2	97.9	98.8	95.4	99.1	99.1	99.2	99.0	97.0	93.5	98.9
Percentage of unassigned genes	8.7	5.0	6.7	1.3	1.7	8.1	2.4	14.0	0.5	1.4	0.8	2.1	1.2	4.6	0.9	0.9	0.8	1.0	3.0	6.5	1.1
Number of orthogroups containing species	8740	9378	8949	8932	9150	8842	9101	8506	8852	9025	8978	9081	8768	9098	8893	9218	9140	8846	9448	8966	8812
Percentage of orthogroups containing species	54.0	57.9	55.3	55.2	56.5	54.6	56.2	52.5	54.7	55.8	55.5	56.1	54.2	56.2	54.9	56.9	56.5	54.6	58.4	55.4	54.4
Number of species-specific orthogroups	1065	353	213	16	30	520	51	361	2	19	9	37	29	513	17	23	29	28	302	381	22
Number of genes in species-specific orthogroups	4566	1383	756	47	98	2086	173	1365	5	51	25	123	88	2384	59	73	81	83	1387	1435	57
Percentage of genes in species-specific orthogroups	21.7	7.6	5.4	0.4	0.7	13.0	1.3	9.8	0.0	0.4	0.2	0.9	0.7	13.4	0.4	0.5	0.6	0.7	7.9	9.8	0.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	7447	6809	7238	7255	7037	7345	7086	7681	7335	7162	7209	7106	7419	7089	7294	6969	7047	7341	6739	7221	7375
'1	5028	6345	6870	7161	7147	6170	6891	6993	7881	7656	8036	6996	6699	6116	6856	7087	7153	7015	6875	6758	6807
'2	2120	1598	1323	1260	1225	1759	1408	908	713	976	683	1308	1291	1643	1165	1290	1193	1150	1393	1394	1212
'3	676	555	375	294	375	409	411	279	152	205	133	391	413	544	388	381	395	355	455	390	359
'4	330	288	154	103	174	182	179	111	40	85	47	159	138	276	181	211	163	141	246	169	157
'5	159	179	72	42	82	88	86	56	22	36	36	76	106	140	98	75	94	89	127	85	106
'6	97	118	44	28	65	58	53	45	22	24	15	45	44	103	61	57	46	42	79	40	65
'7	67	69	28	15	27	33	21	27	7	14	8	37	25	64	45	29	21	20	62	29	38
'8	49	48	20	11	17	27	17	24	1	16	5	19	16	46	34	26	18	3	37	22	21
'9	35	36	13	3	12	26	4	10	3	3	1	12	8	25	10	12	11	10	25	13	17
'10	25	18	5	3	8	13	5	8	3	2	3	9	8	24	10	11	12	5	13	15	7
11-15	61	76	25	7	12	34	15	20	4	3	5	17	11	61	37	23	22	10	55	28	12
16-20	31	27	10	2	2	20	7	10	1	1	4	4	4	21	6	4	6	2	34	9	4
21-50	48	20	10	2	4	22	4	15	3	4	2	8	5	33	2	12	6	4	43	14	7
51-100	12	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0
101-150	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	46.0	42.1	44.7	44.8	43.5	45.4	43.8	47.5	45.3	44.2	44.5	43.9	45.8	43.8	45.1	43.1	43.5	45.4	41.6	44.6	45.6
'1	31.1	39.2	42.4	44.2	44.2	38.1	42.6	43.2	48.7	47.3	49.6	43.2	41.4	37.8	42.4	43.8	44.2	43.3	42.5	41.7	42.1
'2	13.1	9.9	8.2	7.8	7.6	10.9	8.7	5.6	4.4	6.0	4.2	8.1	8.0	10.2	7.2	8.0	7.4	7.1	8.6	8.6	7.5
'3	4.2	3.4	2.3	1.8	2.3	2.5	2.5	1.7	0.9	1.3	0.8	2.4	2.6	3.4	2.4	2.4	2.4	2.2	2.8	2.4	2.2
'4	2.0	1.8	1.0	0.6	1.1	1.1	1.1	0.7	0.2	0.5	0.3	1.0	0.9	1.7	1.1	1.3	1.0	0.9	1.5	1.0	1.0
'5	1.0	1.1	0.4	0.3	0.5	0.5	0.5	0.3	0.1	0.2	0.2	0.5	0.7	0.9	0.6	0.5	0.6	0.5	0.8	0.5	0.7
'6	0.6	0.7	0.3	0.2	0.4	0.4	0.3	0.3	0.1	0.1	0.1	0.3	0.3	0.6	0.4	0.4	0.3	0.3	0.5	0.2	0.4
'7	0.4	0.4	0.2	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.0	0.2	0.2	0.4	0.3	0.2	0.1	0.1	0.4	0.2	0.2
'8	0.3	0.3	0.1	0.1	0.1	0.2	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.3	0.2	0.2	0.1	0.0	0.2	0.1	0.1
'9	0.2	0.2	0.1	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1
'10	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0
11-15	0.4	0.5	0.2	0.0	0.1	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.4	0.2	0.1	0.1	0.1	0.3	0.2	0.1
16-20	0.2	0.2	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0
21-50	0.3	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.3	0.1	0.0
51-100	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	5028	6345	6870	7161	7147	6170	6891	6993	7881	7656	8036	6996	6699	6116	6856	7087	7153	7015	6875	6758	6807
'2	4240	3196	2646	2520	2450	3518	2816	1816	1426	1952	1366	2616	2582	3286	2330	2580	2386	2300	2786	2788	2424
'3	2028	1665	1125	882	1125	1227	1233	837	456	615	399	1173	1239	1632	1164	1143	1185	1065	1365	1170	1077
'4	1320	1152	616	412	696	728	716	444	160	340	188	636	552	1104	724	844	652	564	984	676	628
'5	795	895	360	210	410	440	430	280	110	180	180	380	530	700	490	375	470	445	635	425	530
'6	582	708	264	168	390	348	318	270	132	144	90	270	264	618	366	342	276	252	474	240	390
'7	469	483	196	105	189	231	147	189	49	98	56	259	175	448	315	203	147	140	434	203	266
'8	392	384	160	88	136	216	136	192	8	128	40	152	128	368	272	208	144	24	296	176	168
'9	315	324	117	27	108	234	36	90	27	27	9	108	72	225	90	108	99	90	225	117	153
'10	250	180	50	30	80	130	50	80	30	20	30	90	80	240	100	110	120	50	130	150	70
11-15	792	937	301	83	145	434	184	242	51	36	62	222	137	775	450	285	279	128	702	352	145
16-20	561	474	185	37	32	364	126	175	19	17	74	65	74	374	98	72	103	38	596	161	66
21-50	1498	534	272	71	113	692	117	404	74	113	73	265	146	943	54	370	181	107	1305	421	195
51-100	754	79	0	70	0	63	0	0	0	0	0	0	0	106	0	0	0	0	198	0	0
101-150	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	23.9	34.7	48.7	59.6	54.0	38.3	51.0	50.1	75.2	66.6	75.2	51.8	52.2	34.4	51.1	51.2	53.8	56.8	38.9	46.4	52.1
'2	20.1	17.5	18.8	21.0	18.5	21.9	20.8	13.0	13.6	17.0	12.8	19.4	20.1	18.5	17.4	18.6	17.9	18.6	15.8	19.1	18.6
'3	9.6	9.1	8.0	7.3	8.5	7.6	9.1	6.0	4.4	5.4	3.7	8.7	9.7	9.2	8.7	8.3	8.9	8.6	7.7	8.0	8.2
'4	6.3	6.3	4.4	3.4	5.3	4.5	5.3	3.2	1.5	3.0	1.8	4.7	4.3	6.2	5.4	6.1	4.9	4.6	5.6	4.6	4.8
'5	3.8	4.9	2.6	1.7	3.1	2.7	3.2	2.0	1.0	1.6	1.7	2.8	4.1	3.9	3.6	2.7	3.5	3.6	3.6	2.9	4.1
'6	2.8	3.9	1.9	1.4	2.9	2.2	2.4	1.9	1.3	1.3	0.8	2.0	2.1	3.5	2.7	2.5	2.1	2.0	2.7	1.6	3.0
'7	2.2	2.6	1.4	0.9	1.4	1.4	1.1	1.4	0.5	0.9	0.5	1.9	1.4	2.5	2.3	1.5	1.1	1.1	2.5	1.4	2.0
'8	1.9	2.1	1.1	0.7	1.0	1.3	1.0	1.4	0.1	1.1	0.4	1.1	1.0	2.1	2.0	1.5	1.1	0.2	1.7	1.2	1.3
'9	1.5	1.8	0.8	0.2	0.8	1.5	0.3	0.6	0.3	0.2	0.1	0.8	0.6	1.3	0.7	0.8	0.7	0.7	1.3	0.8	1.2
'10	1.2	1.0	0.4	0.2	0.6	0.8	0.4	0.6	0.3	0.2	0.3	0.7	0.6	1.4	0.7	0.8	0.9	0.4	0.7	1.0	0.5
11-15	3.8	5.1	2.1	0.7	1.1	2.7	1.4	1.7	0.5	0.3	0.6	1.6	1.1	4.4	3.4	2.1	2.1	1.0	4.0	2.4	1.1
16-20	2.7	2.6	1.3	0.3	0.2	2.3	0.9	1.3	0.2	0.1	0.7	0.5	0.6	2.1	0.7	0.5	0.8	0.3	3.4	1.1	0.5
21-50	7.1	2.9	1.9	0.6	0.9	4.3	0.9	2.9	0.7	1.0	0.7	2.0	1.1	5.3	0.4	2.7	1.4	0.9	7.4	2.9	1.5
51-100	3.6	0.4	0.0	0.6	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.1	0.0	0.0
101-150	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
