	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
Acyrthosiphon_pisum	0.0	3569.0	3815.0	3967.0	3978.0	3846.0	3859.0	4249.0	4431.0	4246.0	4430.0	3906.0	3705.0	3514.0	3846.0	3839.0	3924.0	3968.0	3925.0	4142.0	3819.0
Aedes_aegypti	3569.0	0.0	5946.0	4523.0	4556.0	4476.0	4351.0	5459.0	5048.0	4842.0	5070.0	4439.0	4230.0	4037.0	4370.0	4367.0	4455.0	4553.0	4427.0	4798.0	4349.0
Anopheles_gambiae	3815.0	5946.0	0.0	4825.0	4824.0	4841.0	4618.0	5978.0	5408.0	5193.0	5472.0	4750.0	4528.0	4260.0	4663.0	4667.0	4714.0	4838.0	4736.0	5166.0	4633.0
Apis_mellifera	3967.0	4523.0	4825.0	0.0	6747.0	4871.0	6368.0	5279.0	6951.0	7006.0	7185.0	6352.0	6086.0	5208.0	6282.0	6371.0	6422.0	6074.0	5986.0	5311.0	5947.0
Bombus_terrestris	3978.0	4556.0	4824.0	6747.0	0.0	4865.0	6454.0	5316.0	7156.0	7162.0	7361.0	6561.0	6181.0	5248.0	6407.0	6449.0	6536.0	6248.0	6117.0	5322.0	5981.0
Bombyx_mori	3846.0	4476.0	4841.0	4871.0	4865.0	0.0	4671.0	5260.0	5398.0	5168.0	5413.0	4763.0	4546.0	4336.0	4682.0	4693.0	4781.0	4839.0	4753.0	5191.0	4678.0
Ceratina_calcarata	3859.0	4351.0	4618.0	6368.0	6454.0	4671.0	0.0	5120.0	6825.0	6764.0	6967.0	6216.0	5980.0	5060.0	6127.0	6214.0	6274.0	5961.0	5858.0	5102.0	5738.0
Drosophila_melanogaster	4249.0	5459.0	5978.0	5279.0	5316.0	5260.0	5120.0	0.0	5991.0	5693.0	6006.0	5232.0	4970.0	4675.0	5119.0	5127.0	5204.0	5295.0	5188.0	5701.0	5070.0
Dufourea_novaeangliae	4431.0	5048.0	5408.0	6951.0	7156.0	5398.0	6825.0	5991.0	0.0	7632.0	8045.0	7009.0	6658.0	5713.0	6974.0	6791.0	6869.0	6795.0	6567.0	5897.0	6467.0
Eufriesea_mexicana	4246.0	4842.0	5193.0	7006.0	7162.0	5168.0	6764.0	5693.0	7632.0	0.0	7947.0	6860.0	6477.0	5557.0	6687.0	6761.0	6807.0	6590.0	6335.0	5637.0	6323.0
Habropoda_laboriosa	4430.0	5070.0	5472.0	7185.0	7361.0	5413.0	6967.0	6006.0	8045.0	7947.0	0.0	7132.0	6728.0	5770.0	6979.0	6972.0	7041.0	6849.0	6595.0	5942.0	6579.0
Megachile_rotundata	3906.0	4439.0	4750.0	6352.0	6561.0	4763.0	6216.0	5232.0	7009.0	6860.0	7132.0	0.0	6020.0	5145.0	6250.0	6525.0	6569.0	6068.0	5938.0	5219.0	5800.0
Megalopta_genalis	3705.0	4230.0	4528.0	6086.0	6181.0	4546.0	5980.0	4970.0	6658.0	6477.0	6728.0	6020.0	0.0	4901.0	6110.0	5990.0	6108.0	5792.0	5664.0	4950.0	5625.0
Nasonia_vitripennis	3514.0	4037.0	4260.0	5208.0	5248.0	4336.0	5060.0	4675.0	5713.0	5557.0	5770.0	5145.0	4901.0	0.0	5093.0	5126.0	5169.0	5207.0	5121.0	4706.0	5021.0
Nomia_melanderi	3846.0	4370.0	4663.0	6282.0	6407.0	4682.0	6127.0	5119.0	6974.0	6687.0	6979.0	6250.0	6110.0	5093.0	0.0	6205.0	6269.0	5995.0	5825.0	5103.0	5815.0
Osmia_bicornis	3839.0	4367.0	4667.0	6371.0	6449.0	4693.0	6214.0	5127.0	6791.0	6761.0	6972.0	6525.0	5990.0	5126.0	6205.0	0.0	7479.0	5971.0	5881.0	5117.0	5804.0
Osmia_lignaria	3924.0	4455.0	4714.0	6422.0	6536.0	4781.0	6274.0	5204.0	6869.0	6807.0	7041.0	6569.0	6108.0	5169.0	6269.0	7479.0	0.0	6032.0	5971.0	5194.0	5857.0
Polistes_dominula	3968.0	4553.0	4838.0	6074.0	6248.0	4839.0	5961.0	5295.0	6795.0	6590.0	6849.0	6068.0	5792.0	5207.0	5995.0	5971.0	6032.0	0.0	5958.0	5293.0	6350.0
Solenopsis_invicta	3925.0	4427.0	4736.0	5986.0	6117.0	4753.0	5858.0	5188.0	6567.0	6335.0	6595.0	5938.0	5664.0	5121.0	5825.0	5881.0	5971.0	5958.0	0.0	5212.0	5769.0
Tribolium_castaneum	4142.0	4798.0	5166.0	5311.0	5322.0	5191.0	5102.0	5701.0	5897.0	5637.0	5942.0	5219.0	4950.0	4706.0	5103.0	5117.0	5194.0	5293.0	5212.0	0.0	5107.0
Vespa_mandarinia	3819.0	4349.0	4633.0	5947.0	5981.0	4678.0	5738.0	5070.0	6467.0	6323.0	6579.0	5800.0	5625.0	5021.0	5815.0	5804.0	5857.0	6350.0	5769.0	5107.0	0.0
