Orthogroup	Dufourea_novaeangliae	Other
OG0000000	XP_015436978.1	XP_015190535.1
OG0000010	XP_015440399.1	XP_017893067.1, XP_017882797.1, XP_017879098.1, XP_017888506.1
OG0000011	XP_015434577.1, XP_015429492.1	XP_012142572.1
OG0000029	XP_015428687.1, XP_015428726.1	XP_970955.1
OG0000072	XP_015438005.1	XP_017795069.1
OG0000072	XP_015438005.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000072	XP_015438005.1	XP_008198792.1, XP_015839243.1
OG0000072	XP_015438005.1	XP_008189644.1, XP_008185349.1, XP_029344847.1
OG0000072	XP_015438005.1	XP_033334346.1
OG0000101	XP_015429187.1	XP_001661225.1, XP_001661226.1
OG0000101	XP_015429187.1	XP_008190343.1
OG0000101	XP_015429187.1	XP_311444.4
OG0000108	XP_015431062.1	XP_004926196.1, XP_037873923.1, XP_021203655.1, XP_021203635.1, XP_037874059.1, XP_037874060.1
OG0000133	XP_015434318.1	XP_037876429.1, XP_037876436.1
OG0000236	XP_015433153.1	NP_524407.1, NP_524398.1
OG0000379	XP_015432620.1	XP_017761255.1
OG0000398	XP_015438441.1, XP_015438442.1, XP_015438443.1	XP_564453.2
OG0000494	XP_015436648.1	XP_026295775.1
OG0000521	XP_015437087.1	NP_649380.1
OG0000839	XP_015429546.1	XP_003397297.1
OG0000953	XP_015429439.1	XP_017892911.1
OG0000953	XP_015429439.1	XP_017792623.1
OG0001603	XP_015429993.1	XP_026673231.1
OG0001728	XP_015432269.1	XP_317510.4
OG0001749	XP_015432797.1	XP_008193533.1
OG0001749	XP_015432797.1	XP_021706440.1
OG0001749	XP_015432797.1	XP_319450.4
OG0001749	XP_015432797.1	NP_001036722.1
OG0001953	XP_015428771.1	NP_524790.1, NP_001261255.1
OG0002374	XP_015436381.1, XP_015436383.1, XP_015436384.1, XP_015436385.1	XP_015178322.1
OG0002407	XP_015434568.1, XP_015434569.1	NP_001285640.1
OG0002437	XP_015435472.1	XP_318531.2
OG0002486	XP_015437597.1	XP_031847547.1
OG0002543	XP_015437165.1	XP_029055606.1
OG0002703	XP_015436967.1	XP_021695201.1
OG0002764	XP_015433047.1	NP_650066.1, NP_001163587.1
OG0003625	XP_015428734.1	XP_021708634.1
OG0004163	XP_015431256.1	NP_608567.2
OG0004600	XP_015436111.1	XP_012551106.1
OG0004600	XP_015436111.1	XP_564500.3
OG0004600	XP_015436111.1	XP_021695671.1, XP_021695668.1
OG0004600	XP_015436111.1	NP_610172.1
OG0004859	XP_015433117.1, XP_015433118.1	XP_021694245.1
OG0004943	XP_015432091.1	XP_034186449.1
OG0005060	XP_015429486.1	XP_033330573.1
OG0005089	XP_015428666.1, XP_015428674.1	XP_319461.1
OG0005282	XP_015439360.1	XP_021706418.1
OG0006414	XP_015438391.1	XP_006569250.2
OG0006574	XP_015438679.1	XP_033331329.1
OG0007596	XP_015429700.1	XP_029042990.1
OG0007645	XP_015431037.1	XP_311564.4
OG0008253	XP_015434822.1	XP_026670750.1
OG0009288	XP_015435650.1	XP_015185586.1
