Orthogroup	Drosophila_melanogaster	Apis_mellifera
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_623362.3, XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3, XP_026296210.1, XP_006564499.3, NP_001191991.1, XP_016770827.2
OG0000006	NP_523647.2, NP_523721.1	XP_003250826.2
OG0000008	NP_572981.1	XP_006565046.2
OG0000008	NP_572985.1	XP_026301320.1
OG0000008	NP_651466.1	XP_396549.3
OG0000008	NP_572978.1, NP_572977.1	XP_394219.3
OG0000008	NP_001285249.1	XP_003250567.1
OG0000008	NP_572987.1	XP_016769477.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_006562365.2, XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1
OG0000011	NP_523520.2	XP_026300258.1, XP_026300256.1, XP_026300257.1, XP_016771071.1, XP_026300224.1, XP_026300227.1, XP_026300228.1, XP_001120948.1, XP_003249278.2, XP_016771075.1, XP_003249229.1, XP_006558389.2, XP_003249267.2, XP_003249268.2, XP_026300226.1, XP_026300229.1, XP_026300225.1
OG0000012	NP_729270.1, NP_729271.1, NP_648134.1	XP_026298215.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_026297101.1, XP_026297165.1
OG0000012	NP_722915.1, NP_001285772.1	XP_016768428.1
OG0000012	NP_001036717.1	XP_026301256.1, XP_026301257.1, XP_016772201.1, XP_016772200.1
OG0000013	NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_001120132.1
OG0000013	NP_001027313.1, NP_001027383.1, NP_001027318.1, NP_001027378.1, NP_001027373.1, NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_006570899.1
OG0000013	NP_001259374.1	XP_006563135.1, XP_006563134.1, XP_624499.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_006563394.1, NP_001171499.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_393750.5
OG0000018	NP_001247286.1	XP_026299794.1, XP_006563569.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_006572051.3
OG0000020	NP_001097100.1, NP_001188701.2	XP_006569751.2, XP_026301504.1
OG0000020	NP_001137799.1, NP_723441.2	XP_006560785.2
OG0000020	NP_001259218.1	XP_026300927.1
OG0000021	NP_650482.1, NP_732032.1	XP_026299753.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_624700.1
OG0000022	NP_001027336.1, NP_001027346.1, NP_001027356.1, NP_001027361.1, NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1	XP_001120346.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_001120889.1
OG0000026	NP_729591.1, NP_001287018.1	XP_392530.3
OG0000026	NP_001287332.1	XP_006557594.2
OG0000026	NP_001163838.2	XP_026295189.1
OG0000026	NP_001285239.1	XP_003251584.1
OG0000027	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_003251624.1
OG0000027	NP_001027327.1, NP_001262576.1, NP_001027372.1, NP_001027367.1, NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1	XP_006570863.1
OG0000029	NP_647872.1, NP_650813.2	NP_001257747.1, NP_001257746.1
OG0000029	NP_647875.1, NP_647873.2	NP_001257748.1, NP_001257749.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_026298886.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_392319.3
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_394494.5
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	NP_001257751.1
OG0000038	NP_476772.1, NP_524264.1	XP_623220.1, XP_006567025.1
OG0000038	NP_650674.1	XP_394092.3
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_394370.2
OG0000041	NP_523625.1, NP_001014725.1	NP_001172074.1, NP_001172075.1
