Orthogroup	Nasonia_vitripennis	Bombus_terrestris
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_012175230.1
OG0000000	XP_031779811.1, XP_031781320.1, XP_008214147.2	XP_012174517.1, XP_012175537.2, XP_020723248.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_020720552.1, XP_003398646.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_003395878.1, XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_012168947.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000002	NP_001177429.1	XP_020724018.1, XP_003393988.2
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1, XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1
OG0000002	NP_001177431.1	XP_003393917.1, XP_003393994.1, XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1, XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1, XP_003394003.1, XP_003393998.1
OG0000005	XP_001604398.2	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1
OG0000008	XP_001602085.1	XP_012168744.1
OG0000008	XP_001602133.1	XP_012168771.1
OG0000008	XP_001600419.1	XP_003398745.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_003393388.3
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1
OG0000012	XP_032452116.1, XP_032452115.1	XP_003402915.1
OG0000012	XP_016838732.1	XP_020723675.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_003401050.2
OG0000012	XP_001603672.1	XP_003401048.1
OG0000013	XP_001599179.2	XP_003392965.1, XP_003392969.1
OG0000013	XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1	XP_020718381.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_003400771.1, XP_003400772.1
OG0000016	XP_032456536.1	XP_012175540.2, XP_012175517.1, XP_012175813.1
OG0000017	NP_001165915.1, XP_031787492.1, XP_001600187.1	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1
OG0000017	NP_001165914.1	XP_012172050.1
OG0000018	XP_008214580.1	XP_012169775.2
OG0000018	XP_001604347.2	XP_012169298.1
OG0000018	XP_031784239.1	XP_003399081.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_003401753.1
OG0000019	XP_031783671.1	XP_003401949.1
OG0000020	XP_031781856.1	XP_003393559.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_020723566.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_001603725.1	XP_012169135.1
OG0000021	XP_001601834.2	XP_020722863.1, XP_003403430.2
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_003394856.1
OG0000024	XP_001604944.4	XP_003402753.1
OG0000024	XP_001599160.3	XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	XP_008216554.1	XP_003401519.1
OG0000024	NP_001166221.1	XP_003401520.1
OG0000026	XP_008204831.1	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_020719195.1
OG0000026	XP_001599637.2	XP_003402888.1
OG0000026	XP_001599666.2	XP_003402887.1, XP_012174757.1
OG0000027	XP_001599220.1	XP_003392964.1, XP_003392970.1
OG0000027	XP_001599471.2, XP_031787983.1, XP_001607366.1, XP_001607925.1, XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1	XP_012166136.1
OG0000028	XP_031789120.1, XP_031783906.1	XP_012174214.1, XP_012167645.1, XP_020723728.1
OG0000028	XP_031784225.1	XP_020723723.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_003399185.1, XP_012169459.1
OG0000029	NP_001166265.1	XP_003399852.3
OG0000029	NP_001166275.1, NP_001161319.1	XP_020721313.1
OG0000029	NP_001166272.1	XP_020721315.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_016838416.1	XP_020723342.1
OG0000032	XP_001600583.1	XP_003396103.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_012169049.1, XP_012169050.1, XP_012175294.2, XP_020721191.1, XP_020721239.1, XP_012169504.1, XP_020721189.1, XP_020721190.1, XP_012169044.2, XP_020721192.1, XP_012169499.2
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_003394979.1
