Orthogroup	Nasonia_vitripennis	Polistes_dominula
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_015189866.1, XP_015189951.1
OG0000000	XP_031781616.1	XP_015189529.1, XP_015191278.1, XP_015180767.1
OG0000000	XP_031784232.1, XP_031780061.1, XP_031778443.1, XP_031783025.1, XP_031783006.1, XP_031784231.1, XP_031783907.1, XP_031777109.1, XP_031777962.1, XP_031784690.1, XP_031781368.1, XP_031786049.1, XP_031785918.1, XP_031784229.1, XP_031777963.1, XP_008213162.2, XP_032457383.1, XP_031777472.1, XP_031788733.1, XP_031789087.1, XP_008213166.2, XP_031784230.1, XP_008213161.2, XP_031777957.1, XP_008213165.2	XP_015186015.1, XP_015189812.1, XP_015189416.1
OG0000000	XP_031779811.1, XP_031781320.1, XP_008214147.2	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_015180415.1, XP_015180416.1, XP_015180260.1, XP_015190970.1, XP_015183493.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_015174482.1
OG0000001	XP_001603508.1	XP_015174918.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_015173619.1
OG0000002	NP_001177429.1	XP_015179442.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_015179331.1, XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	NP_001177431.1	XP_015179323.1, XP_015179394.1, XP_015179320.1, XP_015179321.1, XP_015179328.1, XP_015179325.1, XP_015179324.1, XP_015179392.1, XP_015179322.1
OG0000003	XP_031789191.1	XP_015189778.1
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_015180690.1
OG0000008	XP_001602085.1	XP_015180320.1
OG0000008	XP_031788628.1	XP_015182812.1
OG0000008	XP_001602133.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_001600419.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_015177367.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000010	XP_031777480.1, XP_031788732.1, XP_031781364.1, XP_031777465.1, XP_031788839.1, XP_031781789.1, XP_031789236.1, XP_031786424.1, XP_031777471.1, XP_008213909.1, XP_008208132.1, XP_031788414.1	XP_015187532.1, XP_015189777.1
OG0000012	XP_032452116.1, XP_032452115.1	XP_015181488.1
OG0000012	XP_016838732.1	XP_015181463.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_015184231.1
OG0000012	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1	XP_015181630.1
OG0000012	XP_001603672.1	XP_015184244.1
OG0000013	XP_001599179.2	XP_015172623.1
OG0000013	XP_001607608.3, XP_031777922.1, XP_031777921.1	XP_015174269.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_015172185.1
OG0000015	XP_031778316.1	XP_015171967.1
OG0000015	XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1	XP_015175981.1, XP_015189929.1, XP_015189382.1, XP_015189381.1
OG0000015	XP_016843648.1	XP_015189315.1, XP_015185694.1, XP_015189530.1, XP_015189839.1, XP_015189716.1, XP_015189914.1, XP_015189880.1, XP_015189840.1, XP_015189385.1
OG0000016	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1	XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1
OG0000017	NP_001165915.1, XP_031787492.1, XP_001600187.1	XP_015180943.1, XP_015180944.1
OG0000017	NP_001165913.1	XP_015183882.1
OG0000017	NP_001165914.1	XP_015180945.1
OG0000018	XP_008214580.1	XP_015184408.1
OG0000018	XP_001604347.2	XP_015186827.1
OG0000018	XP_031784239.1	XP_015186828.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_015175602.1
OG0000019	XP_032454031.1	XP_015189804.1, XP_015189805.1
OG0000019	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2	XP_015172147.1
OG0000019	XP_031783671.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_031778749.1, XP_031781856.1	XP_015171445.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_015181633.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_015184436.1
OG0000021	XP_001603725.1	XP_015190080.1
OG0000021	XP_001601834.2	XP_015188837.1, XP_015184407.1
OG0000022	XP_032456078.1	XP_015174052.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_015173497.1
OG0000024	XP_001604944.4	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_001599160.3	XP_015182123.1
OG0000024	XP_008216554.1	XP_015181825.1
OG0000024	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1	XP_015181175.1, XP_015181294.1, XP_015189755.1
OG0000024	NP_001166221.1	XP_015181824.1
OG0000026	XP_032452024.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_008204831.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	XP_001599637.2	XP_015191534.1
OG0000026	XP_001599666.2	XP_015187302.1
OG0000027	XP_031787551.1, XP_031787550.1, XP_001607199.1, XP_016836796.1, XP_001607554.1, XP_016844944.1, XP_001599220.1, XP_003424595.1, XP_031787587.1	XP_015172634.1
OG0000027	XP_001607925.1	XP_015190876.1
OG0000027	XP_001600560.1, XP_031785593.1, XP_031785592.1	XP_015177662.1
OG0000028	XP_031789120.1, XP_031783906.1	XP_015180764.1, XP_015189418.1, XP_015189902.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_015172519.1, XP_015172507.1
OG0000029	NP_001166265.1	XP_015185507.1
OG0000029	NP_001166272.1	XP_015172137.1
OG0000030	XP_031776890.1	XP_015186638.1
OG0000032	XP_016838416.1	XP_015190440.1
OG0000032	XP_001605911.2	XP_015184211.1
OG0000032	XP_031787250.1	XP_015191817.1
OG0000032	NP_001164368.1	XP_015190537.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_015182537.1, XP_015182533.1
OG0000034	NP_001177575.1, XP_031786113.1, NP_001177706.1, NP_001177573.1, XP_031778376.1, NP_001177576.1, XP_031779750.1, NP_001177574.1	XP_015189438.1
