Orthogroup	Nasonia_vitripennis	Habropoda_laboriosa
OG0000000	XP_031779811.1, XP_031781320.1, XP_008214147.2	XP_017796726.1, XP_017795923.1, XP_017797032.1, XP_017797538.1, XP_017796207.1, XP_017797015.1, XP_017796820.1, XP_017796984.1, XP_017795695.1, XP_017792100.1, XP_017797536.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_017795702.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_017793598.1, XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_017791778.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_017791425.1
OG0000002	NP_001177429.1	XP_017795926.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_017795970.1, XP_017795940.1
OG0000002	NP_001177431.1	XP_017795948.1, XP_017795929.1, XP_017795932.1, XP_017795931.1, XP_017795930.1, XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1, XP_017795933.1
OG0000003	XP_031777336.1	XP_017795781.1
OG0000003	XP_016844563.1	XP_017797025.1
OG0000003	XP_031783110.1, XP_016844597.1, XP_031779781.1, XP_031783173.1, XP_016844361.3, XP_008204128.1, XP_031789079.1	XP_017795844.1
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_017788745.1
OG0000008	XP_001602085.1	XP_017797987.1
OG0000008	XP_031788628.1	XP_017793615.1
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_017797940.1
OG0000008	XP_001602133.1	XP_017797975.1
OG0000008	XP_001600419.1	XP_017797962.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_017798022.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000012	XP_016838732.1	XP_017797597.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_017796583.1
OG0000012	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1	XP_017796672.1
OG0000013	XP_001599179.2	XP_017799299.1
OG0000013	XP_001607608.3, XP_031777922.1, XP_031777921.1	XP_017795688.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_017797795.1
OG0000017	NP_001165914.1	XP_017795361.1
OG0000018	XP_008214580.1	XP_017793008.1
OG0000018	XP_001604347.2	XP_017793490.1
OG0000018	XP_031784239.1	XP_017793336.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_017796703.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_017790272.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_017787413.1
OG0000019	XP_031783671.1	XP_017788514.1
OG0000020	XP_031781856.1	XP_017794423.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_017794610.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_017798657.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_017790331.1
OG0000021	XP_001603725.1	XP_017790276.1
OG0000021	XP_001601834.2	XP_017787416.1, XP_017790325.1
OG0000022	XP_032456078.1	XP_017795686.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_017798138.1
OG0000023	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1	XP_017799305.1
OG0000024	XP_001604944.4	XP_017798115.1
OG0000024	XP_001599160.3	XP_017788217.1
OG0000026	XP_032452024.1	XP_017799538.1
OG0000026	XP_008204831.1	XP_017790381.1
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_017792231.1
OG0000026	XP_001599637.2	XP_017795812.1
OG0000026	XP_001599666.2	XP_017789050.1
OG0000027	XP_031787551.1, XP_031787550.1, XP_001607199.1, XP_016836796.1, XP_001607554.1, XP_016844944.1, XP_001599220.1, XP_003424595.1, XP_031787587.1	XP_017799307.1
OG0000027	XP_001599471.2	XP_017795687.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_017792656.1, XP_017792675.1
OG0000029	NP_001166265.1	XP_017798436.1
OG0000029	NP_001166275.1, NP_001161319.1	XP_017792700.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_017791372.1
OG0000032	XP_016838416.1	XP_017791965.1
OG0000032	XP_001600583.1	XP_017797625.1
OG0000032	NP_001164368.1	XP_017793574.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_017790226.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_017795546.1, XP_017795548.1, XP_017795547.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_017797282.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_017798855.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_017789191.1, XP_017795058.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_017796596.1
OG0000039	XP_031778424.1	XP_017793816.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_017793196.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_017797297.1, XP_017797034.1
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_017789776.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_017795667.1, XP_017795668.1
OG0000041	XP_001600960.1	XP_017796748.1
OG0000041	XP_001601342.1	XP_017796749.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_017798373.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_017797246.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_017797230.1
OG0000043	XP_008208463.1	XP_017797621.1
OG0000044	XP_031787739.1	XP_017792515.1
OG0000044	XP_031788192.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_017797443.1
OG0000045	XP_001604662.2	XP_017797444.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_017793667.1
OG0000046	XP_001604460.2	XP_017789468.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_017790988.1
OG0000046	XP_001608044.1	XP_017792943.1
OG0000048	XP_003426470.1	XP_017799483.1
OG0000048	XP_016841096.1	XP_017799581.1
OG0000048	XP_016841091.1, XP_016841092.1, XP_031787184.1	XP_017787394.1
OG0000048	XP_003426658.1	XP_017799482.1
OG0000050	XP_008216259.1, XP_001608200.1	XP_017787690.1
OG0000052	XP_001607313.2	XP_017790871.1
OG0000052	XP_031779680.1, XP_016838631.1	XP_017790994.1
OG0000052	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1	XP_017798778.1
OG0000052	XP_001602874.2	XP_017793145.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_017797421.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_017797389.1, XP_017797390.1
OG0000055	XP_001602853.1	XP_017799533.1
OG0000055	XP_008215920.1	XP_017789854.1
OG0000055	XP_032454549.1	XP_017787951.1, XP_017787952.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_017791354.1
OG0000056	XP_031780252.1	XP_017795795.1
OG0000056	XP_001604931.2	XP_017792816.1
OG0000056	XP_008202999.3	XP_017792926.1
OG0000056	XP_008204847.1	XP_017789030.1
OG0000056	XP_031784842.1	XP_017792979.1
OG0000057	XP_031785452.1	XP_017798095.1
OG0000057	XP_001602360.1	XP_017798766.1
OG0000057	XP_003427519.1	XP_017798097.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_017798098.1
OG0000058	NP_001177491.1	XP_017799435.1, XP_017795874.1, XP_017799434.1, XP_017787376.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_017787543.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_017792478.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_017799273.1
OG0000062	XP_003425371.1	XP_017794533.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_017794504.1
OG0000062	XP_003425370.1	XP_017794445.1
OG0000062	XP_008202211.1	XP_017794580.1, XP_017794526.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_017793945.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_017793851.1
OG0000067	XP_001605420.2	XP_017790603.1
OG0000067	XP_031788440.1	XP_017795551.1
OG0000067	XP_031782248.1	XP_017794648.1
OG0000067	XP_008209138.1	XP_017787992.1
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1
OG0000069	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1	XP_017795599.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_017795126.1
OG0000071	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1	XP_017795871.1
OG0000072	XP_008213440.1	XP_017793474.1
OG0000072	XP_031789247.1	XP_017795069.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_017793055.1, XP_017793138.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_017797397.1
OG0000077	XP_003423914.1	XP_017797118.1, XP_017795753.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_017789897.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_017792652.1
OG0000079	XP_031783468.1	XP_017787942.1, XP_017787943.1, XP_017787958.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_017798424.1
OG0000080	XP_001600048.1	XP_017798328.1
OG0000080	XP_016838620.1	XP_017798422.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_017796643.1
OG0000082	XP_016845753.1	XP_017797726.1
OG0000083	XP_031783888.1, XP_031782195.1, XP_031779861.1, XP_008214443.1, XP_008212032.1, XP_031779746.1, XP_008202330.2, XP_016843264.1, XP_031781094.1, XP_031788958.1, XP_031781100.1, XP_031788378.1, XP_031783911.1	XP_017796812.1
OG0000084	XP_001600141.2	XP_017792625.1
OG0000084	NP_001161311.1	XP_017792708.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_017791300.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_017790689.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_017787894.1
OG0000086	XP_008218019.2	XP_017791806.1
OG0000087	NP_001153410.1	XP_017792906.1
OG0000087	NP_001153411.1	XP_017792917.1
OG0000087	XP_001603938.2	XP_017792908.1
OG0000087	XP_003425364.1, XP_001604204.2	XP_017792909.1
OG0000089	XP_016843743.1	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_017798058.1
OG0000090	XP_031781279.1, XP_031785958.1	XP_017795987.1, XP_017793833.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_017792668.1, XP_017792670.1
OG0000092	NP_001153343.1	XP_017789058.1, XP_017789059.1
OG0000092	XP_001599003.1	XP_017788769.1
OG0000093	XP_031781097.1	XP_017796954.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_017798959.1
OG0000094	XP_001605100.1	XP_017791335.1
OG0000094	XP_001600571.1	XP_017798352.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_017790301.1
OG0000096	XP_008209422.1	XP_017798525.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_017796013.1
OG0000097	XP_001600781.1	XP_017791424.1, XP_017791423.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_017793649.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_008207065.2	XP_017796840.1
OG0000099	XP_031785392.1	XP_017791883.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_017794869.1
OG0000101	XP_016842653.2	XP_017793334.1
OG0000102	XP_031786135.1	XP_017787422.1
OG0000102	XP_031786805.1	XP_017787495.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_017793918.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_017794550.1, XP_017797471.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_017797595.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_008201867.1	XP_017794692.1, XP_017797747.1
OG0000111	XP_008217621.1, XP_008217622.1, XP_016837442.1	XP_017797783.1
OG0000111	XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_017787491.1
OG0000111	XP_001605587.3	XP_017793968.1
OG0000112	XP_003425489.1	XP_017793364.1
OG0000112	XP_031780635.1	XP_017790673.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_017798381.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_017798181.1
OG0000114	XP_031785569.1, NP_001155077.1	XP_017792172.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_017792121.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_017797018.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_017795994.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_017799593.1, XP_017799604.1
OG0000117	XP_003424885.1	XP_017791704.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_017797358.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_017787392.1
OG0000122	XP_001604760.1	XP_017798532.1
OG0000122	XP_031780275.1	XP_017793619.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_017793618.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_031781470.1	XP_017789119.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_017792776.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_017799036.1, XP_017799037.1
OG0000127	XP_001606042.2	XP_017799080.1
