Orthogroup	Nasonia_vitripennis	Nomia_melanderi
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_031836982.1, XP_031836767.1
OG0000000	XP_031779811.1, XP_031781320.1, XP_008214147.2	XP_031847716.1, XP_031848466.1, XP_031842135.1, XP_031848883.1, XP_031829449.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_031834821.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_031828824.1
OG0000001	XP_001603508.1, NP_001165940.1, XP_001599460.2	XP_031840935.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_031848708.1, XP_031848953.1, XP_031848952.1
OG0000002	NP_001177429.1	XP_031834615.1, XP_031834770.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1
OG0000002	NP_001177431.1	XP_031834878.1, XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1, XP_031834876.1, XP_031834875.1, XP_031834877.1, XP_031834874.1
OG0000003	XP_031780280.1	XP_031830190.1
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_031827716.1
OG0000008	XP_001602085.1	XP_031838197.1
OG0000008	XP_008205990.2	XP_031838199.1, XP_031838198.1
OG0000008	XP_031788628.1	XP_031845812.1
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_031838187.1
OG0000008	XP_001602133.1	XP_031838213.1
OG0000008	XP_001600419.1	XP_031838205.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_031838211.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_031837183.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_031839007.1, XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1
OG0000012	XP_032452116.1, XP_032452115.1	XP_031836558.1
OG0000012	XP_016838732.1	XP_031836778.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_031842887.1
OG0000012	XP_001603672.1	XP_031842731.1
OG0000013	XP_001599179.2	XP_031839304.1
OG0000013	XP_001608166.1, XP_001608174.1, XP_031778016.1	XP_031829654.1
OG0000014	XP_031787726.1	XP_031848839.1, XP_031848838.1, XP_031848831.1
OG0000017	NP_001165915.1, XP_031787492.1, XP_001600187.1	XP_031829474.1
OG0000017	NP_001165914.1	XP_031829454.1
OG0000018	XP_001604347.2	XP_031835584.1
OG0000018	XP_031784239.1	XP_031835583.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_031847312.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_031838473.1, XP_031838474.1, XP_031838475.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_031830114.1
OG0000019	XP_031783671.1	XP_031838060.1
OG0000020	XP_031781856.1	XP_031828635.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_031837242.1, XP_031837243.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_031837236.1
OG0000021	XP_001603725.1	XP_031838575.1
OG0000021	XP_001601834.2	XP_031830175.1
OG0000021	XP_008201868.1	XP_031846403.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_031833191.1
OG0000023	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1	XP_031839363.1
OG0000024	XP_001604944.4	XP_031849116.1, XP_031849133.1, XP_031849117.1
OG0000024	XP_008216554.1	XP_031825693.1, XP_031825694.1
OG0000024	NP_001166221.1	XP_031825741.1
OG0000026	XP_032452024.1	XP_031843508.1
OG0000026	XP_008204831.1	XP_031834026.1
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_031828159.1
