HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N9.HOG0000000	OG0000000	n49																		XP_015189866.1, XP_015189951.1			
N9.HOG0000001	OG0000000	n124																		XP_015189529.1, XP_015191278.1, XP_015180767.1			
N9.HOG0000002	OG0000000	n140																		XP_015189737.1			
N9.HOG0000003	OG0000000	n170																		XP_015189697.1, XP_015189651.1, XP_015189739.1			
N9.HOG0000004	OG0000000	n190																		XP_015189415.1, XP_015189501.1, XP_015189791.1			
N9.HOG0000005	OG0000000	n243																		XP_015186015.1, XP_015189812.1, XP_015189416.1			
N9.HOG0000006	OG0000000	n301																		XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1			
N9.HOG0000007	OG0000000	n353																		XP_015189872.1, XP_015189734.1, XP_015190534.1, XP_015189881.1			
N9.HOG0000008	OG0000000	n488																		XP_015191151.1			
N9.HOG0000009	OG0000001	n73																		XP_015182412.1, XP_015182413.1, XP_015181295.1			XP_035720574.1
N9.HOG0000010	OG0000001	n177																		XP_015180415.1, XP_015180416.1			XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1
N9.HOG0000011	OG0000001	n182																		XP_015180260.1			XP_035732420.1
N9.HOG0000012	OG0000001	n184																		XP_015190970.1			XP_035726105.1
N9.HOG0000013	OG0000001	n208																		XP_015183493.1			XP_035737410.1, XP_035737418.1, XP_035737424.1
N9.HOG0000014	OG0000001	n395																		XP_015174482.1			XP_035734021.1, XP_035734020.1, XP_035734019.1
N9.HOG0000015	OG0000001	n455																		XP_015174918.1			XP_035738421.1
N9.HOG0000016	OG0000001	n462																		XP_015173619.1			XP_035741324.1
N9.HOG0000017	OG0000002	n53																		XP_015179319.1			XP_035737286.1, XP_035737171.1, XP_035737322.1
N9.HOG0000018	OG0000002	n56																		XP_015179317.1			XP_035737321.1
N9.HOG0000019	OG0000002	n57																		XP_015179443.1, XP_015179316.1			XP_035737299.1, XP_035737317.1, XP_035737318.1
N9.HOG0000020	OG0000002	n73																		XP_015179442.1			XP_035737326.1
N9.HOG0000021	OG0000002	n100																		XP_015179331.1			XP_035737177.1
N9.HOG0000022	OG0000002	n188																		XP_015179329.1			XP_035737160.1
N9.HOG0000023	OG0000002	n189																		XP_015179330.1, XP_015179496.1			XP_035737224.1
N9.HOG0000024	OG0000002	n193																		XP_015179323.1			XP_035737208.1
N9.HOG0000025	OG0000002	n207																		XP_015179394.1			XP_035737170.1
N9.HOG0000026	OG0000002	n218																		XP_015179320.1			XP_035737172.1, XP_035737325.1
N9.HOG0000027	OG0000002	n220																		XP_015179321.1			XP_035737203.1
N9.HOG0000028	OG0000002	n279																		XP_015179325.1			XP_035737175.1
N9.HOG0000029	OG0000002	n281																		XP_015179324.1			XP_035737209.1
N9.HOG0000030	OG0000002	n282																		XP_015179392.1			XP_035737176.1
N9.HOG0000031	OG0000002	n284																		XP_015179322.1			XP_035737173.1
N9.HOG0000032	OG0000002	n399																		XP_015179497.1			
N9.HOG0000033	OG0000003	n39																		XP_015189778.1			
N9.HOG0000034	OG0000003	n218																					XP_035731237.1
