HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N19.HOG0000000	OG0000000	n83					XP_012175230.1																
N19.HOG0000001	OG0000000	n170					XP_012174870.1, XP_012171987.1, XP_012175227.1																
N19.HOG0000002	OG0000000	n203					XP_012174903.1																
N19.HOG0000003	OG0000000	n223					XP_012174418.1																
N19.HOG0000004	OG0000000	n227					XP_020723247.1, XP_012167635.1, XP_012174527.1, XP_012174218.1, XP_012174900.1, XP_012174539.1																
N19.HOG0000005	OG0000000	n320					XP_012175537.2																
N19.HOG0000006	OG0000000	n331					XP_020723248.1																
N19.HOG0000007	OG0000001	n73				XP_624795.3, XP_026302253.1, XP_016772837.1	XP_020720552.1, XP_003398646.1																
N19.HOG0000008	OG0000001	n186				XP_623362.3	XP_003395878.1																
N19.HOG0000009	OG0000001	n213				XP_026300534.1, NP_001352129.1																	
N19.HOG0000010	OG0000001	n218				NP_001352128.1	XP_003400131.1, XP_012170860.1																
N19.HOG0000011	OG0000001	n235				XP_026300533.1, XP_026300532.1																	
N19.HOG0000012	OG0000001	n263				XP_026300343.1, NP_001035324.1																	
N19.HOG0000013	OG0000001	n283				XP_006565062.2, XP_397347.4	XP_003400126.1																
N19.HOG0000014	OG0000001	n302					XP_003400119.1																
N19.HOG0000015	OG0000001	n323				XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1	XP_020721795.1, XP_012170857.1																
N19.HOG0000016	OG0000001	n334					XP_020721796.1, XP_012170859.1																
N19.HOG0000017	OG0000001	n347				XP_016771320.1	XP_012170861.1																
N19.HOG0000018	OG0000001	n361				XP_026300535.1, XP_395671.3	XP_012170855.1																
N19.HOG0000019	OG0000001	n395				XP_026296210.1	XP_012168947.1																
N19.HOG0000020	OG0000001	n447				XP_006564499.3																	
N19.HOG0000021	OG0000001	n472				NP_001191991.1, XP_016770827.2	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3																
N19.HOG0000022	OG0000002	n16				NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1																	
N19.HOG0000023	OG0000002	n21				XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1																	
N19.HOG0000024	OG0000002	n25				NP_001229893.1, XP_026302134.1	XP_003393901.1																
N19.HOG0000025	OG0000002	n28				NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1	XP_020722318.1, XP_020722314.1																
N19.HOG0000026	OG0000002	n34				XP_003250767.2, XP_026294956.1	XP_020723992.1, XP_020723938.1																
N19.HOG0000027	OG0000002	n73				XP_003250769.3, XP_026294905.1, XP_026294912.1	XP_020724018.1, XP_003393988.2																
N19.HOG0000028	OG0000002	n117				XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1																
N19.HOG0000029	OG0000002	n127				XP_006572517.1, NP_001229911.1	XP_012175717.1																
N19.HOG0000030	OG0000002	n131				XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2	XP_012175609.1																
N19.HOG0000031	OG0000002	n144				NP_001229907.1, NP_001229906.1	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1																
N19.HOG0000032	OG0000002	n175				NP_001229905.1, XP_026302143.1	XP_012175711.1																
N19.HOG0000033	OG0000002	n193				NP_001229900.1	XP_003393917.1																
N19.HOG0000034	OG0000002	n207				NP_001229895.1, XP_003250726.1	XP_003393994.1																
N19.HOG0000035	OG0000002	n234					XP_020722331.1																
N19.HOG0000036	OG0000002	n242				XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1	XP_020722344.1																
N19.HOG0000037	OG0000002	n261				XP_006565947.2																	
N19.HOG0000038	OG0000002	n265				NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1	XP_003393905.1, XP_020723934.1																
N19.HOG0000039	OG0000002	n293					XP_012175700.1, XP_012175702.1																
N19.HOG0000040	OG0000002	n299				NP_001229898.1	XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1																
N19.HOG0000041	OG0000002	n312					XP_003393913.1																
N19.HOG0000042	OG0000002	n348					XP_012175710.2																
N19.HOG0000043	OG0000002	n351				XP_026294907.1, XP_026294903.1																	
N19.HOG0000044	OG0000002	n353				XP_016773531.1, XP_016773532.1, XP_001121864.2	XP_012175708.2																
N19.HOG0000045	OG0000002	n359				NP_001229904.1, XP_026302131.1	XP_003394005.1, XP_003393918.1																
N19.HOG0000046	OG0000002	n363				XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2																	
N19.HOG0000047	OG0000002	n385				NP_001229897.1	XP_003394003.1, XP_003393998.1																
