HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N17.HOG0000000	OG0000000	n3																XP_029054064.1, XP_029054855.1	XP_034174770.1				
N17.HOG0000001	OG0000000	n16																XP_029054805.1, XP_029054649.1					
N17.HOG0000002	OG0000000	n26																	XP_034195039.1, XP_034174768.1				
N17.HOG0000003	OG0000000	n32																	XP_034194643.1				
N17.HOG0000004	OG0000000	n36																XP_029054992.1					
N17.HOG0000005	OG0000000	n63																XP_029053837.1					
N17.HOG0000006	OG0000000	n66																XP_029053874.1					
N17.HOG0000007	OG0000000	n81																XP_029054235.1					
N17.HOG0000008	OG0000000	n83																XP_029054585.1, XP_029054548.1	XP_034179313.1				
N17.HOG0000009	OG0000000	n102																XP_029055099.1					
N17.HOG0000010	OG0000000	n117																XP_029054802.1					
N17.HOG0000011	OG0000000	n118																XP_029054961.1					
N17.HOG0000012	OG0000000	n129																XP_029054552.1	XP_034192368.1				
N17.HOG0000013	OG0000000	n135																	XP_034194837.1, XP_034195324.1				
N17.HOG0000014	OG0000000	n157																XP_029055095.1					
N17.HOG0000015	OG0000000	n163																XP_029054261.1, XP_029054346.1					
N17.HOG0000016	OG0000000	n170																XP_029053969.1	XP_034195203.1				
N17.HOG0000017	OG0000000	n191																XP_029054942.1, XP_029054772.1					
N17.HOG0000018	OG0000000	n216																XP_029054672.1	XP_034194995.1, XP_034195295.1				
N17.HOG0000019	OG0000000	n223																XP_029053863.1					
N17.HOG0000020	OG0000000	n243																XP_029054398.1					
N17.HOG0000021	OG0000000	n311																XP_029054870.1					
N17.HOG0000022	OG0000000	n313																XP_029054786.1, XP_029054770.1	XP_034194536.1				
N17.HOG0000023	OG0000000	n325																XP_029054913.1					
N17.HOG0000024	OG0000000	n326																XP_029053897.1					
N17.HOG0000025	OG0000000	n346																XP_029054778.1, XP_029054823.1					
N17.HOG0000026	OG0000000	n377																XP_029054415.1	XP_034195330.1, XP_034195249.1, XP_034195331.1, XP_034194829.1				
N17.HOG0000027	OG0000000	n384																XP_029055002.1					
N17.HOG0000028	OG0000000	n479																	XP_034179509.1, XP_034192189.1				
N17.HOG0000029	OG0000000	n488																XP_029054627.1, XP_029054117.1, XP_029053951.1	XP_034194808.1				
N17.HOG0000030	OG0000000	n495																XP_029054286.1	XP_034194882.1, XP_034182478.1				
N17.HOG0000031	OG0000000	n499																XP_029054703.1	XP_034194838.1, XP_034190401.1, XP_034194793.1, XP_034195178.1, XP_034195131.1				
N17.HOG0000032	OG0000000	n610																XP_029054177.1	XP_034195313.1				
N17.HOG0000033	OG0000000	n611																XP_029054739.1	XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1				
N17.HOG0000034	OG0000000	n618																	XP_034194954.1, XP_034195055.1, XP_034195057.1, XP_034194871.1				
N17.HOG0000035	OG0000000	n627																XP_029054402.1	XP_034182490.1				
N17.HOG0000036	OG0000000	n629																XP_029054850.1	XP_034194953.1				
N17.HOG0000037	OG0000000	n630																XP_029054450.1	XP_034194794.1				
N17.HOG0000038	OG0000000	n631																XP_029054401.1	XP_034195156.1				
N17.HOG0000039	OG0000001	n73																XP_029044867.1	XP_034175979.1				
N17.HOG0000040	OG0000001	n196																XP_029047550.1	XP_034183758.1				
N17.HOG0000041	OG0000001	n197																XP_029047546.1, XP_029047548.1, XP_029047547.1	XP_034183757.1				
N17.HOG0000042	OG0000001	n200																XP_029055795.1	XP_034177877.1				
N17.HOG0000043	OG0000001	n224																XP_029053627.1, XP_029053628.1	XP_034194603.1, XP_034194619.1				
N17.HOG0000044	OG0000001	n228																XP_029054076.1	XP_034194593.1				
N17.HOG0000045	OG0000001	n232																XP_029054175.1	XP_034194594.1				
N17.HOG0000046	OG0000001	n266																XP_029053437.1	XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1				
N17.HOG0000047	OG0000001	n272																XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1					
N17.HOG0000048	OG0000001	n276																XP_029053439.1, XP_029053440.1, XP_029054094.1	XP_034178244.1				
N17.HOG0000049	OG0000001	n279																XP_029053433.1	XP_034178676.1				
N17.HOG0000050	OG0000001	n283																XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1	XP_034194581.1, XP_034194582.1, XP_034194583.1				
N17.HOG0000051	OG0000001	n302																XP_029053697.1	XP_034178690.1				
N17.HOG0000052	OG0000001	n318																XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1	XP_034178111.1				
N17.HOG0000053	OG0000001	n347																XP_029053876.1	XP_034194601.1				
N17.HOG0000054	OG0000001	n372																XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1	XP_034178688.1, XP_034178687.1, XP_034178689.1				
N17.HOG0000055	OG0000001	n379																XP_029053704.1	XP_034178696.1				
N17.HOG0000056	OG0000001	n395																XP_029036021.1	XP_034187550.1				
N17.HOG0000057	OG0000001	n447																	XP_034182179.1				
N17.HOG0000058	OG0000001	n472																XP_029033204.1, XP_029033205.1	XP_034190826.1, XP_034190827.1				
N17.HOG0000059	OG0000002	n8																	XP_034171936.1				
N17.HOG0000060	OG0000002	n73																XP_029034426.1	XP_034171929.1				
N17.HOG0000061	OG0000002	n100																XP_029048273.1	XP_034171933.1				
N17.HOG0000062	OG0000002	n144																XP_029048274.1	XP_034171931.1				
N17.HOG0000063	OG0000002	n175																XP_029048309.1	XP_034170982.1				
N17.HOG0000064	OG0000002	n233																XP_029034429.1	XP_034171014.1				
N17.HOG0000065	OG0000002	n242																XP_029034428.1	XP_034171015.1				
N17.HOG0000066	OG0000002	n261																XP_029034389.1	XP_034171927.1				
N17.HOG0000067	OG0000002	n265																XP_029054354.1, XP_029048279.1					
N17.HOG0000068	OG0000002	n319																XP_029048307.1	XP_034170983.1				
N17.HOG0000069	OG0000002	n322																XP_029048304.1	XP_034170985.1				
N17.HOG0000070	OG0000002	n325																XP_029048306.1	XP_034170984.1				
N17.HOG0000071	OG0000002	n331																XP_029054355.1	XP_034171930.1				
N17.HOG0000072	OG0000002	n332																XP_029054352.1	XP_034171932.1				
N17.HOG0000073	OG0000002	n333																XP_029054358.1	XP_034171011.1				
N17.HOG0000074	OG0000002	n337																XP_029048308.1	XP_034171928.1				
N17.HOG0000075	OG0000002	n385																XP_029054353.1	XP_034171012.1				
N17.HOG0000076	OG0000002	n399																XP_029054356.1, XP_029048299.1					
N17.HOG0000077	OG0000003	n8																XP_029054701.1					
N17.HOG0000078	OG0000003	n13																XP_029054797.1					
N17.HOG0000079	OG0000003	n39																XP_029054798.1	XP_034194163.1				
N17.HOG0000080	OG0000003	n56																XP_029054894.1					
N17.HOG0000081	OG0000003	n82																XP_029053950.1, XP_029054738.1					
N17.HOG0000082	OG0000003	n85																XP_029054525.1	XP_034195049.1				
N17.HOG0000083	OG0000003	n94																XP_029053944.1					
N17.HOG0000084	OG0000003	n131																XP_029053297.1					
N17.HOG0000085	OG0000003	n134																XP_029053920.1, XP_029055270.1	XP_034195035.1				
N17.HOG0000086	OG0000003	n172																XP_029055276.1, XP_029055313.1	XP_034195209.1, XP_034195334.1				
N17.HOG0000087	OG0000003	n183																XP_029054611.1					
N17.HOG0000088	OG0000003	n191																XP_029055262.1					
N17.HOG0000089	OG0000003	n203																XP_029054746.1	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1				
N17.HOG0000090	OG0000003	n235																XP_029054707.1	XP_034192371.1, XP_034192425.1, XP_034192437.1, XP_034195197.1, XP_034195316.1, XP_034195201.1, XP_034174769.1, XP_034195346.1				
N17.HOG0000091	OG0000003	n243																XP_029054973.1	XP_034195041.1				
N17.HOG0000092	OG0000003	n248																XP_029055100.1, XP_029053801.1	XP_034194962.1				
N17.HOG0000093	OG0000003	n268																XP_029054258.1					
N17.HOG0000094	OG0000003	n279																XP_029054750.1, XP_029054771.1					
N17.HOG0000095	OG0000003	n287																	XP_034183870.1, XP_034174050.1				
N17.HOG0000096	OG0000003	n307																XP_029055044.1					
N17.HOG0000097	OG0000004	n27																	XP_034184622.1				
N17.HOG0000098	OG0000004	n68																XP_029043188.1					
N17.HOG0000099	OG0000004	n87																XP_029055059.1					
N17.HOG0000100	OG0000004	n93																XP_029055222.1, XP_029055135.1					
N17.HOG0000101	OG0000004	n118																XP_029054728.1					
N17.HOG0000102	OG0000004	n127																XP_029054531.1					
N17.HOG0000103	OG0000004	n159																XP_029054008.1	XP_034175783.1				
N17.HOG0000104	OG0000004	n168																XP_029046929.1	XP_034178409.1				
N17.HOG0000105	OG0000004	n190																XP_029054294.1	XP_034194807.1				
N17.HOG0000106	OG0000004	n202																XP_029054867.1					
N17.HOG0000107	OG0000004	n230																XP_029055008.1	XP_034195176.1				
N17.HOG0000108	OG0000004	n242																XP_029055315.1	XP_034195009.1				
N17.HOG0000109	OG0000004	n249																XP_029054950.1	XP_034194636.1				
N17.HOG0000110	OG0000004	n272																XP_029055010.1					
N17.HOG0000111	OG0000004	n275																XP_029055230.1					
N17.HOG0000112	OG0000004	n288																XP_029054487.1, XP_029054704.1	XP_034195065.1				
N17.HOG0000113	OG0000005	n46																XP_029040939.1					
N17.HOG0000114	OG0000005	n89																XP_029054911.1					
N17.HOG0000115	OG0000005	n107																XP_029040190.1	XP_034196431.1				
N17.HOG0000116	OG0000005	n109																XP_029048965.1	XP_034175159.1, XP_034175160.1				
N17.HOG0000117	OG0000005	n116																XP_029054068.1					
N17.HOG0000118	OG0000005	n121																XP_029054719.1					
N17.HOG0000119	OG0000005	n126																XP_029055018.1					
N17.HOG0000120	OG0000005	n138																	XP_034192460.1				
N17.HOG0000121	OG0000005	n144																	XP_034194826.1				
N17.HOG0000122	OG0000005	n146																XP_029055181.1					
N17.HOG0000123	OG0000005	n194																XP_029038971.1	XP_034186984.1				
N17.HOG0000124	OG0000005	n205																	XP_034192193.1, XP_034194539.1				
N17.HOG0000125	OG0000005	n207																	XP_034194200.1, XP_034195320.1				
N17.HOG0000126	OG0000005	n220																XP_029054264.1	XP_034195050.1, XP_034194985.1				
N17.HOG0000127	OG0000005	n239																XP_029054697.1	XP_034195200.1				
N17.HOG0000128	OG0000005	n241																XP_029053461.1	XP_034194884.1, XP_034195199.1				
N17.HOG0000129	OG0000005	n243																XP_029054741.1	XP_034194801.1, XP_034177368.1				
N17.HOG0000130	OG0000005	n245																XP_029052591.1, XP_029053451.1	XP_034183909.1				
N17.HOG0000131	OG0000005	n254																XP_029054831.1, XP_029055253.1, XP_029053867.1, XP_029055265.1					
N17.HOG0000132	OG0000005	n258																XP_029052800.1	XP_034192544.1				
N17.HOG0000133	OG0000005	n259																XP_029054775.1	XP_034194984.1				
N17.HOG0000134	OG0000005	n262																XP_029054745.1, XP_029055162.1, XP_029055178.1, XP_029054077.1	XP_034195194.1				
N17.HOG0000135	OG0000005	n266																XP_029054700.1	XP_034195189.1				
N17.HOG0000136	OG0000005	n272																XP_029054036.1, XP_029054427.1, XP_029054618.1, XP_029055048.1					
N17.HOG0000137	OG0000005	n276																XP_029055241.1, XP_029055047.1	XP_034194633.1				
N17.HOG0000138	OG0000005	n283																XP_029036971.1	XP_034189857.1				
N17.HOG0000139	OG0000005	n284																XP_029055156.1, XP_029053759.1, XP_029054660.1	XP_034194584.1				
N17.HOG0000140	OG0000005	n287																XP_029054922.1, XP_029055229.1	XP_034194881.1				
N17.HOG0000141	OG0000006	n9																XP_029036176.1	XP_034178505.1, XP_034178504.1				
N17.HOG0000142	OG0000006	n14																XP_029036174.1	XP_034178575.1				
N17.HOG0000143	OG0000006	n15																XP_029036173.1	XP_034178513.1, XP_034178578.1, XP_034178576.1				
