GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0098542,defense response to other organism,441,69,7.14,< 1e-30
GO:0009607,response to biotic stimulus,499,72,8.08,< 1e-30
GO:0043207,response to external biotic stimulus,499,72,8.08,< 1e-30
GO:0051707,response to other organism,499,72,8.08,< 1e-30
GO:0044419,interspecies interaction between organis...,508,72,8.23,< 1e-30
GO:0006952,defense response,452,69,7.32,< 1e-30
GO:0006950,response to stress,1313,103,21.27,< 1e-30
GO:0009605,response to external stimulus,1069,89,17.32,< 1e-30
GO:0006955,immune response,338,52,5.48,< 1e-30
GO:0002376,immune system process,502,58,8.13,< 1e-30
GO:0052548,regulation of endopeptidase activity,135,34,2.19,< 1e-30
GO:0045861,negative regulation of proteolysis,116,32,1.88,< 1e-30
GO:0045087,innate immune response,238,41,3.86,< 1e-30
GO:0052547,regulation of peptidase activity,142,34,2.3,1.0e-30
GO:0010951,negative regulation of endopeptidase act...,100,30,1.62,2.1e-30
GO:0010466,negative regulation of peptidase activit...,103,30,1.67,5.7e-30
GO:0009617,response to bacterium,287,41,4.65,1.6e-27
GO:0030162,regulation of proteolysis,226,37,3.66,5.0e-27
GO:0050896,response to stimulus,3151,121,51.04,1.3e-26
GO:0042742,defense response to bacterium,257,38,4.16,4.5e-26
GO:0051346,negative regulation of hydrolase activit...,137,30,2.22,6.6e-26
GO:0002682,regulation of immune system process,239,35,3.87,7.0e-24
GO:0006508,proteolysis,1065,67,17.25,9.8e-24
GO:0002831,regulation of response to biotic stimulu...,177,31,2.87,1.3e-23
GO:0031347,regulation of defense response,160,29,2.59,1.4e-22
GO:0043086,negative regulation of catalytic activit...,177,30,2.87,1.9e-22
GO:0002252,immune effector process,166,29,2.69,4.2e-22
GO:0050776,regulation of immune response,174,29,2.82,1.7e-21
GO:0002697,regulation of immune effector process,95,23,1.54,4.1e-21
GO:0044092,negative regulation of molecular functio...,206,30,3.34,1.8e-20
GO:0009620,response to fungus,68,20,1.1,2.4e-20
GO:0032101,regulation of response to external stimu...,245,32,3.97,2.6e-20
GO:0080134,regulation of response to stress,312,35,5.05,5.7e-20
GO:0032269,negative regulation of cellular protein ...,316,35,5.12,8.6e-20
