target_id	length	eff_length	est_counts	tpm
XM_029176008.1	2568	2359.94	60.3647	0.333146
XM_029176009.1	4203	3994.94	45.7485	0.149149
XM_029176010.1	1236	1027.94	1866.17	23.6449
XM_029176011.1	814	606.489	1864.77	40.0458
XM_029176012.1	694	487.4	259.226	6.92702
XM_029176013.1	693	486.4	51932	1390.58
XM_029176014.1	17928	17719.9	2133.17	1.5679
XM_029176015.1	787	579.549	2905	65.2845
XM_029176016.1	521	318.881	4005	163.579
XM_029176017.1	1219	1010.94	13	0.167483
XM_029176018.1	2573	2364.94	4920.13	27.0963
XM_029176019.1	2564	2355.94	531.873	2.94034
XM_029176020.1	2886	2677.94	9672.63	47.0432
XM_029176021.1	5925	5716.94	0	0
XM_029176022.1	17922	17713.9	275.344	0.202449
XM_029176023.1	5843	5634.94	27.0905	0.0626155
XM_029176024.1	5922	5713.94	1165.84	2.6574
XM_029176025.1	5897	5688.94	2624.89	6.00943
XM_029176026.1	5097	4888.94	56.1797	0.149664
XM_029176027.1	5600	5391.94	5097.37	12.3127
XM_029176028.1	3805	3596.94	1831.78	6.63274
XM_029176029.1	3791	3582.94	2259.91	8.21496
XM_029176030.1	17775	17566.9	87.9736	0.0652244
XM_029176031.1	5155	4946.94	707.939	1.86386
XM_029176032.1	2630	2421.94	3965.04	21.3225
XM_029176033.1	2354	2145.94	170.958	1.03759
XM_029176034.1	3269	3060.94	5708.83	24.291
XM_029176035.1	3025	2816.94	176.419	0.815682
XM_029176036.1	1503	1294.94	697.746	7.0178
XM_029176037.1	8462	8253.94	0	0
XM_029176038.1	8010	7801.94	3.02621e-06	5.05185e-09
XM_029176039.1	8456	8247.94	34.921	0.0551436
XM_029176040.1	8447	8238.94	0	0
XM_029176041.1	8441	8232.94	933.297	1.47645
XM_029176042.1	8437	8228.94	226.49	0.358475
XM_029176043.1	8422	8213.94	2486.95	3.94339
XM_029176044.1	2288	2079.94	10669.4	66.8103
XM_029176045.1	2346	2137.94	0	0
XM_029176046.1	7605	7396.94	1090.19	1.91957
XM_029176047.1	2201	1992.94	109.147	0.713301
XM_029176048.1	1848	1639.94	1634.91	12.9843
XM_029176049.1	1845	1636.94	567.397	4.51447
XM_029176050.1	1721	1512.94	1543.7	13.289
XM_029176051.1	1297	1088.94	2142	25.6194
XM_029176052.1	1140	931.942	1910	26.693
XM_029176053.1	1157	948.942	4156	57.0413
XM_029176054.1	4349	4140.94	7331.94	23.0607
XM_029176055.1	4403	4194.94	697.969	2.16702
XM_029176056.1	1130	921.942	2700.43	38.149
XM_029176057.1	18063	17854.9	6.78304e-06	4.94789e-09
XM_029176058.1	1051	842.942	109.571	1.69299
XM_029176059.1	6144	5935.94	1449.23	3.1798
XM_029176060.1	6043	5834.94	210.161	0.469104
XM_029176061.1	5787	5578.94	977.066	2.281
XM_029176062.1	5868	5659.94	21.3381	0.0491018
XM_029176063.1	5634	5425.94	317.305	0.761649
XM_029176064.1	4977	4768.94	1544.75	4.21881
XM_029176065.1	4251	4042.94	155.251	0.500138
XM_029176066.1	18039	17830.9	0.000187279	1.36794e-07
XM_029176067.1	2175	1966.94	515.175	3.41127
XM_029176068.1	2104	1895.94	1063.83	7.30801
XM_029176069.1	3362	3153.94	3173	13.103
XM_029176070.1	1137	928.942	252.163	3.53547
XM_029176071.1	1253	1044.94	2417.74	30.135
XM_029176072.1	1048	839.942	831.097	12.8871
XM_029176073.1	1096	887.942	3481	51.0591
XM_029176074.1	964	756.018	125.111	2.15534
XM_029176075.1	17952	17743.9	77.5113	0.0568943
XM_029176076.1	877	669.301	1498.71	29.1641
XM_029176077.1	891	683.233	67.1822	1.28068
XM_029176078.1	819	611.428	2832	60.3256
XM_029176079.1	872	664.301	4326	84.8155
XM_029176080.1	2767	2558.94	4158	21.163
XM_029176081.1	1987	1778.94	2487.24	18.21
XM_029176082.1	718	511.151	9	0.229323
XM_029176083.1	17928	17719.9	2133.17	1.5679
XM_029176084.1	5188	4979.94	712	1.86213
XM_029176085.1	2929	2720.94	1373.69	6.57541
XM_029176086.1	2918	2709.94	465.312	2.23634
XM_029176087.1	4079	3870.94	11626	39.1172
XM_029176088.1	10895	10686.9	7155.03	8.71991
XM_029176089.1	10499	10290.9	750.97	0.950432
XM_029176090.1	17922	17713.9	275.344	0.202449
XM_029176091.1	10588	10379.9	152.463	0.191303
XM_029176092.1	9721	9512.94	2978.24	4.07755
XM_029176093.1	10083	9874.94	192.859	0.254366
XM_029176094.1	9652	9443.94	66.8593	0.0922066
XM_029176095.1	10659	10450.9	212.729	0.265109
XM_029176096.1	3540	3331.94	46.267	0.180854
XM_029176097.1	10656	10447.9	314.914	0.392569
XM_029176098.1	10650	10441.9	192.322	0.239884
XM_029176099.1	10194	9985.94	1155.98	1.5077
XM_029176100.1	10632	10423.9	247.362	0.309068
XM_029176101.1	10596	10387.9	88.9904	0.111575
XM_029176102.1	17775	17566.9	87.9736	0.0652244
XM_029176103.1	10075	9866.94	1338.28	1.76652
XM_029176104.1	2400	2191.94	1654.07	9.82829
XM_029176105.1	2240	2031.94	4790.97	30.709
XM_029176106.1	2478	2269.94	1780.22	10.2144
XM_029176107.1	919	711.164	1475.74	27.0267
XM_029176108.1	2396	2187.94	763.924	4.54745
XM_029176109.1	2334	2125.94	823.034	5.0422
XM_029176110.1	1694	1485.94	1885.11	16.523
XM_029176111.1	2294	2085.94	559.57	3.49387
XM_029176112.1	808	600.489	3987	86.4759
XM_029176113.1	2336	2127.94	234.273	1.43389
XM_029176114.1	2314	2105.94	1230.73	7.61148
XM_029176115.1	1372	1163.94	2209.62	24.7252
XM_029176116.1	1226	1017.94	971.377	12.4285
XM_029176117.1	891	683.233	381	7.2629
XM_029176118.1	2175	1966.94	21399	141.695
XM_029176119.1	5173	4964.94	4802.18	12.5973
XM_029176120.1	5026	4817.94	1563.82	4.22745
XM_029176121.1	4944	4735.94	1870.83	5.14496
XM_029176122.1	4881	4672.94	86.168	0.240165
XM_029176123.1	2545	2336.94	0	0
XM_029176124.1	3457	3248.94	3828.69	15.3484
XM_029176125.1	3379	3170.94	474.307	1.94816
XM_029176126.1	1526	1317.94	4.13699	0.0408829
XM_029176127.1	782	574.549	8.83532	0.200285
XM_029176128.1	796	588.549	0	0
XM_029176129.1	3990	3781.94	212.028	0.730183
XM_029176130.1	823	615.428	20249	428.529
XM_029176131.1	2615	2406.94	3760	20.3459
XM_029176132.1	2521	2312.94	58.6279	0.330136
XM_029176133.1	2883	2674.94	3175	15.4591
XM_029176134.1	1985	1776.94	4277	31.3487
XM_029176135.1	977	768.942	1535	25.9997
XM_029176136.1	693	486.4	1	0.0267769
XM_029176137.1	1964	1755.94	11686	86.6781
XM_029176138.1	1659	1450.94	1787.34	16.0439
XM_029176139.1	1440	1231.94	214.662	2.26944
XM_029176140.1	2717	2508.94	146.457	0.760278
XM_029176141.1	7277	7068.94	143.65	0.26467
XM_029176142.1	7271	7062.94	10262.9	18.9252
XM_029176143.1	7260	7051.94	1436.41	2.65292
XM_029176144.1	4427	4218.94	0.0167548	5.17238e-05
XM_029176145.1	4424	4215.94	5677.97	17.5409
XM_029176146.1	4421	4212.94	4501.64	13.9168
XM_029176147.1	2653	2444.94	1676.38	8.93013
XM_029176148.1	1215	1006.94	231.05	2.98852
XM_029176149.1	1039	830.942	3498.57	54.837
XM_029176150.1	2727	2518.94	52.2122	0.269965
XM_029176151.1	2554	2345.94	781.671	4.33971
XM_029176152.1	1607	1398.94	315.508	2.93741
XM_029176153.1	1336	1127.94	2252.2	26.006
XM_029176154.1	1590	1381.94	1155.68	10.8918
XM_029176155.1	793	585.549	101.32	2.25364
XM_029176156.1	1386	1177.94	4	0.0442272
XM_029176157.1	4501	4292.94	13699.4	41.5625
XM_029176158.1	4483	4274.94	1680.88	5.12107
XM_029176159.1	2581	2372.94	1.61714	0.00887595
XM_029176160.1	3725	3516.94	443.667	1.64303
XM_029176161.1	2743	2534.94	1068.71	5.49092
XM_029176162.1	2899	2690.94	2303.29	11.148
XM_029176163.1	2758	2549.94	4110.68	20.996
XM_029176164.1	2758	2549.94	1377.32	7.03493
XM_029176165.1	1203	994.942	1450.47	18.9874
XM_029176166.1	1056	847.942	963.527	14.7996
XM_029176167.1	5148	4939.94	435.744	1.14885
XM_029176168.1	5133	4924.94	4114.26	10.8804
XM_029176169.1	5052	4843.94	0.000173357	4.66118e-07
XM_029176170.1	4959	4750.94	370.544	1.01581
XM_029176171.1	4660	4451.94	1150.92	3.36705
XM_029176172.1	4732	4523.94	101.125	0.291135
XM_029176173.1	1984	1775.94	6465.93	47.4194
XM_029176174.1	4531	4322.94	262.909	0.792101
XM_029176175.1	4433	4224.94	352.74	1.0874
XM_029176176.1	4497	4288.94	208.124	0.632012
XM_029176177.1	4359	4150.94	246.586	0.773704
XM_029176178.1	5022	4813.94	1493.02	4.03943
XM_029176179.1	4702	4493.94	0	0
XM_029176180.1	4403	4194.94	7.05933e-08	2.19175e-10
XM_029176181.1	3897	3688.94	1674.18	5.91089
XM_029176182.1	4989	4780.94	1522.05	4.14639
XM_029176183.1	3957	3748.94	1511.24	5.25023
XM_029176184.1	3369	3160.94	26.4991	0.109186
XM_029176185.1	3739	3530.94	84.7446	0.31259
XM_029176186.1	3826	3617.94	285.61	1.02817
XM_029176187.1	4965	4756.94	1169.72	3.20264
XM_029176188.1	3982	3773.94	696.366	2.40323
XM_029176189.1	4278	4069.94	581.369	1.86045
XM_029176190.1	1764	1555.94	13508.8	113.078
XM_029176191.1	3884	3675.94	713.055	2.52644
XM_029176192.1	3786	3577.94	675.498	2.45892
XM_029176193.1	4896	4687.94	271.982	0.755634
XM_029176194.1	4725	4516.94	271.218	0.782037
XM_029176195.1	735	528.099	1382.07	34.0854
XM_029176196.1	709	502.202	345.612	8.96322
XM_029176197.1	731	524.099	113.319	2.81608
XM_029176198.1	10002	9793.94	0.055765	7.4158e-05
XM_029176199.1	1754	1545.94	6799.49	57.2845
XM_029176200.1	10890	10681.9	1066.39	1.30023
XM_029176201.1	10872	10663.9	7.18468	0.00877493
XM_029176202.1	9924	9715.94	0.00786042	1.05369e-05
XM_029176203.1	9894	9685.94	167.875	0.225734
XM_029176204.1	9888	9679.94	1741.4	2.34304
XM_029176205.1	10757	10548.9	719.867	0.888786
XM_029176206.1	10726	10517.9	2623.83	3.24906
XM_029176207.1	9780	9571.94	5295.99	7.2061
XM_029176208.1	10648	10439.9	2270.4	2.83242
XM_029176209.1	10863	10654.9	0	0
XM_029176210.1	1993	1784.94	0	0
XM_029176211.1	5743	5534.94	2828.35	6.65539
XM_029176212.1	5733	5524.94	236.269	0.556972
XM_029176213.1	5641	5432.94	56.1371	0.134576
XM_029176214.1	5613	5404.94	157.166	0.378723
XM_029176215.1	4842	4633.94	1309.62	3.68085
XM_029176216.1	4795	4586.94	97.748	0.277548
XM_029176217.1	4599	4390.94	46.7136	0.13856
XM_029176218.1	7262	7053.94	9787.67	18.0718
XM_029176219.1	7177	6968.94	8932.55	16.6941
XM_029176220.1	7042	6833.94	1847.79	3.52155
XM_029176221.1	2703	2494.94	1041	5.4343
XM_029176222.1	1443	1234.94	1694.65	17.8726
XM_029176223.1	1458	1249.94	274.35	2.8587
XM_029176224.1	1671	1462.94	203.082	1.808
XM_029176225.1	497	296.192	89	3.91355
XM_029176226.1	5147	4938.94	11018.9	29.0574
XM_029176227.1	3330	3121.94	1076.12	4.48943
XM_029176228.1	785	577.549	76367	1722.15
XM_029176229.1	883	675.301	4274	82.431
XM_029176230.1	1520	1311.94	140	1.38985
XM_029176231.1	12437	12228.9	0	0
XM_029176232.1	12428	12219.9	71.0617	0.0757391
XM_029176233.1	12428	12219.9	121.262	0.129244
XM_029176234.1	12413	12204.9	102.613	0.109502
XM_029176235.1	9542	9333.94	4.37517e-07	6.10496e-10
XM_029176236.1	11690	11481.9	0	0
XM_029176237.1	3111	2902.94	251	1.12613
XM_029176238.1	9395	9186.94	0.00289205	4.10005e-06
XM_029176239.1	9348	9139.94	821.396	1.17048
XM_029176240.1	7540	7331.94	3.2356	0.00574764
XM_029176241.1	1460	1251.94	6514	67.7668
XM_029176242.1	1714	1505.94	0	0
XM_029176243.1	1654	1445.94	399.156	3.59538
XM_029176244.1	2052	1843.94	15389	108.697
XM_029176245.1	5459	5250.94	5560	13.7909
XM_029176246.1	5617	5408.94	4080	9.8243
XM_029176247.1	5442	5233.94	5594	13.9203
XM_029176248.1	2231	2022.94	6763.09	43.5427
XM_029176249.1	2220	2011.94	125.908	0.815064
XM_029176250.1	2163	1954.94	1547.42	10.3092
XM_029176251.1	2142	1933.94	366.403	2.46757
XM_029176252.1	2208	1999.94	1851.29	12.0562
XM_029176253.1	2187	1978.94	307.741	2.02538
XM_029176254.1	2182	1973.94	294.148	1.94082
XM_029176255.1	1922	1713.94	399.52	3.03596
XM_029176256.1	1889	1680.94	3171.57	24.574
XM_029176257.1	2017	1808.94	321.072	2.3117
XM_029176258.1	1393	1184.94	1985.44	21.823
XM_029176259.1	1405	1196.94	241.555	2.62843
XM_029176260.1	1588	1379.94	249.467	2.35454
XM_029176261.1	1876	1667.94	11787	92.0399
XM_029176262.1	1534	1325.94	35.5331	0.34903
XM_029176263.1	7454	7245.94	0	0
XM_029176264.1	7442	7233.94	10441.2	18.7987
XM_029176265.1	6939	6730.94	4707.7	9.10933
XM_029176266.1	7204	6995.94	6590.11	12.2687
XM_029176267.1	7125	6916.94	5461	10.2828
XM_029176268.1	7732	7523.94	546.287	0.945647
XM_029176269.1	7678	7469.94	3229.78	5.63131
XM_029176270.1	7675	7466.94	5337.24	9.30953
XM_029176271.1	7600	7391.94	470.694	0.829343
XM_029176272.1	721	514.099	3188	80.7653
XM_029176273.1	6467	6258.94	0	0
XM_029176274.1	1606	1397.94	35579	331.481
XM_029176275.1	6508	6299.94	163.469	0.337949
XM_029176276.1	6402	6193.94	85.4381	0.179655
XM_029176277.1	6628	6419.94	653.04	1.32484
XM_029176278.1	6037	5828.94	627.154	1.40132
XM_029176279.1	6512	6303.94	1582.9	3.27035
XM_029176280.1	2631	2422.94	73.9205	0.397352
XM_029176281.1	2850	2641.94	875.992	4.31848
XM_029176282.1	2501	2292.94	6076.89	34.5177
XM_029176283.1	2842	2633.94	3493.58	17.275
XM_029176284.1	2893	2684.94	5185.69	25.1551
XM_029176285.1	2166	1957.94	2555.92	17.002
XM_029176286.1	3004	2795.94	3047.41	14.1957
XM_029176287.1	2986	2777.94	2851.59	13.3696
XM_029176288.1	8235	8026.94	3285.18	5.33043
XM_029176289.1	1346	1137.94	3515	40.2308
XM_029176290.1	3806	3597.94	10.3295	0.037392
XM_029176291.1	4222	4013.94	469.971	1.52494
XM_029176292.1	4218	4009.94	671.503	2.18104
XM_029176293.1	4291	4082.94	1406.71	4.48729
XM_029176294.1	3803	3594.94	959.846	3.47747
XM_029176295.1	3790	3581.94	11796.6	42.8937
XM_029176296.1	3683	3474.94	5.85477e-07	2.1944e-09
XM_029176297.1	1993	1784.94	2000.74	14.5989
XM_029176298.1	1786	1577.94	443.126	3.65755
XM_029176299.1	1699	1490.94	198.137	1.73085
XM_029176300.1	2258	2049.94	12466.7	79.2068
XM_029176301.1	1682	1473.94	9426.33	83.2944
XM_029176302.1	3346	3137.94	2536.86	10.5295
XM_029176303.1	1190	981.942	3102	41.1443
XM_029176304.1	3644	3435.94	244.907	0.928343
XM_029176305.1	3624	3415.94	124.302	0.473936
XM_029176306.1	3620	3411.94	110.929	0.423444
XM_029176307.1	2595	2386.94	8325.54	45.4281
XM_029176308.1	3387	3178.94	8995.98	36.857
XM_029176309.1	1799	1590.94	328	2.68518
XM_029176310.1	2048	1839.94	7791	55.1497
XM_029176311.1	480	280.477	3530.35	163.936
XM_029176312.1	473	273.845	60.647	2.88442
XM_029176313.1	912	704.164	5072	93.8122
XM_029176314.1	2462	2253.94	0	0
XM_029176315.1	2454	2245.94	520.692	3.01951
XM_029176316.1	409	215.303	10749.4	650.261
XM_029176317.1	2369	2160.94	1685.31	10.1576
XM_029176318.1	1465	1256.94	5197	53.8507
XM_029176319.1	2235	2026.94	1712.35	11.0029
XM_029176320.1	2180	1971.94	539.234	3.56153
XM_029176321.1	2088	1879.94	1426.77	9.88468
XM_029176322.1	1921	1712.94	712.643	5.41855
XM_029176323.1	3637	3428.94	1660.15	6.3058
XM_029176324.1	3624	3415.94	125.853	0.47985
XM_029176325.1	8231	8022.94	0	0
XM_029176326.1	1614	1405.94	174.391	1.61551
XM_029176327.1	734	527.099	4176	103.186
XM_029176328.1	5760	5551.94	3224.7	7.56481
XM_029176329.1	5961	5752.94	10487.5	23.743
XM_029176330.1	2791	2582.94	1388.79	7.00284
XM_029176331.1	5365	5156.94	1491.64	3.76727
XM_029176332.1	2470	2261.94	1197.49	6.89515
XM_029176333.1	1986	1777.94	37496	274.676
XM_029176334.1	8154	7945.94	3575.57	5.86075
XM_029176335.1	751	543.939	20	0.478888
XM_029176336.1	639	433.413	10	0.300505
XM_029176337.1	1719	1510.94	9109	78.5193
XM_029176338.1	4059	3850.94	8723.67	29.5044
XM_029176339.1	3311	3102.94	10255.3	43.0457
XM_029176340.1	2543	2334.94	10118	56.4381
XM_029176341.1	652	446.193	63996	1868.03
XM_029176342.1	8102	7893.94	395.344	0.652282
XM_029176343.1	3131	2922.94	8926	39.7732
XM_029176344.1	2106	1897.94	466.821	3.20347
XM_029176345.1	6279	6070.94	11757.2	25.2232
XM_029176346.1	967	759.018	6697.18	114.919
XM_029176347.1	1855	1646.94	639.538	5.05757
XM_029176348.1	1840	1631.94	5636.46	44.9837
XM_029176349.1	1813	1604.94	2959.99	24.0207
XM_029176350.1	8091	7882.94	892.544	1.47467
XM_029176351.1	1773	1564.94	242.007	2.01411
XM_029176352.1	4924	4715.94	6.68436e-07	1.84606e-09
XM_029176353.1	5128	4919.94	1655.05	4.38133
XM_029176354.1	4656	4447.94	1023.89	2.99812
XM_029176355.1	4777	4568.94	166.807	0.475503
XM_029176356.1	1115	906.942	1245.53	17.8866
XM_029176357.1	1034	825.942	171.469	2.70389
XM_029176358.1	1314	1105.94	5958	70.1652
XM_029176359.1	8144	7935.94	2652.17	4.35268
XM_029176360.1	822	614.428	0	0
XM_029176361.1	755	547.939	1115.71	26.52
XM_029176362.1	889	681.301	32839.3	627.781
