GeneID,geneDescription,chr,strand,event,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,riExonStart_0base,riExonEnd,exonStart_0base,exonEnd
LOC114874404,uncharacterized LOC114874404,chrOU015512.1,-,A3SS,7.5152883916e-11,1.69244294578832e-7,"0.333,0.0,0.0,0.0","0.5,1.0,1.0,1.0",-0.792,6602508,6603229,6602508,6603020,6603286,6603529,"1,0,0,0","1,1,1,1","2,2,2,1","1,0,0,0",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114874084,putative high mobility group protein B1-like 1,chrOU015505.1,-,MXE,5.80625258984e-9,4.01212053957944e-6,"0.085,0.112,0.111,0.101","0.262,0.229,0.143,0.229",-0.113,NA,NA,NA,NA,NA,NA,"30,22,26,15","426,230,276,177","74,31,22,43","275,138,174,191",138,182,2389754,2389837,2390204,2390243,2389313,2389491,2390529,2390843,NA,NA,NA,NA
LOC114883239,uncharacterized LOC114883239,chrOU015504.1,-,RI,6.82969159005e-9,8.29807528191075e-6,"0.387,0.558,0.0,0.24","1.0,1.0,1.0,0.558",-0.593,NA,NA,NA,NA,NA,NA,"2,2,0,2","2,1,1,4","5,1,1,2","0,0,0,1",157,99,NA,NA,NA,NA,13867731,13867835,13867893,13868008,13867731,13868008,NA,NA
LOC114874084,putative high mobility group protein B1-like 1,chrOU015505.1,-,MXE,3.55711199385e-8,1.2289821938751751e-5,"0.057,0.076,0.098,0.071","0.22,0.204,0.111,0.151",-0.096,NA,NA,NA,NA,NA,NA,"19,14,22,10","426,230,276,177","57,26,16,25","275,138,174,191",134,182,2389754,2389837,2390204,2390239,2389313,2389491,2390529,2390843,NA,NA,NA,NA
LOC114872939,uncharacterized LOC114872939,chrOU015518.1,-,SE,1.01938651964e-8,3.3675433676307395e-5,"0.6,0.6,1.0,0.5","0.0,0.2,0.0,0.0",0.625,NA,NA,NA,NA,NA,NA,"3,3,1,2","1,1,0,1","0,1,0,0","4,2,2,7",198,99,NA,NA,NA,NA,1093115,1093208,1094295,1094610,NA,NA,1093279,1093378
LOC114874084,putative high mobility group protein B1-like 1,chrOU015505.1,-,SE,7.7850154101e-9,3.3675433676307395e-5,"0.808,0.839,0.802,0.781","0.588,0.658,0.724,0.608",0.163,NA,NA,NA,NA,NA,NA,"426,230,276,177","55,24,37,27","275,138,174,191","105,39,36,67",182,99,NA,NA,NA,NA,2389313,2389491,2390529,2390843,NA,NA,2389754,2389837
LOC114880026,zinc finger CCCH domain-containing protein 18-like,chrOU015509.1,-,A3SS,7.20857951109e-8,5.41124035299156e-5,"0.711,1.0,1.0,1.0","0.551,0.766,0.45,0.141",0.451,9003887,9004215,9003887,9004193,9005232,9005480,"3,1,1,1","1,0,0,0","3,4,1,1","2,1,1,5",121,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114872078,uncharacterized LOC114872078,chrOU015512.1,+,A3SS,5.35805655399e-8,5.41124035299156e-5,"0.429,0.25,0.333,0.0","0.5,1.0,1.0,1.0",-0.622,2436531,2436845,2436648,2436845,2436078,2436441,"3,2,1,0","2,3,1,3","2,3,1,2","1,0,0,0",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114873724,serine/arginine repetitive matrix protein 2,chrOU015511.1,+,RI,2.81408939484e-7,1.1397062049102e-4,"0.75,1.0,1.0,1.0","0.733,0.412,0.6,0.75",0.314,NA,NA,NA,NA,NA,NA,"6,4,4,2","1,0,0,0","11,7,6,6","2,5,2,1",198,99,NA,NA,NA,NA,8628431,8630194,8630368,8630580,8628431,8630580,NA,NA
LOC114872078,uncharacterized LOC114872078,chrOU015512.1,+,RI,2.76941927058e-7,1.1397062049102e-4,"0.429,0.4,0.5,0.0","0.5,1.0,1.0,1.0",-0.543,NA,NA,NA,NA,NA,NA,"3,4,2,0","2,3,1,3","2,3,1,2","1,0,0,0",198,99,NA,NA,NA,NA,2436078,2436441,2436648,2436845,2436078,2436845,NA,NA
LOC114873643,monoacylglycerol lipase ABHD12,chrOU015516.1,+,RI,4.34762654211e-7,1.3205915621659e-4,"0.839,0.595,0.688,0.407","0.885,1.0,1.0,1.0",-0.339,NA,NA,NA,NA,NA,NA,"19,8,8,5","2,3,2,4","14,9,5,16","1,0,0,0",180,99,NA,NA,NA,NA,8868651,8868867,8868948,8869229,8868651,8869229,NA,NA
LOC114873782,protein Ycf2-like,chrOU015514.1,+,A5SS,9.91161753783e-8,1.7702148922564e-4,"1.0,0.727,1.0,1.0","0.769,0.47,0.532,0.812",0.286,7024425,7025060,7024425,7025010,7025345,7025437,"21,4,10,4","0,1,0,0","20,8,12,13","4,6,7,2",149,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114872401,Down syndrome cell adhesion molecule-like protein Dscam2,chrOU015506.1,+,MXE,1.16430938168e-6,2.0113444568522e-4,"0.25,0.0,0.0,0.6","1.0,1.0,0.5,1.0",-0.662,NA,NA,NA,NA,NA,NA,"1,0,0,3","3,1,1,2","1,1,2,3","0,0,2,0",198,198,4446962,4447124,4448464,4448635,4444263,4444402,4452542,4452692,NA,NA,NA,NA
LOC114874084,putative high mobility group protein B1-like 1,chrOU015505.1,-,MXE,1.14010366703e-6,2.0113444568522e-4,"0.063,0.128,0.153,0.156","0.319,0.299,0.16,0.252",-0.133,NA,NA,NA,NA,NA,NA,"12,14,19,13","237,126,139,93","49,22,14,25","138,68,97,98",138,182,2389754,2389837,2390204,2390243,2389313,2389491,2390385,2390414,NA,NA,NA,NA
LOC114876035,fatty acyl-CoA reductase 1,chrOU015518.1,+,MXE,2.01748341488e-6,2.7881620793641e-4,"0.992,0.992,0.994,0.992","0.972,0.961,0.984,0.985",0.017,NA,NA,NA,NA,NA,NA,"1364,834,784,607","11,7,5,5","960,440,543,640","28,18,9,10",198,198,30983,31500,31837,32030,29792,30271,33842,34284,NA,NA,NA,NA
LOC114876035,fatty acyl-CoA reductase 1,chrOU015518.1,+,MXE,5.40299630658e-6,6.2224507464113e-4,"0.01,0.01,0.007,0.01","0.031,0.035,0.017,0.018",-0.016,NA,NA,NA,NA,NA,NA,"11,7,5,5","1126,687,690,510","28,18,9,10","875,493,526,541",198,198,31837,32030,32616,32859,29792,30271,33842,34284,NA,NA,NA,NA
