Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
OG0016187	NP_001119610.2																				
OG0016188	NP_001119613.2																				
OG0016189	NP_001119614.1																				
OG0016190	NP_001119619.1																				
OG0016191	NP_001119629.1																				
OG0016192	NP_001119650.1																				
OG0016193	NP_001127764.1																				
OG0016194	NP_001127959.1																				
OG0016195	NP_001127960.1																				
OG0016196	NP_001128378.1																				
OG0016197	NP_001128402.1																				
OG0016198	NP_001129380.1																				
OG0016199	NP_001153528.1																				
OG0016200	NP_001153535.1																				
OG0016201	NP_001153888.1																				
OG0016202	NP_001155382.1																				
OG0016203	NP_001155386.1																				
OG0016204	NP_001155402.1																				
OG0016205	NP_001155409.1																				
OG0016206	NP_001155414.1																				
OG0016207	NP_001155418.1																				
OG0016208	NP_001155430.1																				
OG0016209	NP_001155445.1																				
OG0016210	NP_001155453.1																				
OG0016211	NP_001155467.1																				
OG0016212	NP_001155475.1																				
OG0016213	NP_001155527.1																				
OG0016214	NP_001155543.1																				
OG0016215	NP_001155614.1																				
OG0016216	NP_001155619.1																				
OG0016217	NP_001155634.2																				
OG0016218	NP_001155659.1																				
OG0016219	NP_001155683.1																				
OG0016220	NP_001155694.1																				
OG0016221	NP_001155709.1																				
OG0016222	NP_001155747.1																				
OG0016223	NP_001155772.1																				
OG0016224	NP_001155783.1																				
OG0016225	NP_001155810.1																				
OG0016226	NP_001155940.1																				
OG0016227	NP_001156044.1																				
OG0016228	NP_001156049.1																				
OG0016229	NP_001156098.1																				
OG0016230	NP_001156118.1																				
OG0016231	NP_001156124.1																				
OG0016232	NP_001156137.1																				
OG0016233	NP_001156152.1																				
OG0016234	NP_001156163.1																				
OG0016235	NP_001156164.1																				
OG0016236	NP_001156178.1																				
OG0016237	NP_001156185.1																				
OG0016238	NP_001156194.1																				
OG0016239	NP_001156250.1																				
OG0016240	NP_001156290.1																				
OG0016241	NP_001156439.1																				
OG0016242	NP_001156580.1																				
OG0016243	NP_001156650.1																				
OG0016244	NP_001156672.1																				
OG0016245	NP_001156677.1																				
OG0016246	NP_001156681.1																				
OG0016247	NP_001156684.1																				
OG0016248	NP_001156803.1																				
OG0016249	NP_001165714.1																				
OG0016250	NP_001165736.1																				
OG0016251	NP_001191917.1																				
OG0016252	NP_001191923.1																				
OG0016253	NP_001191945.1																				
OG0016254	NP_001191988.1																				
OG0016255	NP_001192055.1																				
OG0016256	NP_001232993.1																				
OG0016257	NP_001232998.1																				
OG0016258	NP_001233004.1																				
OG0016259	NP_001233017.1																				
OG0016260	NP_001233026.1																				
OG0016261	NP_001233038.1																				
OG0016262	NP_001233044.1																				
OG0016263	NP_001233066.1																				
OG0016264	NP_001233094.1																				
