ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021
9	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747
29	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449
32	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033
35	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400
43	"LOC114880226"	NA	chrOU015519.1	-	1926710	1927072	1926925	1927072	1924902	1925046
49	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8721942	8722313
62	"LOC114877553"	NA	chrOU015518.1	+	5817682	5819122	5817682	5817856	5821960	5825808
74	"LOC114882870"	NA	chrOU015518.1	-	2529104	2530501	2529862	2530501	2503720	2503803
81	"LOC114881700"	NA	chrOU015518.1	-	1644419	1644875	1644669	1644875	1644059	1644214
83	"LOC114872965"	NA	chrOU015518.1	+	1571294	1583032	1571294	1576936	1583515	1583722
92	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	790142	790365	789340	789421
95	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	789601	789705
99	"LOC114876023"	NA	chrOU015518.1	-	518462	518639	518515	518639	517492	518225
149	"LOC114874669"	NA	chrOU015509.1	+	3180462	3180601	3180462	3180592	3180709	3180997
165	"LOC114878078"	NA	chrOU015508.1	-	8005633	8005811	8005676	8005811	8005341	8005563
176	"LOC114873154"	NA	chrOU015509.1	-	317362	317559	317438	317559	317201	317269
184	"LOC114872028"	NA	chrOU015505.1	+	6103740	6103843	6103740	6103839	6104824	6105375
186	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104824	6105375
187	"LOC114872028"	NA	chrOU015505.1	+	6103740	6103843	6103740	6103839	6104889	6105375
188	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103839	6104889	6105375
189	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104889	6105375
191	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103839	6104943	6105375
192	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104943	6105375
195	"LOC114880062"	NA	chrOU015519.1	-	8092989	8094017	8093892	8094017	8092578	8092908
196	"LOC114880062"	NA	chrOU015519.1	-	8093151	8094017	8093892	8094017	8092578	8092908
204	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338045	14337461	14337744	14338664	14338709
205	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338344	14337461	14337744	14338664	14338709
207	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14345378	14345464
230	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860577	9864386	9864609
241	"LOC114878628"	NA	chrOU015508.1	-	11370852	11371656	11371093	11371656	11367777	11369454
273	"LOC114871024"	NA	chrOU015508.1	+	1432053	1432250	1432053	1432176	1432528	1432737
277	"LOC114880957"	NA	chrOU015508.1	-	9988484	9990508	9989104	9990508	9987821	9988122
278	"LOC114878925"	NA	chrOU015514.1	-	9274935	9275051	9274956	9275051	9273511	9273627
280	"LOC114878888"	NA	chrOU015509.1	-	5555413	5555759	5555455	5555759	5554720	5555009
303	"LOC114877931"	NA	chrOU015508.1	-	5597610	5597727	5597614	5597727	5586897	5587133
312	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264063
313	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264089
333	"LOC114875179"	NA	chrOU015507.1	+	11368559	11368648	11368559	11368619	11368777	11368915
344	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096944	9097168	9096120	9096265
345	"LOC114873584"	NA	chrOU015516.1	-	9096506	9097168	9096944	9097168	9096120	9096265
346	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096506	9097168	9096120	9096282
353	"LOC114874717"	NA	chrOU015507.1	-	9825635	9825959	9825639	9825959	9825039	9825178
397	"LOC114871121"	NA	chrOU015508.1	+	1911644	1911815	1911644	1911811	1912149	1912950
416	"LOC114879681"	NA	chrOU015513.1	+	10669695	10670161	10669695	10669933	10670461	10670860
423	"LOC114880527"	NA	chrOU015509.1	-	8907549	8907730	8907680	8907730	8907418	8907441
435	"LOC114872535"	NA	chrOU015506.1	-	9004634	9004672	9004659	9004672	9004311	9004556
444	"LOC114876960"	NA	chrOU015507.1	+	10690170	10690344	10690170	10690311	10690985	10691195
476	"LOC114875877"	NA	chrOU015516.1	+	3808084	3808622	3808084	3808255	3810964	3811176
509	"LOC114880742"	NA	chrOU015510.1	+	37724	37956	37724	37941	38117	38138
513	"LOC114878444"	NA	chrOU015506.1	-	2804665	2805133	2804806	2805133	2801256	2801387
523	"LOC114878359"	NA	chrOU015506.1	+	2638601	2639388	2638601	2638941	2640200	2641216
524	"LOC114878359"	NA	chrOU015506.1	+	2638601	2640075	2638601	2638941	2640200	2641216
543	"LOC114877587"	NA	chrOU015515.1	-	400929	401449	401439	401449	398418	398655
544	"LOC114877587"	NA	chrOU015515.1	-	400929	401449	401439	401449	398728	398997
558	"LOC114871918"	NA	chrOU015504.1	+	15950109	15950722	15950109	15950710	15952181	15952226
577	"LOC114882881"	NA	chrOU015504.1	+	9386714	9386767	9386714	9386765	9386830	9387020
599	"LOC114880748"	NA	chrOU015510.1	+	21571	22211	21571	21621	22504	22680
602	"LOC114875608"	NA	chrOU015513.1	-	8051221	8051564	8051225	8051564	8050907	8051120
632	"LOC114875107"	NA	chrOU015512.1	+	8111820	8112713	8111820	8112494	8117062	8117257
640	"LOC114874647"	NA	chrOU015509.1	+	3580599	3580768	3580599	3580725	3580825	3580994
643	"LOC114879650"	NA	chrOU015513.1	-	10518311	10518857	10518521	10518857	10516522	10516554
654	"LOC114873850"	NA	chrOU015513.1	+	4640755	4641269	4640755	4640900	4641481	4641555
655	"LOC114871209"	NA	chrOU015508.1	-	1811501	1814232	1813865	1814232	1811076	1811225
663	"LOC114882913"	NA	chrOU015504.1	+	9307572	9307690	9307572	9307686	9307742	9308954
670	"LOC114871847"	NA	chrOU015504.1	+	16986960	16987375	16986960	16987141	16988408	16988592
697	"LOC114879236"	NA	chrOU015514.1	-	9904327	9904713	9904413	9904713	9903457	9903595
698	"LOC114879236"	NA	chrOU015514.1	-	9904327	9904713	9904566	9904713	9903457	9903595
699	"LOC114879236"	NA	chrOU015514.1	-	9904413	9904713	9904566	9904713	9903457	9903595
731	"LOC114882771"	NA	chrOU015508.1	+	675211	675426	675211	675411	675853	677508
738	"LOC114875205"	NA	chrOU015511.1	-	9778285	9778373	9778335	9778373	9777805	9778230
744	"LOC114880516"	NA	chrOU015509.1	-	8972475	8973296	8972889	8973296	8966979	8968381
745	"LOC114880516"	NA	chrOU015509.1	-	8972475	8973296	8973057	8973296	8966979	8968381
746	"LOC114880516"	NA	chrOU015509.1	-	8972889	8973296	8973057	8973296	8966979	8968381
750	"LOC114872700"	NA	chrOU015506.1	-	1481143	1481307	1481150	1481307	1478091	1480927
786	"LOC114871226"	NA	chrOU015506.1	+	4261984	4262263	4261984	4262260	4262824	4263097
789	"LOC114880786"	NA	chrOU015505.1	+	12130653	12131072	12130653	12130872	12131208	12131369
793	"LOC114880786"	NA	chrOU015505.1	+	12130653	12131369	12130653	12131361	12133111	12133344
794	"LOC114880786"	NA	chrOU015505.1	+	12131461	12131657	12131461	12131560	12133111	12133344
805	"LOC114878606"	NA	chrOU015514.1	-	1293679	1293802	1293792	1293802	1293063	1293307
811	"LOC114877804"	NA	chrOU015506.1	+	7556644	7557078	7556644	7556851	7557214	7557396
832	"LOC114876187"	NA	chrOU015504.1	-	15720939	15721762	15721675	15721762	15712878	15714965
833	"LOC114876187"	NA	chrOU015504.1	-	15717079	15717332	15717084	15717332	15715719	15716990
835	"LOC114876450"	NA	chrOU015517.1	+	3279162	3279392	3279162	3279346	3279532	3279996
854	"LOC114876153"	NA	chrOU015504.1	-	15434305	15434462	15434310	15434462	15433887	15434240
855	"LOC114876153"	NA	chrOU015504.1	-	15434305	15434462	15434310	15434462	15433887	15434253
859	"LOC114878450"	NA	chrOU015507.1	-	11629338	11629604	11629403	11629604	11628776	11628902
860	"LOC114878450"	NA	chrOU015507.1	-	11629338	11629604	11629403	11629604	11629002	11629195
864	"LOC114877338"	NA	chrOU015509.1	+	1889338	1889556	1889338	1889552	1890685	1890870
899	"LOC114872627"	NA	chrOU015506.1	-	1275208	1275713	1275484	1275713	1274923	1275105
905	"LOC114877944"	NA	chrOU015506.1	+	3305593	3306083	3305593	3305857	3306243	3306547
