ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	2	11,1,6,3	2,0,1,0	7,7,9,6	0,0,0,1	178	99	1	1.0	0.754,1.0,0.769,1.0	1.0,1.0,1.0,0.769	-0.061
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633	3	169,71,94,84	1,0,0,0	78,81,103,86	0,1,0,0	198	99	1	1.0	0.988,1.0,1.0,1.0	1.0,0.976,1.0,1.0	0.003
4	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373	4	2,0,0,0	1,0,2,6	1,0,0,1	1,2,0,5	198	99	1	1.0	0.5,NA,0.0,0.0	0.333,0.0,NA,0.091	0.025
5	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930	5	86,40,33,45	0,0,1,0	32,37,35,48	0,0,0,0	198	99	1	1.0	1.0,1.0,0.943,1.0	1.0,1.0,1.0,1.0	-0.014
6	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376	6	17,11,8,11	0,0,1,0	15,11,14,12	0,0,0,0	112	99	1	1.0	1.0,1.0,0.876,1.0	1.0,1.0,1.0,1.0	-0.031
7	"LOC114872196"	NA	chrOU015519.1	+	7843722	7843859	7843011	7843082	7843955	7844072	7	37,19,21,25	0,1,0,0	17,21,25,23	0,0,0,0	198	99	1	1.0	1.0,0.905,1.0,1.0	1.0,1.0,1.0,1.0	-0.024
8	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508	8	0,0,0,0	34,19,24,24	0,0,1,0	10,21,9,12	198	99	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.053,0.0	-0.013
9	"LOC114872242"	NA	chrOU015519.1	+	7599952	7600119	7599745	7599883	7600186	7600421	9	1160,755,813,885	0,0,0,1	522,608,664,773	0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,0.998	1.0,1.0,1.0,1.0	-0.0
10	"LOC114872237"	NA	chrOU015519.1	+	7503482	7503663	7490171	7490281	7515081	7515197	10	0,3,1,0	1,0,0,0	1,1,0,2	0,0,0,0	198	99	1	1.0	0.0,1.0,1.0,NA	1.0,1.0,NA,1.0	-0.333
12	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081	12	45,32,29,38	0,0,0,0	29,42,32,43	2,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0	0.879,1.0,1.0,1.0	0.03
13	"LOC114872247"	NA	chrOU015519.1	+	7083650	7083890	7074490	7075502	7084113	7084241	13	53,25,27,34	0,0,0,0	28,26,14,56	1,0,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0	0.933,1.0,1.0,0.966	0.025
14	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114	14	157,96,95,68	1,0,0,0	62,74,49,120	0,2,1,1	198	99	1	1.0	0.987,1.0,1.0,1.0	1.0,0.949,0.961,0.984	0.023
15	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389	15	2,0,0,1	0,0,0,0	1,2,6,0	0,0,1,0	195	99	1	1.0	1.0,NA,NA,1.0	1.0,1.0,0.753,NA	0.082
16	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6932900	6933068	6966619	6966744	16	0,0,2,0	1,1,2,1	0,0,0,1	1,0,3,1	160	99	1	1.0	0.0,0.0,0.382,0.0	0.0,NA,0.0,0.382	-0.032
17	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6935436	6935558	6966619	6966744	17	0,0,0,0	0,1,0,0	0,0,0,1	0,2,0,0	160	99	1	1.0	NA,0.0,NA,NA	NA,0.0,NA,1.0	-0.5
