HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N8.HOG0000000	OG0000001	n3			XP_001237905.2																		
N8.HOG0000001	OG0000001	n25		XP_021694388.1	XP_312050.1, XP_312049.4, XP_312048.1, XP_563271.1, XP_312047.2																		
N8.HOG0000002	OG0000001	n30		XP_001649932.1, XP_001649935.3	XP_312046.4																		
N8.HOG0000003	OG0000001	n38		XP_011493176.1	XP_001688205.1, XP_309693.4																		
N8.HOG0000004	OG0000001	n40		XP_021703140.1	XP_317261.1, XP_317260.1																		
N8.HOG0000005	OG0000001	n42		XP_001653676.1, XP_001653678.1, XP_001653677.1, XP_021702544.1, XP_021702543.1	XP_317263.1, XP_555257.2																		
N8.HOG0000006	OG0000001	n48		XP_001653671.1, XP_021703143.1, XP_001653672.1, XP_001653673.1, XP_001653674.1																			
N8.HOG0000007	OG0000001	n52		XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_001653682.1, XP_001653687.3	XP_317257.2, XP_001237903.1, XP_001237902.1, XP_317256.3																		
N8.HOG0000008	OG0000001	n60		XP_001653675.1	XP_306845.4, XP_317264.2, XP_555259.1																		
N8.HOG0000009	OG0000001	n63		XP_021693512.1, XP_021693513.1	XP_312054.2, XP_003436271.1																		
N8.HOG0000010	OG0000001	n80		XP_001649312.1, XP_021710387.1, XP_001649311.2, XP_001653903.2, XP_001653509.1																			
N8.HOG0000011	OG0000001	n195		XP_021704701.1	XP_563971.3																		
N8.HOG0000012	OG0000001	n277			XP_001237417.1																		
N8.HOG0000013	OG0000003	n2			XP_320414.1																		
N8.HOG0000014	OG0000003	n106			XP_310729.1																		
N8.HOG0000015	OG0000004	n10		XP_001651754.2, XP_001651756.3	XP_310173.1, XP_310172.2																		
N8.HOG0000016	OG0000004	n14			XP_001688726.1																		
N8.HOG0000017	OG0000004	n18			XP_317124.1, XP_319640.1, XP_318674.1																		
N8.HOG0000018	OG0000004	n253		XP_021709039.1, XP_021709040.1	XP_320909.1, XP_320910.3																		
N8.HOG0000019	OG0000005	n12		XP_021695234.1, XP_021695375.1																			
N8.HOG0000020	OG0000005	n35		XP_021703263.1																			
N8.HOG0000021	OG0000005	n56		XP_021711844.1																			
N8.HOG0000022	OG0000005	n68		XP_021706484.1																			
N8.HOG0000023	OG0000005	n76		XP_021704183.1, XP_021693623.1, XP_021709990.1																			
N8.HOG0000024	OG0000006	n2		XP_021712875.1, XP_021708773.1, XP_021711983.1, XP_021694728.1, XP_021697510.1, XP_021700679.1, XP_021706451.1, XP_021709698.1, XP_021697170.1																			
N8.HOG0000025	OG0000006	n48		XP_021701239.1, XP_021708882.1, XP_021712884.1, XP_021708700.1, XP_021707298.1, XP_021700128.1, XP_021708190.1, XP_021699796.1, XP_021709737.1																			
N8.HOG0000026	OG0000006	n89		XP_021704105.1																			
N8.HOG0000027	OG0000007	n1		XP_001648302.1	XP_559558.6																		
N8.HOG0000028	OG0000007	n21		XP_021710648.1	XP_003436611.1																		
N8.HOG0000029	OG0000007	n52		XP_001661923.2	XP_312387.5																		
N8.HOG0000030	OG0000007	n53		XP_021707233.1	XP_312388.4																		
N8.HOG0000031	OG0000007	n106		XP_001648306.2	XP_003436606.1																		
N8.HOG0000032	OG0000007	n110		XP_021710654.1	XP_003436609.1, XP_003436608.1, XP_003436607.1																		
N8.HOG0000033	OG0000007	n125		XP_001648297.2	XP_310338.7, XP_310337.6																		
N8.HOG0000034	OG0000007	n147			XP_001230448.2, XP_003436615.1																		
N8.HOG0000035	OG0000007	n169		XP_001648300.1	XP_310333.7																		
N8.HOG0000036	OG0000007	n197		XP_021710647.1	XP_310340.1																		
N8.HOG0000037	OG0000008	n168		XP_001649106.2, XP_001649108.2, XP_001649107.2, XP_001652216.1, XP_001652217.1, XP_001652218.2, XP_001652222.1, XP_021705962.1	XP_001238280.1																		
N8.HOG0000038	OG0000008	n176		XP_001649101.2, XP_021700263.1, XP_001649103.2, XP_021705963.1, XP_001649097.2, XP_001649094.1, XP_001649093.1, XP_001661969.1, XP_001661968.1, XP_001649098.2, XP_001649095.1, XP_001649100.3	XP_551896.3, XP_561320.5, XP_320243.1, XP_001238278.2, XP_001689238.1																		
N8.HOG0000039	OG0000008	n196			XP_316781.2																		
N8.HOG0000040	OG0000010	n18		XP_001650145.1	XP_319102.4																		
N8.HOG0000041	OG0000010	n21		XP_021703076.1, XP_001657786.1	XP_318046.3																		
N8.HOG0000042	OG0000010	n23		XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_001663898.2, XP_021707969.1, XP_001658491.2, XP_001663002.1	XP_317171.2, XP_555167.1, XP_317172.2, XP_317173.2, XP_317170.2, XP_317175.2, XP_317174.2, XP_001230353.1																		
N8.HOG0000043	OG0000010	n39		XP_001663900.2	XP_319603.2																		
N8.HOG0000044	OG0000010	n41		XP_001658080.2	XP_554157.3																		
N8.HOG0000045	OG0000010	n46		XP_001655419.1	XP_317829.4																		
N8.HOG0000046	OG0000010	n79		XP_021709641.1																			
N8.HOG0000047	OG0000010	n124		XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	XP_001689375.2																		
N8.HOG0000048	OG0000010	n128		XP_001651145.1, XP_001651144.1	XP_308888.1, XP_001689374.2, XP_001689377.2																		
N8.HOG0000049	OG0000010	n132		XP_001651150.1	XP_321898.3																		
N8.HOG0000050	OG0000010	n133			XP_321901.4, XP_001689376.2																		
N8.HOG0000051	OG0000010	n195		XP_001659969.2, XP_001659962.1	XP_316143.4																		
N8.HOG0000052	OG0000012	n3		XP_021712098.1																			
N8.HOG0000053	OG0000012	n19		XP_021706521.1, XP_021712324.1																			
N8.HOG0000054	OG0000012	n24		XP_021706524.1, XP_021712032.1																			
N8.HOG0000055	OG0000012	n53		XP_021712097.1	XP_314185.3, XP_314186.3, XP_314184.1, XP_309451.4																		
N8.HOG0000056	OG0000012	n57		XP_021712027.1, XP_021705824.1, XP_021712835.1, XP_021712187.1, XP_021706478.1, XP_021705024.1, XP_021712155.1, XP_021705014.1, XP_021711142.1, XP_021705288.1, XP_021712166.1, XP_021705015.1, XP_021711144.1, XP_021712692.1, XP_021705025.1, XP_021706543.1, XP_021712685.1, XP_021711146.1, XP_021706544.1, XP_021712186.1, XP_021706545.1, XP_021706563.1, XP_021711141.1, XP_021706553.1, XP_021708807.1, XP_021707481.1, XP_021712165.1, XP_021712095.1, XP_021708754.1, XP_021708656.1, XP_021711147.1, XP_021711145.1, XP_021708646.1, XP_021706569.1, XP_021711150.1, XP_021706560.1, XP_021711149.1, XP_021711152.1, XP_021708655.1, XP_021706550.1, XP_021711151.1, XP_021711139.1, XP_021708651.1, XP_021712199.1, XP_021706554.1, XP_021706552.1, XP_021712175.1, XP_021706549.1, XP_021712191.1, XP_021712839.1, XP_021706546.1	XP_311486.4																		
N8.HOG0000057	OG0000012	n109		XP_021712022.1, XP_021712028.1																			
N8.HOG0000058	OG0000012	n159		XP_021712190.1, XP_021706522.1, XP_021706535.1																			
N8.HOG0000059	OG0000012	n169		XP_021712340.1, XP_021712784.1, XP_021712339.1, XP_021712329.1, XP_021712218.1, XP_021712221.1, XP_021712330.1, XP_021712314.1, XP_021712313.1, XP_021712783.1, XP_021712206.1, XP_021706421.1, XP_021712216.1, XP_021695294.1, XP_001662034.1, XP_021712926.1																			
N8.HOG0000060	OG0000013	n143		XP_021695205.1, XP_021712581.1, XP_021694278.1																			
N8.HOG0000061	OG0000014	n5		XP_001657554.1, XP_001655332.2	XP_320335.2, XP_320336.2																		
N8.HOG0000062	OG0000014	n36			XP_003435952.1																		
N8.HOG0000063	OG0000014	n62		XP_021711164.1																			
N8.HOG0000064	OG0000014	n101			XP_315130.3																		
N8.HOG0000065	OG0000014	n111			XP_305996.3																		
N8.HOG0000066	OG0000014	n133		XP_021711158.1, XP_021711159.1, XP_021705825.1																			
N8.HOG0000067	OG0000014	n151		XP_021711154.1																			
N8.HOG0000068	OG0000014	n152		XP_021711156.1																			
N8.HOG0000069	OG0000014	n154		XP_021711167.1, XP_021711165.1																			
N8.HOG0000070	OG0000014	n156		XP_021706806.1	XP_318362.3																		
N8.HOG0000071	OG0000014	n160		XP_021706807.1																			
