HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N16.HOG0000000	OG0000000	n72											XP_017791904.1										
N16.HOG0000001	OG0000000	n79											XP_017796554.1										
N16.HOG0000002	OG0000000	n80											XP_017797028.1, XP_017788509.1										
N16.HOG0000003	OG0000000	n98											XP_017796961.1, XP_017797535.1, XP_017794620.1, XP_017797043.1, XP_017796727.1, XP_017794319.1										
N16.HOG0000004	OG0000000	n119											XP_017797012.1										
N16.HOG0000005	OG0000000	n140										XP_017765285.1											
N16.HOG0000006	OG0000000	n146											XP_017797129.1										
N16.HOG0000007	OG0000000	n147											XP_017797014.1										
N16.HOG0000008	OG0000000	n156											XP_017796956.1, XP_017797085.1										
N16.HOG0000009	OG0000000	n160											XP_017796821.1										
N16.HOG0000010	OG0000000	n163											XP_017797138.1										
N16.HOG0000011	OG0000000	n170											XP_017791629.1										
N16.HOG0000012	OG0000000	n175										XP_017765119.1, XP_017763965.1											
N16.HOG0000013	OG0000000	n179											XP_017791907.1, XP_017791919.1										
N16.HOG0000014	OG0000000	n197					XP_012174903.1						XP_017797095.1										
N16.HOG0000015	OG0000000	n202											XP_017792099.1, XP_017797059.1, XP_017795696.1										
N16.HOG0000016	OG0000000	n207					XP_012174868.1, XP_012174870.1, XP_012171987.1, XP_012175227.1, XP_012175323.1, XP_012173834.1																
N16.HOG0000017	OG0000000	n218											XP_017797537.1										
N16.HOG0000018	OG0000000	n225					XP_012167635.1, XP_012174527.1, XP_012174218.1, XP_012174900.1, XP_020723247.1																
N16.HOG0000019	OG0000000	n231											XP_017795384.1										
N16.HOG0000020	OG0000000	n239					XP_012174418.1																
N16.HOG0000021	OG0000000	n240					XP_012175537.2																
N16.HOG0000022	OG0000000	n243											XP_017793555.1, XP_017791908.1										
N16.HOG0000023	OG0000000	n248											XP_017797032.1, XP_017795923.1										
N16.HOG0000024	OG0000000	n258											XP_017796726.1										
N16.HOG0000025	OG0000000	n259					XP_012174539.1, XP_012174517.1																
N16.HOG0000026	OG0000000	n267										XP_017765120.1	XP_017796820.1, XP_017797015.1										
N16.HOG0000027	OG0000000	n276											XP_017793544.1, XP_017796209.1, XP_017796989.1										
N16.HOG0000028	OG0000000	n279											XP_017797538.1										
N16.HOG0000029	OG0000000	n281										XP_017765495.1, XP_017765002.1											
N16.HOG0000030	OG0000000	n292											XP_017796995.1, XP_017796351.1										
N16.HOG0000031	OG0000000	n304											XP_017797536.1										
N16.HOG0000032	OG0000000	n305											XP_017795695.1, XP_017792100.1										
N16.HOG0000033	OG0000000	n308											XP_017796984.1										
N16.HOG0000034	OG0000000	n315											XP_017794325.1, XP_017792102.1, XP_017797004.1										
N16.HOG0000035	OG0000000	n321											XP_017788506.1, XP_017797013.1										
N16.HOG0000036	OG0000000	n473											XP_017796988.1, XP_017796388.1										
N16.HOG0000037	OG0000000	n476											XP_017796207.1										
N16.HOG0000038	OG0000001	n1				XP_016772837.1	XP_003398646.1					XP_017753391.1	XP_017795702.1										
N16.HOG0000039	OG0000001	n146				XP_026296210.1	XP_012168947.1					XP_017759613.1	XP_017791778.1										
N16.HOG0000040	OG0000001	n205				XP_006564499.3	XP_012176083.1					XP_017767083.1	XP_017788328.1										
N16.HOG0000041	OG0000001	n224					XP_003403397.3, XP_003403418.2					XP_017759625.1											
