HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N2.HOG0000000	OG0000000	n43						XP_037868519.1, XP_037868121.1, XP_037877020.1, XP_037871023.1, XP_037871648.1, XP_037871120.1, XP_037869233.1, XP_037875881.1, XP_037872459.1, XP_037873687.1															
N2.HOG0000001	OG0000000	n85						XP_037871812.1, XP_037873921.1, XP_037876715.1															
N2.HOG0000002	OG0000000	n132																				XP_015839988.1	
N2.HOG0000003	OG0000000	n149						XP_037874474.1															
N2.HOG0000004	OG0000000	n150																				XP_015839902.1, XP_015840340.1, XP_015840446.1, XP_015840447.1, XP_015840305.1	
N2.HOG0000005	OG0000000	n287						XP_037867490.1															
N2.HOG0000006	OG0000000	n351						XP_037873684.1, XP_037875621.1, XP_037871945.1, XP_037868562.1, XP_004934170.2															
N2.HOG0000007	OG0000000	n401						XP_037876336.1, XP_037871352.1, XP_037873843.1, XP_037876794.1, XP_037868698.1															
N2.HOG0000008	OG0000000	n422						XP_037872500.1, XP_037868916.1														XP_015840338.1	
N2.HOG0000009	OG0000000	n438						XP_037868977.1, XP_037875254.1, XP_037874877.1, XP_037870555.1, XP_037871459.1, XP_037874347.1, XP_037871457.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037871995.1, XP_037876482.1, XP_037867970.1, XP_037877015.1, XP_037866942.1, XP_037871132.1, XP_037873349.1, XP_037873726.1, XP_037870089.1, XP_037875303.1, XP_037875903.1, XP_037868123.1, XP_037876472.1															
N2.HOG0000010	OG0000001	n3			XP_001237905.2																	XP_969746.4, XP_969875.1, XP_969982.1	
N2.HOG0000011	OG0000001	n6		XP_021694388.1, XP_001649932.1, XP_001649935.3, XP_011493176.1, XP_021703140.1, XP_001653676.1, XP_001653678.1, XP_001653677.1, XP_021702544.1, XP_021702543.1, XP_001653671.1, XP_021703143.1, XP_001653672.1, XP_001653673.1, XP_001653674.1, XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_001653682.1, XP_001653687.3, XP_001653675.1, XP_021693512.1, XP_021693513.1	XP_312050.1, XP_312049.4, XP_312048.1, XP_563271.1, XP_312047.2, XP_312046.4, XP_001688205.1, XP_309693.4, XP_317261.1, XP_317260.1, XP_317263.1, XP_555257.2, XP_317257.2, XP_001237903.1, XP_001237902.1, XP_317256.3, XP_306845.4, XP_317264.2, XP_555259.1, XP_312054.2, XP_003436271.1					NP_001285631.1, NP_001286431.1, NP_611000.2, NP_001286433.1, NP_611001.2, NP_611002.3, NP_001286149.1, NP_001286435.1, NP_523749.2, NP_001287562.1, NP_523628.1, NP_523748.2, NP_611003.2, NP_001286199.1, NP_610390.1												XP_970699.2, XP_015836266.1, XP_008194722.1, XP_969048.1, XP_970556.2, XP_969948.1, XP_008200098.2, XP_008200093.1, XP_970481.1, XP_966437.1, NP_001123875.1, XP_968370.1, XP_008190374.1, XP_008200096.1, XP_970215.1, XP_969633.1	
N2.HOG0000012	OG0000001	n80		XP_001649312.1, XP_021710387.1, XP_001649311.2, XP_001653903.2, XP_001653509.1						NP_611698.1, NP_650327.1												XP_974742.1, XP_008192266.1, NP_001164249.1, NP_001280531.1, NP_001177722.1, NP_001280532.1, XP_975562.1, XP_975569.1, XP_008192269.1, XP_008192267.1, XP_015834511.1, XP_015834510.1, NP_001137200.1	
N2.HOG0000013	OG0000001	n161						NP_001266427.1, NP_001073135.1, XP_012545238.2, NP_001104007.1, XP_037869378.1, NP_001106226.1, NP_001296520.1															
N2.HOG0000014	OG0000001	n168						NP_001266295.1															
N2.HOG0000015	OG0000001	n195		XP_021704701.1	XP_563971.3			XP_037874442.1, NP_001108340.1		NP_001286145.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_610744.1												XP_966774.1, XP_015833657.1, XP_015835338.1, XP_008194912.1, XP_970561.1, XP_970633.1	
N2.HOG0000016	OG0000001	n277			XP_001237417.1																	NP_001164359.1	
N2.HOG0000017	OG0000003	n2			XP_320414.1																		
N2.HOG0000018	OG0000003	n28						XP_037874920.1, XP_037866663.1															
N2.HOG0000019	OG0000003	n82						XP_037867235.1, XP_037867363.1, XP_037873305.1															
N2.HOG0000020	OG0000003	n106			XP_310729.1					NP_001262388.1													
N2.HOG0000021	OG0000003	n158																				XP_015834342.1	
N2.HOG0000022	OG0000003	n267						XP_012549606.2															
N2.HOG0000023	OG0000004	n4						NP_001155301.1														XP_008192407.1, XP_015839178.1, XP_008198712.1	
N2.HOG0000024	OG0000004	n9		XP_001651754.2, XP_001651756.3	XP_310173.1, XP_310172.2, XP_001688726.1			XP_021205839.2		NP_523721.1, NP_523647.2												XP_015839477.1	
N2.HOG0000025	OG0000004	n18			XP_317124.1, XP_319640.1, XP_318674.1			NP_001155299.1, XP_012548049.2, NP_001159625.1, NP_001104798.1, NP_001166620.1, NP_001104832.2, NP_001091787.1, NP_001104819.1, NP_001166611.1, NP_001091790.1, XP_021204320.2, XP_037874908.1														XP_015839074.1, XP_015839443.1, XP_015837915.1, XP_008200983.2, XP_015837918.1, XP_015832942.1, XP_015832943.1, XP_015840910.1, XP_015839865.1, XP_015840926.1, XP_015832876.1, XP_008195121.2, XP_008195116.2, XP_015840044.1, XP_015839876.1, XP_015839897.1, XP_015839893.1, XP_015839868.1, XP_015839871.1	
N2.HOG0000026	OG0000004	n65		XP_021709039.1, XP_021709040.1	XP_320909.1, XP_320910.3			XP_012548737.1, NP_001166603.1, NP_001104829.1, NP_001116806.1, NP_001091789.1		NP_995793.1, NP_524456.1, NP_524455.1, NP_524078.2												XP_015840915.1, XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015838051.1, XP_015838560.1, XP_015834939.1, XP_015838677.1, XP_008197157.2, XP_015838098.1, XP_015838111.1, XP_015838099.1, XP_015833153.1, XP_015838097.1, XP_015838114.1, XP_015837679.1, XP_015833031.1, XP_015833429.1, XP_015837670.1, XP_015833039.1, XP_015838052.1, XP_015838120.1	
N2.HOG0000027	OG0000005	n11						XP_037876843.1															
N2.HOG0000028	OG0000005	n12		XP_021695234.1, XP_021695375.1				XP_004928790.1															
N2.HOG0000029	OG0000005	n35		XP_021703263.1																			
N2.HOG0000030	OG0000005	n56		XP_021711844.1																			
N2.HOG0000031	OG0000005	n68		XP_021706484.1																			
