HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N11.HOG0000000	OG0000000	n27															XP_031848507.1						
N11.HOG0000001	OG0000000	n56									XP_015437833.1												
N11.HOG0000002	OG0000000	n63									XP_015437066.1												
N11.HOG0000003	OG0000000	n67									XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1, XP_015437886.1				XP_033334293.1		XP_031848769.1						
N11.HOG0000004	OG0000000	n98													XP_033334388.1, XP_033325360.1, XP_033340297.1, XP_033326120.1		XP_031836767.1, XP_031836982.1						
N11.HOG0000005	OG0000000	n114									XP_015432787.1												
N11.HOG0000006	OG0000000	n116									XP_015438034.1						XP_031839043.1						
N11.HOG0000007	OG0000000	n118									XP_015438109.1												
N11.HOG0000008	OG0000000	n119									XP_015437823.1												
N11.HOG0000009	OG0000000	n132									XP_015434762.1, XP_015437064.1, XP_015437899.1				XP_033333383.1								
N11.HOG0000010	OG0000000	n140									XP_015437079.1												
N11.HOG0000011	OG0000000	n158									XP_015437138.1												
N11.HOG0000012	OG0000000	n160									XP_015437077.1, XP_015438112.1												
N11.HOG0000013	OG0000000	n163															XP_031836774.1						
N11.HOG0000014	OG0000000	n175									XP_015437418.1												
N11.HOG0000015	OG0000000	n179									XP_015436978.1				XP_033332143.1								
N11.HOG0000016	OG0000000	n212													XP_033322446.1								
N11.HOG0000017	OG0000000	n218													XP_033339901.1								
N11.HOG0000018	OG0000000	n231															XP_031848506.1, XP_031848962.1						
N11.HOG0000019	OG0000000	n239															XP_031836772.1						
N11.HOG0000020	OG0000000	n240													XP_033329061.1		XP_031847716.1, XP_031848466.1						
N11.HOG0000021	OG0000000	n246															XP_031842135.1						
N11.HOG0000022	OG0000000	n272															XP_031848883.1, XP_031848885.1						
N11.HOG0000023	OG0000000	n292													XP_033323544.1, XP_033323536.1								
N11.HOG0000024	OG0000000	n297									XP_015431641.1												
N11.HOG0000025	OG0000000	n304													XP_033325358.1								
N11.HOG0000026	OG0000000	n305													XP_033320862.1		XP_031829449.1						
N11.HOG0000027	OG0000000	n308													XP_033339065.1, XP_033338067.1								
N11.HOG0000028	OG0000000	n315									XP_015433132.1												
N11.HOG0000029	OG0000000	n321													XP_033321268.1		XP_031836768.1						
N11.HOG0000030	OG0000000	n438													XP_033323553.1								
N11.HOG0000031	OG0000000	n473									XP_015438108.1						XP_031848866.1						
N11.HOG0000032	OG0000000	n476													XP_033339063.1, XP_033339068.1, XP_033339380.1, XP_033322444.1								
N11.HOG0000033	OG0000001	n1									XP_015431819.1				XP_033341784.1		XP_031834821.1						
N11.HOG0000034	OG0000001	n146									XP_015437062.1				XP_033339718.1		XP_031828824.1						
N11.HOG0000035	OG0000001	n205									XP_015431466.1				XP_033326710.1		XP_031840935.1						
N11.HOG0000036	OG0000001	n224													XP_033338373.1		XP_031848952.1, XP_031848953.1, XP_031848708.1						
N11.HOG0000037	OG0000001	n240													XP_033339836.1, XP_033322510.1		XP_031841413.1						
N11.HOG0000038	OG0000001	n261									XP_015436985.1, XP_015436980.1, XP_015436982.1, XP_015436981.1				XP_033338371.1, XP_033322509.1								
N11.HOG0000039	OG0000001	n306									XP_015434757.1, XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434758.1				XP_033326759.1, XP_033326756.1, XP_033326750.1		XP_031826091.1						
N11.HOG0000040	OG0000001	n337													XP_033326693.1		XP_031836318.1, XP_031836321.1						
N11.HOG0000041	OG0000001	n346													XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033329019.1, XP_033329022.1								
N11.HOG0000042	OG0000001	n366									XP_015434778.1, XP_015434772.1				XP_033326552.1, XP_033326550.1, XP_033326764.1, XP_033326503.1, XP_033326765.1		XP_031842466.1						
N11.HOG0000043	OG0000001	n396									XP_015434774.1				XP_033323542.1								
N11.HOG0000044	OG0000001	n407									XP_015438123.1				XP_033326767.1, XP_033326559.1, XP_033326768.1, XP_033326766.1, XP_033326774.1		XP_031836320.1, XP_031836144.1						
N11.HOG0000045	OG0000001	n420									XP_015438122.1				XP_033326762.1								
N11.HOG0000046	OG0000002	n16									XP_015431069.1				XP_033330629.1		XP_031834770.1						
N11.HOG0000047	OG0000002	n18									XP_015431056.1						XP_031834615.1						
N11.HOG0000048	OG0000002	n27									XP_015431184.1						XP_031834893.1, XP_031834897.1, XP_031834894.1, XP_031834895.1, XP_031834896.1						
N11.HOG0000049	OG0000002	n71															XP_031834892.1, XP_031834890.1, XP_031834888.1, XP_031834887.1, XP_031834889.1						
N11.HOG0000050	OG0000002	n79									XP_015431151.1, XP_015431173.1						XP_031834885.1, XP_031834883.1, XP_031834884.1, XP_031834533.1, XP_031834882.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1						
N11.HOG0000051	OG0000002	n110															XP_031834886.1						
N11.HOG0000052	OG0000002	n133									XP_015431162.1, XP_015431105.1						XP_031834874.1						
N11.HOG0000053	OG0000002	n208									XP_015431116.1						XP_031834875.1, XP_031834876.1						
N11.HOG0000054	OG0000002	n210									XP_015431127.1						XP_031834877.1						
N11.HOG0000055	OG0000002	n240									XP_015431139.1						XP_031834878.1						
N11.HOG0000056	OG0000002	n273									XP_015431081.1						XP_031834872.1, XP_031834537.1, XP_031834871.1						
N11.HOG0000057	OG0000002	n276									XP_015431092.1						XP_031834873.1						
N11.HOG0000058	OG0000003	n7															XP_031848014.1						
N11.HOG0000059	OG0000003	n16									XP_015440316.1						XP_031848017.1						
N11.HOG0000060	OG0000003	n22									XP_015437622.1, XP_015437540.1				XP_033323539.1								
N11.HOG0000061	OG0000003	n45													XP_033334494.1		XP_031836773.1						
N11.HOG0000062	OG0000003	n54													XP_033332811.1								
N11.HOG0000063	OG0000003	n58													XP_033335211.1		XP_031850304.1						
N11.HOG0000064	OG0000003	n60															XP_031848018.1						
N11.HOG0000065	OG0000003	n61													XP_033339814.1, XP_033335543.1								
N11.HOG0000066	OG0000003	n97															XP_031842150.1						
N11.HOG0000067	OG0000003	n98									XP_015431440.1												
N11.HOG0000068	OG0000003	n123													XP_033326525.1								
N11.HOG0000069	OG0000003	n124									XP_015437541.1				XP_033320948.1		XP_031830867.1						
N11.HOG0000070	OG0000003	n134													XP_033329035.1								
N11.HOG0000071	OG0000003	n143													XP_033323473.1		XP_031842104.1						
N11.HOG0000072	OG0000003	n153									XP_015436031.1												
N11.HOG0000073	OG0000003	n169									XP_015436732.1				XP_033339841.1								
N11.HOG0000074	OG0000003	n178													XP_033324576.1, XP_033335544.1		XP_031847540.1						
N11.HOG0000075	OG0000003	n189									XP_015436675.1												
N11.HOG0000076	OG0000003	n190									XP_015435722.1												
N11.HOG0000077	OG0000003	n193									XP_015437848.1				XP_033329188.1		XP_031842129.1						
N11.HOG0000078	OG0000003	n205									XP_015435242.1												
N11.HOG0000079	OG0000003	n214									XP_015433735.1												
N11.HOG0000080	OG0000003	n218													XP_033330456.1		XP_031847633.1						
N11.HOG0000081	OG0000003	n256													XP_033335286.1								
N11.HOG0000082	OG0000003	n267													XP_033331114.1, XP_033342845.1, XP_033323310.1								
N11.HOG0000083	OG0000004	n18									XP_015437631.1				XP_033325709.1		XP_031847958.1						
N11.HOG0000084	OG0000004	n96									XP_015432300.1												
N11.HOG0000085	OG0000004	n108									XP_015432303.1, XP_015432328.1				XP_033332228.1, XP_033331530.1		XP_031827662.1						
N11.HOG0000086	OG0000004	n142									XP_015432327.1				XP_033332254.1		XP_031827661.1						
N11.HOG0000087	OG0000004	n164									XP_015432301.1				XP_033332230.1, XP_033331544.1, XP_033332235.1, XP_033332231.1, XP_033331543.1, XP_033331540.1, XP_033331527.1, XP_033332229.1, XP_033331542.1, XP_033332227.1, XP_033331526.1, XP_033331539.1, XP_033331537.1, XP_033331538.1, XP_033331528.1, XP_033332232.1, XP_033332233.1, XP_033331536.1		XP_031827714.1, XP_031827713.1, XP_031827663.1, XP_031827715.1, XP_031827716.1						
N11.HOG0000088	OG0000004	n191															XP_031827664.1						
N11.HOG0000089	OG0000004	n194									XP_015432304.1				XP_033331535.1								
N11.HOG0000090	OG0000005	n38									XP_015437078.1, XP_015433678.1, XP_015435707.1												
N11.HOG0000091	OG0000005	n44									XP_015433189.1												
N11.HOG0000092	OG0000005	n47													XP_033331346.1								
N11.HOG0000093	OG0000005	n68													XP_033321098.1, XP_033328818.1		XP_031850389.1						
N11.HOG0000094	OG0000005	n85									XP_015429410.1												
N11.HOG0000095	OG0000005	n89													XP_033329937.1								
N11.HOG0000096	OG0000005	n90													XP_033329786.1								
N11.HOG0000097	OG0000005	n116													XP_033333818.1, XP_033333817.1		XP_031836533.1						
N11.HOG0000098	OG0000005	n119									XP_015429633.1				XP_033333175.1								
N11.HOG0000099	OG0000005	n124									XP_015435795.1				XP_033331181.1		XP_031848459.1						
N11.HOG0000100	OG0000005	n134									XP_015437433.1												
N11.HOG0000101	OG0000005	n154									XP_015429399.1						XP_031844082.1						
N11.HOG0000102	OG0000005	n155									XP_015431915.1						XP_031834591.1						
N11.HOG0000103	OG0000005	n160									XP_015439681.1						XP_031825293.1						
N11.HOG0000104	OG0000005	n161									XP_015431457.1				XP_033322035.1		XP_031840848.1						
N11.HOG0000105	OG0000005	n163													XP_033341707.1		XP_031848748.1						
N11.HOG0000106	OG0000005	n164													XP_033340639.1, XP_033337381.1		XP_031843598.1						
N11.HOG0000107	OG0000005	n166									XP_015429211.1				XP_033321306.1, XP_033333928.1		XP_031834032.1						
N11.HOG0000108	OG0000005	n169									XP_015429000.1				XP_033330633.1		XP_031844871.1						
N11.HOG0000109	OG0000005	n171													XP_033333584.1		XP_031842437.1						
N11.HOG0000110	OG0000005	n179													XP_033328756.1								
N11.HOG0000111	OG0000005	n191													XP_033328275.1, XP_033324206.1, XP_033322222.1, XP_033322845.1, XP_033330929.1, XP_033322608.1, XP_033325491.1, XP_033334442.1, XP_033324606.1, XP_033325557.1, XP_033325561.1, XP_033327894.1								
N11.HOG0000112	OG0000005	n207									XP_015434271.1, XP_015430410.1, XP_015431885.1												
N11.HOG0000113	OG0000006	n197													XP_033334294.1								
N11.HOG0000114	OG0000006	n198									XP_015440301.1												
N11.HOG0000115	OG0000007	n1									XP_015431033.1				XP_033329032.1		XP_031838205.1						
N11.HOG0000116	OG0000007	n21									XP_015431032.1				XP_033329051.1		XP_031838213.1						
N11.HOG0000117	OG0000007	n47									XP_015435962.1				XP_033329521.1		XP_031845812.1						
N11.HOG0000118	OG0000007	n69									XP_015431211.1						XP_031838187.1						
N11.HOG0000119	OG0000007	n125									XP_015431244.1, XP_015431028.1, XP_015431029.1, XP_015431231.1, XP_015431027.1						XP_031838202.1, XP_031838195.1, XP_031838201.1, XP_031838204.1, XP_031838198.1						
N11.HOG0000120	OG0000007	n147									XP_015431030.1				XP_033329057.1								
N11.HOG0000121	OG0000007	n169									XP_015431031.1				XP_033329050.1		XP_031838197.1						
N11.HOG0000122	OG0000007	n197									XP_015431233.1				XP_033321019.1		XP_031838211.1						
N11.HOG0000123	OG0000008	n22													XP_033323903.1, XP_033323904.1		XP_031837183.1						
N11.HOG0000124	OG0000008	n29													XP_033323905.1								
N11.HOG0000125	OG0000008	n53													XP_033321090.1		XP_031839007.1						
N11.HOG0000126	OG0000008	n87									XP_015438921.1, XP_015439019.1, XP_015438920.1, XP_015438919.1				XP_033323895.1, XP_033323894.1, XP_033323884.1		XP_031837097.1						
N11.HOG0000127	OG0000008	n115													XP_033323897.1		XP_031848283.1						
N11.HOG0000128	OG0000008	n120									XP_015439018.1				XP_033323886.1, XP_033323896.1		XP_031848136.1, XP_031848281.1, XP_031848280.1, XP_031847205.1, XP_031848703.1, XP_031848282.1, XP_031837098.1, XP_031842170.1						
N11.HOG0000129	OG0000008	n146									XP_015438918.1				XP_033323885.1, XP_033323887.1								
N11.HOG0000130	OG0000009	n107													XP_033331103.1								
N11.HOG0000131	OG0000010	n49									XP_015431006.1						XP_031836638.1						
N11.HOG0000132	OG0000010	n95									XP_015431215.1				XP_033333560.1		XP_031836558.1						
N11.HOG0000133	OG0000010	n101									XP_015431007.1				XP_033333685.1		XP_031836778.1						
N11.HOG0000134	OG0000010	n138									XP_015429534.1						XP_031845723.1						
N11.HOG0000135	OG0000010	n145									XP_015432475.1						XP_031842731.1						
N11.HOG0000136	OG0000010	n157									XP_015432417.1				XP_033324767.1		XP_031842887.1						
N11.HOG0000137	OG0000010	n177									XP_015432474.1				XP_033324764.1								
N11.HOG0000138	OG0000011	n14													XP_033340147.1, XP_033340148.1								
N11.HOG0000139	OG0000011	n19													XP_033341682.1, XP_033341685.1, XP_033341686.1, XP_033341632.1		XP_031848956.1, XP_031844760.1						
N11.HOG0000140	OG0000011	n32									XP_015434578.1, XP_015434576.1				XP_033340025.1		XP_031844818.1, XP_031849057.1						
N11.HOG0000141	OG0000011	n63									XP_015432783.1				XP_033340024.1, XP_033325356.1		XP_031844741.1, XP_031844745.1, XP_031844742.1, XP_031844744.1, XP_031844743.1						
N11.HOG0000142	OG0000011	n87									XP_015439317.1				XP_033341684.1		XP_031849049.1, XP_031849051.1						
N11.HOG0000143	OG0000011	n113															XP_031838228.1						
N11.HOG0000144	OG0000011	n132															XP_031849056.1						
N11.HOG0000145	OG0000011	n186									XP_015434577.1, XP_015429492.1				XP_033330645.1, XP_033340023.1		XP_031844740.1						
N11.HOG0000146	OG0000011	n193															XP_031844817.1, XP_031844739.1						
N11.HOG0000147	OG0000012	n19															XP_031848838.1, XP_031848839.1, XP_031848831.1						
N11.HOG0000148	OG0000012	n27									XP_015438106.1												
N11.HOG0000149	OG0000012	n112									XP_015435357.1				XP_033328582.1, XP_033328621.1, XP_033328603.1		XP_031839329.1						
N11.HOG0000150	OG0000012	n131									XP_015435350.1				XP_033328576.1		XP_031848784.1, XP_031848785.1, XP_031839374.1, XP_031839487.1						
N11.HOG0000151	OG0000013	n3													XP_033327074.1								
N11.HOG0000152	OG0000013	n62									XP_015437428.1, XP_015438891.1												
N11.HOG0000153	OG0000013	n66									XP_015438096.1												
N11.HOG0000154	OG0000013	n111													XP_033337658.1								
N11.HOG0000155	OG0000013	n113													XP_033324994.1								
N11.HOG0000156	OG0000013	n123									XP_015433591.1, XP_015440032.1				XP_033334493.1, XP_033321457.1, XP_033334291.1, XP_033334295.1								
N11.HOG0000157	OG0000013	n131									XP_015438886.1												
N11.HOG0000158	OG0000013	n140									XP_015438310.1												
N11.HOG0000159	OG0000013	n151									XP_015435180.1												
N11.HOG0000160	OG0000014	n5									XP_015434157.1, XP_015434156.1				XP_033330798.1, XP_033330794.1								
N11.HOG0000161	OG0000014	n62													XP_033328623.1								
N11.HOG0000162	OG0000014	n68													XP_033328624.1								
N11.HOG0000163	OG0000014	n164													XP_033328768.1								
N11.HOG0000164	OG0000014	n169									XP_015440404.1												
